Experiment 2 ,25_03_2020_10-28-05

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.6

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,38965,49,0.901,0.31136624670028684
1,22270,28,0.892,0.3399922227859497
2,19885,25,0.896,0.34683691620826723
3,19885,25,0.905,0.32573269844055175
4,17500,22,0.892,0.3488150010108948
5,19885,25,0.901,0.3250205359458923
6,21475,27,0.899,0.3262578842639923
7,25450,32,0.898,0.323493034362793
8,20680,26,0.895,0.33865631628036497
9,20680,26,0.898,0.3304412136077881
10,23065,29,0.9,0.3136227078437805
11,29425,37,0.904,0.3168173689842224
12,19885,25,0.903,0.3275343792438507
13,23860,30,0.909,0.31388205742836
14,23860,30,0.897,0.33067145657539365
15,19885,25,0.893,0.3369052894115448
16,23860,30,0.911,0.30740492773056033
17,23860,30,0.909,0.30948475432395933
18,23860,30,0.902,0.32963402318954466
19,23860,30,0.911,0.30218691420555116
20,23860,30,0.898,0.31637072587013243
21,18295,23,0.909,0.323109965801239
22,24655,31,0.9,0.31798682880401613
23,23860,30,0.9,0.3123284077644348
24,26245,33,0.901,0.30917551136016846
25,31015,39,0.904,0.3000093910694122
26,31015,39,0.909,0.310494047164917
27,26245,33,0.909,0.30425321984291076
28,25450,32,0.907,0.3047988836765289
29,21475,27,0.909,0.3157240447998047
30,31015,39,0.896,0.3132183320522308
31,21475,27,0.907,0.3087881956100464
32,22270,28,0.903,0.308171783208847
33,22270,28,0.894,0.3085755758285523
34,29425,37,0.907,0.3061401886940002
35,23065,29,0.902,0.3228058876991272
36,27040,34,0.907,0.3062364480495453
37,27040,34,0.903,0.30566614770889283
38,27040,34,0.907,0.31284417247772217
39,32605,41,0.9,0.3122211229801178
40,17500,22,0.89,0.33134994173049925
41,21475,27,0.909,0.32821115255355837
42,16705,21,0.893,0.32545587491989136
43,25450,32,0.904,0.3169313988685608
44,24655,31,0.905,0.3061455144882202
45,23065,29,0.899,0.3149984784126282
46,26245,33,0.909,0.3045531177520752
47,31810,40,0.908,0.31411900973320006
48,34195,43,0.906,0.303826639175415
49,42145,53,0.903,0.27647376585006717
50,42940,54,0.902,0.2992906799316406
51,52480,66,0.911,0.26825069665908813
52,46120,58,0.909,0.28993268966674807
53,41350,52,0.907,0.2801907608509064
54,46120,58,0.906,0.28192837977409363
55,46120,58,0.905,0.28226486992836
56,54070,68,0.912,0.28408590841293335
57,54070,68,0.908,0.2794334292411804
58,69970,88,0.923,0.26708380007743837
59,55660,70,0.908,0.2858190450668335
60,58840,74,0.91,0.2738978807926178
61,46915,59,0.913,0.2809104902744293
62,58045,73,0.92,0.2661172080039978
63,51685,65,0.913,0.26629875659942626
64,48505,61,0.916,0.2842527139186859
65,46120,58,0.907,0.29832566595077514
66,43735,55,0.906,0.2895471520423889
67,37375,47,0.904,0.2931728672981262
68,31810,40,0.906,0.2895791463851929
69,27835,35,0.906,0.3009568750858307
70,47710,60,0.913,0.2759974927902222
71,47710,60,0.912,0.2623471939563751
72,47710,60,0.914,0.2680584921836853
73,43735,55,0.911,0.28043835377693177
74,47710,60,0.922,0.2721018340587616
75,39760,50,0.91,0.287112811088562
76,41350,52,0.908,0.2749937524795532
77,32605,41,0.91,0.29678670811653135
78,44530,56,0.909,0.2724636309146881
79,44530,56,0.906,0.2964171092510223
80,38170,48,0.912,0.2940891318321228
81,38170,48,0.908,0.29632692074775696
82,38170,48,0.915,0.27921133184432984
83,41350,52,0.913,0.2842221546173096
84,46120,58,0.904,0.32221668791770935
85,45325,57,0.902,0.3015466628074646
86,39760,50,0.899,0.2850033073425293
87,46915,59,0.912,0.2849747862815857
88,39760,50,0.905,0.28403026962280276
89,40555,51,0.911,0.27228584575653075
90,40555,51,0.904,0.2772584846019745
91,42940,54,0.912,0.2845861432552338
92,40555,51,0.909,0.2916420960426331
93,48505,61,0.908,0.2772099506855011
94,48505,61,0.908,0.2775360908508301
95,58840,74,0.914,0.27424077010154724
96,65200,82,0.92,0.2519352695941925
97,78715,99,0.914,0.26384705567359923
98,78715,99,0.917,0.2571242611408234
99,78715,99,0.914,0.26644944524765013
100,78715,99,0.918,0.25800476837158204
101,100180,126,0.913,0.2594149820804596
102,86665,109,0.909,0.26005453419685365
103,81100,102,0.913,0.24429982161521913
104,121645,153,0.909,0.28299312138557436
105,116875,147,0.913,0.2527901332378387
106,139135,175,0.921,0.23934351563453674
107,139135,175,0.929,0.22892135334014893
108,90640,114,0.921,0.2461955382823944
109,84280,106,0.909,0.2768452491760254
110,98590,124,0.915,0.24625414800643922
111,73945,93,0.918,0.25992470383644106
112,100975,127,0.919,0.2529486880302429
113,100975,127,0.923,0.23382775712013246
114,116875,147,0.909,0.2568760492801666
115,120850,152,0.922,0.2358422839641571
116,120850,152,0.922,0.23149187684059144
117,143905,181,0.922,0.23867778158187866
118,99385,125,0.91,0.24801593577861786
119,99385,125,0.921,0.2533256595134735
120,99385,125,0.915,0.27927705478668213
121,116080,146,0.923,0.22138056778907775
122,53275,67,0.909,0.2573984868526459
123,85870,108,0.908,0.279183477640152
124,51685,65,0.903,0.27892904496192933
125,69970,88,0.912,0.2542558944225311
126,47710,60,0.909,0.2778948972225189
127,62020,78,0.919,0.2635161068439484
128,58045,73,0.914,0.2614840955734253
129,62815,79,0.914,0.26138533210754394
130,50890,64,0.916,0.2662020173072815
131,56455,71,0.909,0.304554767370224
132,59635,75,0.911,0.2758180458545685
133,54865,69,0.917,0.26660010039806364
134,64405,81,0.911,0.2832309532165527
135,64405,81,0.912,0.2658176085948944
136,31015,39,0.895,0.3282070600986481
137,30220,38,0.908,0.28834975290298465
138,42940,54,0.917,0.2841997938156128
139,44530,56,0.914,0.2639154694080353
140,35785,45,0.902,0.3143997805118561
141,42940,54,0.911,0.29144784665107726
142,36580,46,0.908,0.2975187940597534
143,45325,57,0.904,0.2866549994945526
144,41350,52,0.917,0.2848907086849213
145,35785,45,0.909,0.29499830055236814
146,38170,48,0.904,0.28637173199653626
147,35785,45,0.907,0.27718808794021604
148,42145,53,0.907,0.2751509461402893
149,42145,53,0.926,0.26382371807098387
150,42145,53,0.912,0.27764192581176755
151,55660,70,0.914,0.2962293694019318
152,55660,70,0.916,0.2604162609577179
153,67585,85,0.912,0.25782841420173647
154,58840,74,0.914,0.2593741006851196
155,73945,93,0.905,0.2879504809379578
156,69175,87,0.915,0.2527373468875885
157,69175,87,0.909,0.2704453992843628
158,69175,87,0.92,0.26640374946594236
159,81895,103,0.916,0.2448941192626953
160,67585,85,0.909,0.2667816972732544
161,68380,86,0.913,0.2729839541912079
162,59635,75,0.915,0.2618358473777771
163,73150,92,0.913,0.24848065495491028
164,78715,99,0.924,0.2668731453418732
165,72355,91,0.914,0.2694423251152039
166,73150,92,0.909,0.2717133054733276
167,105745,133,0.927,0.24632170248031615
168,105745,133,0.926,0.2327854689359665
169,71560,90,0.916,0.2662006731033325
170,55660,70,0.913,0.2656878695487976
171,62020,78,0.92,0.27021102857589724
172,67585,85,0.918,0.2607588746547699
173,77920,98,0.927,0.23761744534969328
174,94615,119,0.919,0.24649492120742797
175,96205,121,0.906,0.2558190634250641
176,116080,146,0.924,0.24094648504257202
177,78715,99,0.916,0.2582978374958038
