Experiment 2 ,27_03_2020_03-19-57

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,38965,49,0.913,0.28385411071777344
1,38965,49,0.903,0.31147186970710755
2,38965,49,0.898,0.30463121819496153
3,38965,49,0.91,0.2864824059009552
4,50095,63,0.909,0.271054630279541
5,34195,43,0.912,0.286564382314682
6,42940,54,0.909,0.2964393930435181
7,34990,44,0.91,0.303448903799057
8,20680,26,0.899,0.3073077163696289
9,28630,36,0.908,0.30042059803009036
10,34990,44,0.913,0.27545667695999143
11,41350,52,0.904,0.2890831530094147
12,41350,52,0.912,0.2909642872810364
13,22270,28,0.888,0.35431799364089966
14,25450,32,0.9,0.3224102697372436
15,21475,27,0.903,0.32058330488204956
16,13525,17,0.898,0.35452673530578616
17,17500,22,0.887,0.35684407567977905
18,21475,27,0.903,0.3169930672645569
19,26245,33,0.898,0.3196531705856323
20,22270,28,0.905,0.32497535514831544
21,25450,32,0.901,0.32143936920166016
22,25450,32,0.91,0.2931229200363159
23,19090,24,0.897,0.3285327000617981
24,33400,42,0.905,0.30748638010025026
25,32605,41,0.898,0.32180907726287844
26,15115,19,0.899,0.3404687192440033
27,19090,24,0.898,0.333923020362854
28,19090,24,0.898,0.3288576695919037
29,23860,30,0.899,0.321549512386322
30,24655,31,0.901,0.3165596103668213
31,19885,25,0.909,0.3248358657360077
32,23065,29,0.899,0.3129874105453491
33,27040,34,0.901,0.3169965453147888
34,24655,31,0.905,0.3103546569347382
35,35785,45,0.905,0.29233616876602175
36,27835,35,0.898,0.3102343227863312
37,37375,47,0.899,0.31415281224250796
38,35785,45,0.914,0.28312566184997556
39,45325,57,0.907,0.2877815647125244
40,42940,54,0.91,0.2931489944458008
41,52480,66,0.903,0.28843061447143553
42,31810,40,0.913,0.2810440001487732
43,31810,40,0.915,0.2861974639892578
44,37375,47,0.905,0.27953412556648255
45,41350,52,0.907,0.2836758270263672
46,43735,55,0.902,0.30525776791572573
