Experiment 2 ,06_04_2020_10-50-24

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Nadam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,32605,41,0.911,0.30394797134399415
1,39760,50,0.906,0.29349956011772155
2,29425,37,0.903,0.2904188897609711
3,38170,48,0.904,0.309657860994339
4,35785,45,0.91,0.28467063426971434
5,38170,48,0.908,0.2928312239646912
6,46915,59,0.906,0.2979066340923309
7,42940,54,0.912,0.28614777970314026
8,56455,71,0.915,0.28744841885566713
9,61225,77,0.916,0.2677374558448791
10,50890,64,0.922,0.2612167525291443
11,20680,26,0.904,0.31122026014328
12,24655,31,0.905,0.3303677780628204
13,27835,35,0.908,0.3063092975616455
14,25450,32,0.893,0.3453806843757629
15,25450,32,0.905,0.3072584939002991
16,25450,32,0.912,0.31076076221466065
17,36580,46,0.917,0.2783931386470795
18,45325,57,0.906,0.28367988324165344
19,46915,59,0.907,0.280415803194046
20,58045,73,0.913,0.2696724581718445
21,51685,65,0.913,0.2842727541923523
22,69175,87,0.92,0.24714908981323241
23,61225,77,0.915,0.28086500549316407
24,54865,69,0.906,0.2714918737411499
25,75535,95,0.906,0.26069424510002137
26,93025,117,0.927,0.24713963747024537
27,49300,62,0.896,0.2932567524909973
28,60430,76,0.913,0.28008665537834165
29,76330,96,0.914,0.2544153017997742
30,76330,96,0.916,0.2653963963985443
31,78715,99,0.922,0.24141402125358583
32,70765,89,0.916,0.2644313097000122
33,81895,103,0.906,0.2716825647354126
34,75535,95,0.92,0.2540634038448334
35,70765,89,0.908,0.2619177072048187
36,86665,109,0.92,0.25715771746635435
37,95410,120,0.913,0.26543044769763946
38,101770,128,0.921,0.23816354584693908
39,111310,140,0.914,0.2685557265281677
40,108925,137,0.921,0.24244623279571534
41,136750,172,0.92,0.23379784750938415
42,145495,183,0.918,0.24178862965106965
43,184450,232,0.931,0.22268266868591308
44,211480,266,0.921,0.250517138004303
45,237715,299,0.932,0.21268778133392335
46,217840,274,0.926,0.2343844482898712
47,208300,262,0.928,0.221344987988472
48,223405,281,0.928,0.2192055195569992
49,229765,289,0.922,0.228950092792511
50,216250,272,0.931,0.21291177988052368
51,240895,303,0.934,0.20026909244060517
52,215455,271,0.93,0.20601907324790955
53,232945,293,0.936,0.2078664834499359
54,294160,370,0.929,0.2047012231349945
55,371275,467,0.93,0.2057921665906906
56,371275,467,0.93,0.21869337439537048
57,337885,425,0.937,0.21046419537067412
58,318010,400,0.926,0.21933101469278335
59,403075,507,0.932,0.20333859157562256
60,193990,244,0.928,0.2170487358570099
61,262360,330,0.932,0.21284547638893128
62,298930,376,0.933,0.20295391011238098
63,242485,305,0.928,0.21578549480438233
64,221020,278,0.91,0.28340373396873475
65,221020,278,0.929,0.21809873127937318
66,175705,221,0.926,0.22439672541618347
67,206710,260,0.923,0.22317006063461303
68,249640,314,0.928,0.2165446033477783
69,318010,400,0.925,0.21886768424510955
70,355375,447,0.934,0.21012305355072022
71,333115,419,0.924,0.21668199002742766
72,280645,353,0.93,0.2331729635000229
73,213070,268,0.922,0.22304524254798888
74,199555,251,0.923,0.21585168850421904
