Experiment 3 ,09_04_2020_09-25-11

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.RMSprop

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,27835,35,0.903,0.3175294017791748
1,32605,41,0.902,0.3237175710201263
2,29425,37,0.909,0.30217948627471924
3,35785,45,0.907,0.28595010685920713
4,35785,45,0.899,0.3104482705593109
5,30220,38,0.912,0.2882001214027405
6,28630,36,0.905,0.3196073286533356
7,35785,45,0.908,0.2976633565425873
8,35785,45,0.904,0.30076516246795654
9,42145,53,0.909,0.3051326375007629
10,50095,63,0.903,0.30240262842178345
11,49300,62,0.905,0.2800766794681549
12,51685,65,0.907,0.3005520408153534
13,47710,60,0.904,0.2985761659145355
14,48505,61,0.903,0.2924753112792969
15,54865,69,0.912,0.2651290197372437
16,50095,63,0.913,0.2816456124782562
17,54865,69,0.909,0.2855589430332184
18,66790,84,0.913,0.2634555580615997
19,84280,106,0.913,0.25841419196128845
20,31810,40,0.905,0.28792758560180665
21,34990,44,0.905,0.2939020040035248
22,39760,50,0.903,0.3060857746601105
23,44530,56,0.908,0.2932056622505188
24,38170,48,0.9,0.30657166838645933
25,38170,48,0.909,0.291304295539856
26,50095,63,0.905,0.2920437636375427
27,62815,79,0.904,0.2829161605834961
28,72355,91,0.917,0.24929128324985503
29,85075,107,0.916,0.2503568309545517
30,94615,119,0.913,0.25764747977256774
31,86665,109,0.92,0.24266719579696655
32,120055,151,0.922,0.25775495731830594
33,113695,143,0.902,0.29307921600341796
34,144700,182,0.912,0.24357518684864043
35,182860,230,0.929,0.21538706839084626
36,209890,264,0.929,0.21456021320819854
37,209890,264,0.925,0.21529628825187683
38,208300,262,0.924,0.2260272555947304
39,208300,262,0.93,0.20005210947990418
40,265540,334,0.942,0.20817639243602754
41,333910,420,0.929,0.214395778298378
42,149470,188,0.92,0.2371509771347046
43,135955,171,0.914,0.2850712559223175
44,157420,198,0.927,0.22234362614154815
45,174115,219,0.923,0.24337473392486572
46,182065,229,0.928,0.21509186673164368
47,162190,204,0.921,0.21419331336021424
48,155035,195,0.922,0.23474252104759216
49,178090,224,0.926,0.2256105179786682
50,191605,241,0.913,0.2545878515839577
51,186040,234,0.927,0.20779699516296388
52,186040,234,0.929,0.229351979970932
53,106540,134,0.921,0.25200020813941953
54,104155,131,0.917,0.24054845178127288
55,104155,131,0.918,0.25287255442142487
56,140725,177,0.909,0.2618281228542328
57,136750,172,0.926,0.22990801870822908
58,113695,143,0.919,0.26156015038490293
59,98590,124,0.908,0.28330049562454224
60,118465,149,0.919,0.24656916999816894
61,110515,139,0.924,0.24682027065753936
62,107335,135,0.918,0.24292499804496764
63,139135,175,0.919,0.2517440701723099
64,177295,223,0.915,0.2529819793701172
65,217045,273,0.924,0.2217143338918686
66,236920,298,0.926,0.20911951780319213
67,279850,352,0.926,0.22588979172706605
68,279850,352,0.933,0.20390784633159637
69,307675,387,0.933,0.2129695571064949
70,387970,488,0.924,0.2163961775302887
71,500065,629,0.93,0.22054597061872483
72,510400,642,0.932,0.19567870754003525
73,465880,586,0.936,0.1979976967573166
74,572410,720,0.936,0.20057406616210938
75,656680,826,0.932,0.19938785171508788
76,735385,925,0.932,0.2364436938762665
77,587515,739,0.921,0.24631883120536804
78,636010,800,0.93,0.22316097849607466
79,685300,862,0.943,0.19164404571056365
80,742540,934,0.914,0.27121440434455873
81,551740,694,0.936,0.2014023558497429
82,756055,951,0.937,0.18075116574764252
83,788650,992,0.935,0.20217773443460466
84,762415,959,0.924,0.24533812600374222
85,804550,1012,0.943,0.18998815578222275
86,942880,1186,0.923,0.26008698841929434
87,915055,1151,0.935,0.21063698273897172
88,549355,691,0.93,0.2215321756005287
89,458725,577,0.933,0.21860908046364785
90,607390,764,0.938,0.20383462798595428
91,607390,764,0.932,0.1965430187880993
92,755260,950,0.942,0.22233861765265464
93,934930,1176,0.941,0.20249960866570474
94,761620,958,0.941,0.18658437234163283
95,795805,1001,0.946,0.18183679632842542
96,752080,946,0.939,0.18712278574705124
97,764800,962,0.935,0.2195998694896698
98,923800,1162,0.936,0.19310984659194946
99,783880,986,0.938,0.21418678741157055
100,1097110,1380,0.938,0.22125474709272386
101,733000,922,0.928,0.20356755292415618
102,1152760,1450,0.936,0.23561740171909332
103,992170,1248,0.939,0.21996781176328659
104,1303810,1640,0.936,0.24366007947921753
105,1479505,1861,0.945,0.18145406150817872
106,1108240,1394,0.933,0.20552312672138215
107,1403185,1765,0.95,0.18719867059588433
108,1161505,1461,0.929,0.2223669232726097
109,1037485,1305,0.935,0.24858050000667573
110,1184560,1490,0.942,0.18152047330141066
111,1099495,1383,0.938,0.2443699437379837
112,1051795,1323,0.935,0.23490705990791322
113,1141630,1436,0.94,0.1896234792470932
114,1057360,1330,0.943,0.21360254126787187
115,1059745,1333,0.938,0.21753257596492767
116,1636915,2059,0.941,0.2119569857418537
117,1395235,1755,0.939,0.20376510685682298
118,1151965,1449,0.934,0.24319132569432259
119,1043050,1312,0.938,0.2231537166684866
120,1043050,1312,0.939,0.2215263316631317
121,1386490,1744,0.925,0.24202661526203156
122,1113010,1400,0.943,0.17994538639485835
123,1188535,1495,0.941,0.2165753589272499
124,901540,1134,0.938,0.20889419262111186
125,1385695,1743,0.933,0.23767497281730174
126,1141630,1436,0.938,0.21930768357217312
127,1217155,1531,0.942,0.20163872849941253
128,1082800,1362,0.937,0.2061331654191017
129,1376155,1731,0.935,0.22746347480267287
130,1252135,1575,0.941,0.21892146962881087
131,1381720,1738,0.934,0.25288006496429444
132,1090750,1372,0.935,0.21462908276915552
133,1145605,1441,0.939,0.20399852210283279
134,1116985,1405,0.941,0.20741902032494544
135,1446115,1819,0.942,0.20820903405547142
136,1560595,1963,0.945,0.20020264118909836
137,985015,1239,0.939,0.20845267510414123
138,1484275,1867,0.937,0.2365771853327751
139,1655995,2083,0.939,0.20942439496517182
140,1640890,2064,0.924,0.27203950703144075
141,1989100,2502,0.906,0.38150285255908967
142,2505850,3152,0.936,0.27096446067094804
143,1581265,1989,0.94,0.20251892232894897
144,1608295,2023,0.945,0.2043024642467499
145,1815790,2284,0.943,0.22673990467190744
146,2485975,3127,0.94,0.261449760556221
147,3075865,3869,0.895,0.4445149194225669
148,2075755,2611,0.941,0.22419031810760498
149,2417605,3041,0.93,0.2506039982065558
150,2733220,3438,0.917,0.34313000202551486
151,2058265,2589,0.928,0.302629192262888
152,3223735,4055,0.942,0.2445801604166627
153,2175925,2737,0.951,0.19040170784294605
