Experiment 1 ,30_03_2020_02-12-54

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,27040,34,0.893,0.3105271611213684
1,32605,41,0.91,0.29759168314933776
2,32605,41,0.911,0.2956424717903137
3,43735,55,0.91,0.2685726590156555
4,46915,59,0.908,0.2818269557952881
5,52480,66,0.916,0.271788402557373
6,57250,72,0.919,0.2688681969642639
7,74740,94,0.907,0.28497864818573
8,88255,111,0.913,0.26363056564331055
9,88255,111,0.919,0.2502903673648834
10,87460,110,0.921,0.2522647752761841
11,112900,142,0.917,0.2579847357273102
12,138340,174,0.923,0.2372631857395172
13,11935,15,0.88,0.36721105861663816
14,12730,16,0.895,0.3644186601638794
15,15910,20,0.891,0.35940402698516843
16,19885,25,0.899,0.3345010290145874
17,22270,28,0.898,0.3245285875797272
18,25450,32,0.901,0.325818829536438
19,24655,31,0.901,0.3227103247642517
20,15910,20,0.896,0.33093288803100585
21,13525,17,0.897,0.35573749780654906
22,13525,17,0.884,0.36679309272766114
23,11935,15,0.894,0.35205200958251953
24,8755,11,0.883,0.38972724056243896
25,8755,11,0.882,0.3965503692626953
26,8755,11,0.875,0.40661557960510253
27,6370,8,0.873,0.4455452108383179
28,6370,8,0.87,0.45037423706054686
29,6370,8,0.876,0.4150222086906433
30,7960,10,0.879,0.40605078887939455
31,7165,9,0.87,0.4073517713546753
32,7165,9,0.865,0.4336081881523132
33,6370,8,0.856,0.49125579118728635
34,6370,8,0.869,0.4361621999740601
35,6370,8,0.862,0.464680606842041
36,6370,8,0.849,0.4829434986114502
37,6370,8,0.872,0.439148530960083
38,7165,9,0.864,0.4643208394050598
39,8755,11,0.894,0.38380402040481565
40,10345,13,0.881,0.38439040994644164
41,11935,15,0.883,0.3859035739898682
42,10345,13,0.889,0.37316920852661134
43,7960,10,0.875,0.41570212268829343
44,10345,13,0.884,0.3755473232269287
45,7165,9,0.878,0.39861474990844725
46,9550,12,0.89,0.36352642679214475
47,11140,14,0.892,0.3733875484466553
48,11935,15,0.885,0.375397349357605
49,7165,9,0.871,0.4438154215812683
50,6370,8,0.863,0.45095646715164184
51,10345,13,0.878,0.3964641900062561
52,7165,9,0.873,0.42758319616317747
53,7165,9,0.879,0.4174544563293457
54,8755,11,0.878,0.3809949245452881
55,8755,11,0.88,0.3821086413860321
56,7960,10,0.866,0.4374649906158447
57,8755,11,0.873,0.4197904644012451
58,9550,12,0.877,0.39566218423843386
59,11935,15,0.884,0.3637892985343933
60,8755,11,0.872,0.43016521310806277
61,3985,5,0.809,0.6293413724899292
62,3985,5,0.803,0.6456255903244018
63,4780,6,0.832,0.569542873620987
64,5575,7,0.818,0.5775434789657593
65,4780,6,0.834,0.5365217304229737
66,3985,5,0.762,0.7660678339004516
67,3985,5,0.805,0.6750182614326478
68,3985,5,0.796,0.6456227345466614
69,4780,6,0.805,0.6441538763046265
70,4780,6,0.835,0.5885086460113526
71,5575,7,0.845,0.5434389743804932
72,5575,7,0.853,0.46901860904693604
73,4780,6,0.805,0.6433670139312744
74,4780,6,0.837,0.5660336713790893
75,5575,7,0.839,0.5091357555389404
76,5575,7,0.857,0.4970764927864075
77,5575,7,0.838,0.517265188217163
78,5575,7,0.861,0.47298149967193603
79,3190,4,0.749,0.7608419542312622
80,3190,4,0.811,0.6911594710350036
81,3985,5,0.783,0.704206018447876
82,3985,5,0.806,0.7153796405792237
83,3985,5,0.793,0.8447419271469117
84,3985,5,0.814,0.6290704584121705
85,4780,6,0.814,0.6028277769088745
86,4780,6,0.827,0.6034611253738403
87,5575,7,0.849,0.522162836074829
88,4780,6,0.851,0.481285315990448
89,4780,6,0.849,0.5547580699920655
90,4780,6,0.833,0.6241981954574585
91,4780,6,0.808,0.6365618839263916
92,4780,6,0.8,0.6661088218688965
93,4780,6,0.855,0.5098985414505005
94,4780,6,0.824,0.6009018816947937
95,4780,6,0.816,0.6285968170166015
96,4780,6,0.803,0.5987769751548767
97,5575,7,0.859,0.4613827338218689
98,5575,7,0.847,0.5214791207313537
99,5575,7,0.837,0.5104563226699829
100,5575,7,0.84,0.5134590706825256
101,5575,7,0.869,0.4464582438468933
102,5575,7,0.866,0.48348727321624757
103,4780,6,0.851,0.5325376825332642
104,5575,7,0.816,0.5662583646774292
105,5575,7,0.836,0.5432885484695434
106,4780,6,0.828,0.5634687256813049
107,5575,7,0.844,0.5377687406539917
108,6370,8,0.859,0.4929246211051941
109,7165,9,0.877,0.4009920473098755
110,7960,10,0.864,0.4334807686805725
111,7960,10,0.867,0.4336728549003601
112,6370,8,0.866,0.4427827410697937
113,7165,9,0.847,0.4713471021652222
114,8755,11,0.871,0.4179507174491882
115,3985,5,0.799,0.6586874027252198
116,4780,6,0.842,0.563268889427185
117,4780,6,0.846,0.49897909235954285
118,4780,6,0.819,0.567955201625824
