Experiment 3 ,09_04_2020_06-25-10

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.SGD

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,39760,50,0.855,0.5493330106735229
1,39760,50,0.861,0.5379837532043457
2,23860,30,0.851,0.5620849390029907
3,28630,36,0.859,0.5561831359863281
4,28630,36,0.855,0.5442854595184327
5,33400,42,0.845,0.5751333560943603
6,27835,35,0.84,0.5756636953353882
7,32605,41,0.849,0.5712959613800049
8,29425,37,0.86,0.5589454526901245
9,36580,46,0.863,0.5481321387290955
10,36580,46,0.854,0.5659564599990845
11,29425,37,0.851,0.5594997172355651
12,23860,30,0.849,0.5819583525657653
13,30220,38,0.844,0.5725850377082825
14,10345,13,0.819,0.6407125277519226
15,12730,16,0.837,0.6159895162582397
16,8755,11,0.833,0.6256676807403564
17,13525,17,0.827,0.6554319005012512
18,15910,20,0.848,0.5783178968429565
19,14320,18,0.826,0.6375064535140991
20,14320,18,0.857,0.5986509075164795
21,15910,20,0.842,0.6060923533439636
22,18295,23,0.845,0.569736909866333
23,19885,25,0.844,0.5679488201141357
24,15115,19,0.828,0.6119244651794433
25,11935,15,0.839,0.6356288890838623
26,13525,17,0.832,0.6136748485565185
27,12730,16,0.836,0.6204314246177673
28,17500,22,0.846,0.5885798225402832
29,19090,24,0.831,0.6025015773773194
30,16705,21,0.838,0.6055122232437133
31,24655,31,0.849,0.5749404735565186
32,19090,24,0.833,0.5995360298156738
33,28630,36,0.843,0.5680245695114136
34,22270,28,0.851,0.5684270162582398
35,21475,27,0.839,0.5828013606071473
36,21475,27,0.848,0.5683541750907898
37,23860,30,0.853,0.5629929313659668
38,30220,38,0.853,0.5588475975990296
39,37375,47,0.849,0.5644906845092773
40,49300,62,0.852,0.5506972188949585
41,46120,58,0.864,0.5485932278633118
42,71560,90,0.858,0.5368483233451843
43,40555,51,0.858,0.543101448059082
44,17500,22,0.844,0.5822401666641235
45,23860,30,0.851,0.5700217971801758
46,26245,33,0.856,0.5704933443069458
47,19090,24,0.85,0.5823433661460876
48,28630,36,0.85,0.5611648473739624
49,19885,25,0.839,0.6024335651397705
50,23065,29,0.845,0.5800667753219605
51,20680,26,0.843,0.587888943195343
52,16705,21,0.844,0.5867443180084229
53,20680,26,0.842,0.5847717733383179
54,27835,35,0.853,0.5738898286819458
55,18295,23,0.845,0.5786136503219604
56,17500,22,0.856,0.56618536901474
57,15910,20,0.849,0.587139331817627
58,14320,18,0.834,0.6156893339157105
59,24655,31,0.843,0.5772815628051757
60,21475,27,0.835,0.5873441820144654
61,15115,19,0.855,0.5850065727233886
62,27040,34,0.845,0.5957771949768066
63,17500,22,0.839,0.6160319375991822
64,23860,30,0.84,0.5704342975616455
65,19090,24,0.842,0.606909743309021
66,18295,23,0.849,0.5810491795539856
67,15910,20,0.851,0.5928998689651489
68,19090,24,0.843,0.5815031323432922
69,19090,24,0.851,0.5630948729515076
70,19090,24,0.828,0.6146182513237
71,23860,30,0.851,0.5643818416595459
72,18295,23,0.841,0.6202420740127563
73,14320,18,0.839,0.5967574944496155
74,19090,24,0.832,0.5903638973236084
75,17500,22,0.84,0.5726700754165649
76,16705,21,0.833,0.612128176689148
77,15115,19,0.851,0.5675226497650147
78,14320,18,0.83,0.6013776321411133
79,13525,17,0.827,0.6190131545066834
80,12730,16,0.842,0.6145366868972778
81,13525,17,0.832,0.6069778895378113
82,13525,17,0.831,0.6200903949737548
83,15910,20,0.824,0.6396257705688476
84,13525,17,0.835,0.6188386597633362
85,14320,18,0.841,0.6155270700454711
86,14320,18,0.84,0.6289493007659912
87,11140,14,0.825,0.6543657331466675
88,11935,15,0.828,0.614758777141571
89,11140,14,0.839,0.6081291933059693
90,13525,17,0.824,0.653014310836792
91,14320,18,0.824,0.6376915483474731
92,11935,15,0.86,0.5864271554946899
93,15910,20,0.84,0.5834759645462037
94,15910,20,0.853,0.6045485305786132
95,12730,16,0.843,0.5980225129127502
96,11935,15,0.824,0.6349070634841919
97,11935,15,0.832,0.6156651973724365
98,11935,15,0.842,0.6164597616195678
99,14320,18,0.836,0.6299419813156127
100,13525,17,0.83,0.6051798887252807
101,16705,21,0.834,0.5997489814758301
102,20680,26,0.842,0.5807019414901733
103,23860,30,0.839,0.5808506908416748
104,29425,37,0.845,0.590586033821106
105,35785,45,0.858,0.5587560443878173
106,34195,43,0.842,0.5839751844406128
107,35785,45,0.85,0.5570006747245788
108,13525,17,0.848,0.5951052904129028
109,17500,22,0.817,0.6427003931999207
110,21475,27,0.841,0.5902130002975464
111,23860,30,0.837,0.5695552248954773
112,25450,32,0.84,0.5659750547409058
113,23860,30,0.839,0.5769020929336548
114,23065,29,0.843,0.5803750829696656
115,24655,31,0.849,0.5567247762680053
116,28630,36,0.851,0.5677127509117127
117,21475,27,0.841,0.5853501300811768
118,28630,36,0.848,0.5646158514022828
119,24655,31,0.856,0.5435629262924194
120,36580,46,0.849,0.5471507015228272
121,35785,45,0.851,0.55249369764328
122,44530,56,0.847,0.5545229597091674
123,38170,48,0.858,0.5593454627990723
124,28630,36,0.84,0.5782520332336426
125,47710,60,0.855,0.5504311304092407
126,28630,36,0.853,0.562581217765808
127,27835,35,0.852,0.5366197938919067
128,27835,35,0.845,0.5550667514801025
129,27040,34,0.847,0.5537273416519165
130,28630,36,0.849,0.5775930814743042
131,21475,27,0.843,0.5800958251953126
132,33400,42,0.844,0.5805174951553345
133,29425,37,0.85,0.5662735829353333
134,35785,45,0.862,0.5639628300666809
135,38170,48,0.848,0.5589657921791077
136,27040,34,0.84,0.5641457691192627
137,23860,30,0.85,0.5529784278869629
138,26245,33,0.831,0.5789852600097656
139,31810,40,0.85,0.5516578950881958
140,27835,35,0.853,0.5749509220123291
141,50095,63,0.847,0.565816107749939
142,48505,61,0.854,0.5543259062767029
143,38965,49,0.85,0.5756616973876953
144,53275,67,0.857,0.5569552450180054
145,76330,96,0.857,0.5303097620010376
146,59635,75,0.845,0.5544265141487121
147,50890,64,0.851,0.5676038045883178
148,29425,37,0.85,0.5516475734710693
149,38170,48,0.847,0.5644678573608398
150,40555,51,0.867,0.5454744911193847
151,51685,65,0.851,0.5452170276641846
152,46120,58,0.84,0.5507207856178283
153,46120,58,0.848,0.5443360862731934
154,40555,51,0.845,0.5608289556503296
155,50095,63,0.861,0.5521981625556945
156,43735,55,0.848,0.5620297703742981
157,44530,56,0.851,0.5550480718612671
158,46915,59,0.857,0.548999988079071
159,35785,45,0.85,0.5492734842300415
160,54865,69,0.862,0.5436668090820312
161,58840,74,0.854,0.5391664161682129
162,60430,76,0.858,0.53750017786026
163,61225,77,0.843,0.5483669700622559
164,68380,86,0.866,0.5209726095199585
165,34195,43,0.854,0.5742801952362061
166,46120,58,0.867,0.5331738786697388
167,69970,88,0.858,0.5495095624923706
168,58045,73,0.866,0.5270808138847352
169,43735,55,0.854,0.543943202972412
170,72355,91,0.859,0.5432160415649414
171,44530,56,0.851,0.548509783744812
172,31810,40,0.852,0.5591863698959351
173,38170,48,0.851,0.5597041835784912
174,27040,34,0.856,0.5601551146507263
175,35785,45,0.859,0.5476822290420532
176,38965,49,0.846,0.5553394260406495
177,27040,34,0.861,0.5608930940628052
178,35785,45,0.86,0.5440005393028259
179,32605,41,0.842,0.5704991765022278
180,49300,62,0.85,0.5546385736465455
181,34195,43,0.856,0.5597360067367554
182,38170,48,0.848,0.5571132135391236
183,30220,38,0.846,0.5520425076484681
184,50095,63,0.846,0.5585085501670838
185,43735,55,0.861,0.544154335975647
186,30220,38,0.839,0.5631533098220826
