Experiment 3 ,02_04_2020_07-06-49

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.softmax
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,28630,36,0.791,1.1761789312362672
1,31015,39,0.821,1.0817565202713013
2,13525,17,0.771,1.1716248779296874
3,39760,50,0.845,1.0948075647354125
4,51685,65,0.891,1.070373243331909
5,26245,33,0.865,1.0666401309967042
6,31015,39,0.822,1.08731538105011
7,36580,46,0.819,1.1116091814041138
8,36580,46,0.816,1.1078651094436645
9,50890,64,0.878,1.073013466835022
10,38965,49,0.823,1.1084790687561035
11,41350,52,0.808,1.1542404747009278
12,38965,49,0.865,1.063063611984253
13,74740,94,0.842,1.115084677696228
14,65995,83,0.875,1.071358543395996
15,39760,50,0.826,1.0811587772369384
16,68380,86,0.859,1.083843705177307
17,91435,115,0.832,1.1113189296722412
18,55660,70,0.882,1.09375443649292
19,47710,60,0.862,1.1036643524169922
20,65200,82,0.814,1.112989637374878
21,77125,97,0.816,1.1428042516708374
22,73150,92,0.818,1.0834850244522094
23,62815,79,0.82,1.1068223485946656
24,38170,48,0.766,1.18922700881958
25,54070,68,0.873,1.0678538455963136
26,48505,61,0.815,1.0993160400390625
27,50095,63,0.841,1.116832106590271
28,60430,76,0.814,1.1321593837738038
29,54070,68,0.828,1.1131567058563232
30,50890,64,0.83,1.125847589492798
31,110515,139,0.84,1.1129782419204712
32,131980,166,0.846,1.097602695465088
33,159805,201,0.82,1.1163920936584473
34,100180,126,0.813,1.1529770851135255
35,77125,97,0.849,1.0790120553970337
36,122440,154,0.859,1.0909653854370118
37,126415,159,0.892,1.0661273994445801
38,123235,155,0.85,1.095373303413391
39,72355,91,0.802,1.123828127861023
40,91435,115,0.84,1.1023503484725952
41,86665,109,0.885,1.0805057373046876
42,95410,120,0.812,1.1173935794830323
43,79510,100,0.818,1.122098840713501
44,54865,69,0.887,1.0758526077270507
45,74740,94,0.885,1.0916157341003419
46,67585,85,0.854,1.075943639755249
47,66790,84,0.876,1.0624041566848754
48,83485,105,0.866,1.074544595718384
49,64405,81,0.863,1.1187558307647705
50,86665,109,0.85,1.1250114803314208
51,74740,94,0.878,1.074823868751526
52,31810,40,0.812,1.1070082359313964
53,74740,94,0.782,1.1522653007507324
54,77125,97,0.857,1.118846492767334
55,89845,113,0.839,1.104237289428711
56,131185,165,0.81,1.142427349090576
57,131185,165,0.874,1.0805545043945313
58,150265,189,0.888,1.04989479637146
59,122440,154,0.881,1.0409776096343994
60,122440,154,0.885,1.0775653066635131
61,154240,194,0.88,1.080576509475708
62,260770,328,0.854,1.0921260929107666
63,181270,228,0.821,1.0893195543289185
64,182065,229,0.823,1.1159099912643433
65,137545,173,0.834,1.1135851039886475
66,121645,153,0.878,1.0879492826461792
67,129595,163,0.842,1.1221419448852539
68,195580,246,0.867,1.0854305419921875
69,201145,253,0.828,1.1205315036773682
70,181270,228,0.886,1.082642671585083
71,250435,315,0.882,1.0886916580200194
72,142315,179,0.806,1.104310809135437
73,204325,257,0.842,1.095936014175415
74,15910,20,0.808,1.1717318506240846
75,19090,24,0.824,1.1371168518066406
76,16705,21,0.76,1.1123852100372313
77,168550,212,0.826,1.1220983791351318
78,170140,214,0.791,1.1675068111419677
79,25450,32,0.823,1.0715352907180786
80,210685,265,0.812,1.1064998540878297
81,194785,245,0.89,1.0667352437973023
82,303700,382,0.826,1.1739045000076294
83,155830,196,0.847,1.1033515434265138
84,75535,95,0.794,1.1405138759613036
85,155035,195,0.819,1.1271275253295898
86,120055,151,0.822,1.1145691537857056
87,41350,52,0.796,1.1595834379196166
88,120055,151,0.846,1.104445463180542
89,33400,42,0.767,1.128167760848999
90,23860,30,0.843,1.0998641185760498
91,21475,27,0.823,1.0803330211639404
92,28630,36,0.815,1.120085599899292
93,38170,48,0.813,1.1474972410202027
94,30220,38,0.794,1.1134206638336182
95,20680,26,0.832,1.1026197652816772
96,23065,29,0.777,1.2008803215026855
97,19885,25,0.821,1.0887449550628663
98,34195,43,0.825,1.114889669418335
99,46120,58,0.783,1.1080437574386597
100,37375,47,0.867,1.0845708847045898
101,31810,40,0.882,1.0658133487701416
102,27835,35,0.828,1.164165958404541
103,31015,39,0.823,1.124345443725586
104,27040,34,0.812,1.1047384986877442
105,54070,68,0.865,1.0842178821563722
106,51685,65,0.894,1.0652053508758546
107,38965,49,0.823,1.148325605392456
108,35785,45,0.816,1.123401488304138
109,49300,62,0.873,1.080718557357788
110,50890,64,0.808,1.1039301719665526
111,60430,76,0.816,1.1350550308227538
112,67585,85,0.778,1.1581650047302245
113,53275,67,0.82,1.0814493989944458
114,91435,115,0.837,1.1052493562698364
115,104155,131,0.824,1.1403945808410645
116,147085,185,0.836,1.0945410890579224
117,124030,156,0.883,1.0807955522537231
118,193990,244,0.832,1.0993823041915893
119,170935,215,0.882,1.0697007989883422
120,135160,170,0.889,1.0836018352508545
121,87460,110,0.852,1.1174100856781006
122,100975,127,0.811,1.1471800403594972
123,162985,205,0.832,1.1284239921569825
124,59635,75,0.844,1.0744675369262695
125,166960,210,0.826,1.0984837017059326
126,87460,110,0.838,1.0954916534423829
127,47710,60,0.846,1.1056796340942383
128,90640,114,0.794,1.1473301429748535
129,58840,74,0.801,1.131387722015381
130,163780,206,0.87,1.115438051223755
131,63610,80,0.883,1.062626886367798
132,78715,99,0.88,1.0733082599639892
133,79510,100,0.86,1.0810268840789794
134,127210,160,0.829,1.0998989725112915
135,154240,194,0.814,1.1217372608184815
136,104950,132,0.883,1.0911550750732422
137,34990,44,0.826,1.1089412174224853
138,37375,47,0.817,1.0992466163635255
139,35785,45,0.819,1.0695860481262207
140,32605,41,0.876,1.0725298280715942
141,26245,33,0.819,1.113494439125061
142,45325,57,0.848,1.125064645767212
143,59635,75,0.759,1.1829562015533448
144,45325,57,0.891,1.0535393075942994
145,41350,52,0.841,1.128551597595215
146,77125,97,0.786,1.153906042098999
147,77125,97,0.829,1.1088643226623536
148,58840,74,0.869,1.0930471630096437
149,110515,139,0.883,1.098206174850464
150,24655,31,0.832,1.099582236289978
151,62020,78,0.808,1.130503833770752
152,19885,25,0.809,1.1601170463562012
153,124825,157,0.878,1.0981483449935914
154,143905,181,0.89,1.0906775026321411
155,160600,202,0.89,1.0600151596069336
156,135955,171,0.844,1.0832885684967042
157,73945,93,0.884,1.0647593631744385
158,85075,107,0.879,1.0851444091796876
159,57250,72,0.841,1.0993121976852418
160,71560,90,0.816,1.112170742034912
161,101770,128,0.782,1.1254870443344116
162,195580,246,0.841,1.1392004127502442
163,70765,89,0.877,1.1128793449401855
164,101770,128,0.825,1.119307698249817
165,99385,125,0.812,1.1152523956298828
166,141520,178,0.832,1.13275843334198
167,97000,122,0.894,1.0744994592666626
168,82690,104,0.849,1.1292776565551759
169,86665,109,0.878,1.0850720615386964
170,168550,212,0.873,1.0925028896331788
171,138340,174,0.846,1.1145882396697997
172,138340,174,0.828,1.0986678829193115
173,137545,173,0.852,1.1000640850067138
174,155035,195,0.888,1.0690758819580077
175,106540,134,0.844,1.1250187606811524
176,139135,175,0.86,1.1107655363082887
177,124825,157,0.838,1.1062997932434082
178,195580,246,0.824,1.1169845876693725
