name,generation,avg acc,avg los,avg par
Adam,0,0.907333333,0.293084122,36315
Adam,1,0.909333333,0.291395016,42145
Adam,2,0.905666667,0.289790874,42675
Adam,3,0.91,0.288149855,48770
Adam,4,0.908333333,0.283720665,51950
Adam,5,0.910666667,0.282117318,50625
Adam,6,0.907,0.287391109,51155
Adam,7,0.913,0.272686415,58575
Adam,8,0.912333333,0.273829685,55130
Adam,9,0.912,0.273385194,60695
Adam,10,0.918666667,0.258547404,65730
Adam,11,0.913,0.271358632,65730
Adam,12,0.912,0.26902262,63610
Adam,13,0.916666667,0.262277176,70235
Adam,14,0.92,0.247488444,90375
Adam,15,0.916,0.262734718,87195
Adam,16,0.915666667,0.269113538,64670
Adam,17,0.913333333,0.263511753,75005
Adam,18,0.913666667,0.264193534,77390
Adam,19,0.918,0.262615361,76065
Adam,20,0.917666667,0.247522488,85870
Adam,21,0.918333333,0.249495268,82160
Adam,22,0.917333333,0.257676552,89315
Adam,23,0.917333333,0.24698743,95145
Adam,24,0.916,0.251267565,97795
Adam,25,0.919333333,0.249136196,99385
Adam,26,0.917666667,0.24487533,112900
Adam,27,0.923,0.237482642,107600
Adam,28,0.921333333,0.241729345,106010
Adam,29,0.92,0.248539222,101770
Adam,30,0.922,0.250857579,99650
Adam,31,0.919,0.247640041,111310
Adam,32,0.915,0.258182312,113430
Adam,33,0.917,0.260258197,132245
Adam,34,0.916,0.253367971,129065
Adam,35,0.92,0.257313193,108130
Adam,36,0.921666667,0.250413049,143110
Adam,37,0.920333333,0.263353254,146290
Adam,38,0.915333333,0.248495549,145230
Adam,39,0.920666667,0.246698957,150530
Adam,40,0.917,0.258570674,139400
Adam,41,0.912666667,0.260400202,123235
Adam,42,0.920666667,0.243948496,143375
Adam,43,0.919333333,0.261210391,152120
Adam,44,0.912666667,0.25911643,153445
Adam,45,0.917333333,0.250896345,162720
Adam,46,0.919,0.238159206,173320
Adam,47,0.920333333,0.243739629,160600
Adam,48,0.920666667,0.256483742,174645
Adam,49,0.916333333,0.24040908,153445
Adam,50,0.924333333,0.240030106,163515
Adam,51,0.921,0.237978126,161395
Adam,52,0.922,0.234731209,203265
Adam,53,0.926,0.236462682,206975
Adam,54,0.924,0.232756109,196640
Adam,55,0.927,0.218930201,218370
Adam,56,0.921,0.251527221,122705
Adam,57,0.916666667,0.249313539,134365
Adam,58,0.922,0.248101119,141255
Adam,59,0.915666667,0.248250113,148145
Adam,60,0.925,0.245078784,160335
Adam,61,0.921333333,0.23774421,160865
Adam,62,0.922666667,0.23985456,212010
Adam,63,0.920666667,0.238394471,219960
