Experiment 2 ,11_04_2020_05-15-42

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,39760,50,0.91,0.2835949912071228
1,34990,44,0.913,0.29050296926498415
2,42145,53,0.905,0.3005898118019104
3,38170,48,0.91,0.2778739140033722
4,39760,50,0.915,0.28061718702316285
5,46915,59,0.918,0.2709400026798248
6,38965,49,0.914,0.28642931962013246
7,38170,48,0.91,0.2856847567558289
8,43735,55,0.891,0.3270002989768982
9,52480,66,0.906,0.2876546032428741
10,52480,66,0.914,0.2868555586338043
11,45325,57,0.921,0.2628870990276337
12,41350,52,0.9,0.2970212621688843
13,60430,76,0.913,0.2734902229309082
14,50890,64,0.912,0.2761356103420258
15,54070,68,0.905,0.28109138429164887
16,68380,86,0.913,0.26977539587020877
17,74740,94,0.915,0.28103162479400634
18,46120,58,0.915,0.2708927216529846
19,58045,73,0.909,0.27540382838249206
20,54070,68,0.912,0.27410341358184814
21,52480,66,0.913,0.28137465643882753
22,48505,61,0.91,0.2826571056842804
23,48505,61,0.912,0.2895377359390259
24,43735,55,0.908,0.2760980393886566
25,50095,63,0.901,0.28700377011299133
26,43735,55,0.913,0.2767067732810974
27,62815,79,0.913,0.26479276156425474
28,77920,98,0.921,0.24518373918533326
29,89050,112,0.927,0.2478048141002655
30,82690,104,0.911,0.2668956799507141
31,104155,131,0.927,0.2335137450695038
32,132775,167,0.918,0.24496382355690002
33,150265,189,0.926,0.22388545203208923
34,156625,197,0.918,0.23796729373931885
35,134365,169,0.921,0.23716793823242188
36,143110,180,0.915,0.23739106607437133
37,145495,183,0.92,0.22922678482532502
38,185245,233,0.919,0.23741361427307128
39,174115,219,0.93,0.21003045082092286
40,205120,258,0.927,0.21857371747493745
41,254410,320,0.924,0.22997634947299958
42,320395,403,0.937,0.19839460122585298
43,320395,403,0.93,0.2104251322746277
44,396715,499,0.932,0.20061207056045532
45,414205,521,0.926,0.1991042218208313
46,384790,484,0.927,0.21291975343227387
47,504040,634,0.93,0.21032955491542815
48,384790,484,0.931,0.20504738092422486
49,418180,526,0.941,0.1864069765806198
50,425335,535,0.944,0.1928969908952713
51,407845,513,0.93,0.2239093148112297
52,472240,594,0.928,0.19243104422092439
53,510400,642,0.932,0.20131316888332368
54,658270,828,0.933,0.19818727254867555
55,694045,873,0.94,0.19119357573986054
56,697225,877,0.942,0.18898128950595855
57,828400,1042,0.928,0.21226629209518433
58,880075,1107,0.948,0.1764359992146492
59,943675,1187,0.94,0.18379764091968537
60,1200460,1510,0.944,0.18517791742086412
61,837940,1054,0.942,0.19713515985012053
62,907900,1142,0.928,0.21659999501705168
63,907900,1142,0.943,0.17978869235515593
64,1188535,1495,0.944,0.1761782163977623
65,1452475,1827,0.949,0.17805416405200958
66,1462810,1840,0.945,0.17769021010398864
67,1673485,2105,0.94,0.18531289851665497
68,1542310,1940,0.936,0.19286337745189666
69,1691770,2128,0.946,0.1862947938144207
70,1295860,1630,0.925,0.21314180894196033
71,2232370,2808,0.941,0.20415186265110968
72,2347645,2953,0.944,0.17509650760889053
73,2480410,3120,0.933,0.2307209993004799
74,2421580,3046,0.948,0.20251299846172333
75,2291200,2882,0.949,0.1620355830937624
76,1912780,2406,0.944,0.18697672829031944
77,1917550,2412,0.937,0.20991648888587952
78,2010565,2529,0.943,0.1831857271194458
79,1558210,1960,0.947,0.16439560562372207
80,2308690,2904,0.934,0.208065948843956
81,1977175,2487,0.942,0.185468182310462
82,3285745,4133,0.948,0.18356320717930794
83,1551055,1951,0.941,0.1788524124622345
84,1653610,2080,0.935,0.22756622672080995
85,1590010,2000,0.941,0.19691443210840226
86,2533675,3187,0.945,0.17816762605309486
87,1861900,2342,0.944,0.19601533544063568
88,2712550,3412,0.945,0.1821552609205246
89,1824535,2295,0.946,0.17384580372273922
90,2479615,3119,0.94,0.18687255203723907
91,2072575,2607,0.945,0.20062219309806822
