Experiment 2 ,30_03_2020_00-12-52

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,34990,44,0.904,0.30354484176635743
1,44530,56,0.906,0.30161734294891357
2,54070,68,0.911,0.29025851559638977
3,48505,61,0.908,0.2959942831993103
4,48505,61,0.906,0.299904114484787
5,45325,57,0.906,0.28921589279174803
6,38965,49,0.907,0.30263130378723146
7,42940,54,0.913,0.27605133152008055
8,50095,63,0.913,0.2691271200180054
9,50095,63,0.907,0.29501728534698485
10,50095,63,0.917,0.2659397752285004
11,55660,70,0.912,0.2863750305175781
12,69970,88,0.909,0.2788635294437408
13,89050,112,0.916,0.2594060111045837
14,93820,118,0.921,0.2395687824487686
15,78715,99,0.908,0.27700548815727233
16,73150,92,0.912,0.2681678626537323
17,87460,110,0.915,0.2492298882007599
18,87460,110,0.914,0.26651974749565127
19,81100,102,0.915,0.27252763056755064
20,93820,118,0.916,0.24013628315925598
21,104950,132,0.925,0.23468321466445924
22,117670,148,0.918,0.2584631781578064
23,117670,148,0.918,0.24115047454833985
24,104155,131,0.917,0.25190166807174685
25,117670,148,0.922,0.2432999336719513
26,149470,188,0.925,0.22960892987251283
27,147085,185,0.929,0.22221750795841216
28,150265,189,0.932,0.222219388961792
29,180475,227,0.924,0.2182592467069626
30,171730,216,0.931,0.22540745413303376
31,206710,260,0.936,0.21228330326080322
32,206710,260,0.925,0.22311935710906983
33,272695,343,0.935,0.21012088871002196
34,283825,357,0.927,0.20467733931541443
35,200350,252,0.932,0.20759722828865051
36,292570,368,0.936,0.20107006907463074
37,313240,394,0.932,0.21953824299573899
38,317215,399,0.936,0.19645146214962006
39,341065,429,0.928,0.19892381358146669
40,281440,354,0.936,0.20719226253032685
41,204325,257,0.927,0.2181050437092781
42,281440,354,0.935,0.2028474977016449
43,332320,418,0.929,0.22547276055812834
44,332320,418,0.915,0.2239133496284485
45,316420,398,0.928,0.20696711015701294
46,311650,392,0.931,0.20008646786212922
47,279850,352,0.926,0.21519067025184632
48,320395,403,0.929,0.22448156493902208
49,266335,335,0.924,0.2141909875869751
50,282235,355,0.937,0.2091909304857254
51,339475,427,0.938,0.18544216287136078
52,439645,553,0.932,0.1944068585038185
53,439645,553,0.935,0.1931297827363014
54,367300,462,0.937,0.19035894286632538
55,426130,536,0.935,0.19459162521362305
56,217840,274,0.929,0.21186170613765717
57,217840,274,0.93,0.20223200976848602
58,249640,314,0.931,0.21397188889980318
59,260770,328,0.915,0.22509414112567902
60,271105,341,0.934,0.20844638299942017
61,267130,336,0.93,0.2001461353302002
62,387175,487,0.935,0.2074981849193573
63,377635,475,0.927,0.20797310316562653
64,395920,498,0.935,0.2068002520799637
65,397510,500,0.934,0.18830887746810912
66,305290,384,0.932,0.2147323534488678
67,314035,395,0.938,0.2007849807739258
68,302110,380,0.933,0.22104824376106263
69,250435,315,0.933,0.19692053723335265
70,311650,392,0.938,0.20146457302570342
71,305290,384,0.925,0.2173162134885788
72,357760,450,0.935,0.19850844317674637
73,169345,213,0.927,0.2170685042142868
74,142315,179,0.92,0.24667572140693664
75,126415,159,0.914,0.24724621081352233
76,103360,130,0.927,0.23912579774856568
77,100975,127,0.911,0.263311208486557
78,104950,132,0.912,0.27873500871658324
79,102565,129,0.916,0.25400787925720214
80,85870,108,0.918,0.2471892558336258
81,73945,93,0.909,0.2723674490451813
82,81100,102,0.912,0.27084929203987124
83,85870,108,0.925,0.24237033319473267
84,96205,121,0.926,0.23803264737129212
85,114490,144,0.916,0.2527963660955429
86,114490,144,0.929,0.2519861595630646
87,138340,174,0.92,0.22378832614421845
88,128800,162,0.937,0.22353171849250794
89,143905,181,0.922,0.23053612518310546
90,159010,200,0.923,0.22640016412734984
91,124030,156,0.92,0.2447581310272217
92,155035,195,0.915,0.24363583493232727
93,194785,245,0.914,0.23714098966121674
94,221815,279,0.929,0.23072479701042176
95,222610,280,0.924,0.2145537987947464
96,156625,197,0.922,0.22850594902038573
97,155830,196,0.929,0.23850606751441955
98,136750,172,0.919,0.24704685282707214
99,110515,139,0.921,0.23198683607578277
100,112900,142,0.919,0.23474115312099456
101,112900,142,0.921,0.23813296914100646
102,161395,203,0.916,0.23083282399177552
103,202735,255,0.927,0.2191795802116394
104,256000,322,0.928,0.21221467852592468
105,306880,386,0.93,0.2160494211912155
106,306880,386,0.922,0.2295600073337555
107,360940,454,0.93,0.20599483501911164
108,318010,400,0.931,0.2025364295244217
109,159010,200,0.934,0.21977667546272278
110,214660,270,0.933,0.21347661519050598
111,208300,262,0.927,0.21680312204360963
112,176500,222,0.92,0.24107572793960572
113,194785,245,0.922,0.22553314977884292
114,204325,257,0.927,0.21412693905830382
115,240100,302,0.924,0.2195986535549164
116,258385,325,0.929,0.20462590956687926
117,291775,367,0.933,0.20508132123947143
118,218635,275,0.934,0.22030822968482972
119,168550,212,0.927,0.2250712308883667
120,175705,221,0.933,0.22525550627708435
121,198760,250,0.935,0.2174238247871399
122,174115,219,0.913,0.24064571619033814
123,169345,213,0.916,0.24409152472019197
124,169345,213,0.916,0.2460719840526581
125,213070,268,0.923,0.22103136157989503
126,109720,138,0.917,0.2441066529750824
127,135160,170,0.926,0.23378266716003418
128,156625,197,0.924,0.24233995378017426
129,127210,160,0.917,0.26194305205345153
130,103360,130,0.92,0.24597556781768798
131,86665,109,0.913,0.25066300749778747
132,85075,107,0.918,0.24764067316055297
133,71560,90,0.912,0.2637906031608582
134,84280,106,0.919,0.2572903869152069
135,77125,97,0.927,0.24987718534469605
136,97000,122,0.922,0.2499663553237915
137,112900,142,0.917,0.24571817183494568
138,112900,142,0.923,0.24901763343811034
139,116875,147,0.918,0.25036922430992126
140,131980,166,0.926,0.23413729810714723
141,162190,204,0.929,0.23998996591567992
142,133570,168,0.925,0.23027948880195617
143,131980,166,0.922,0.2439348669052124
144,112105,141,0.921,0.25372397446632383
145,160600,202,0.922,0.24112443590164184
146,176500,222,0.925,0.21999875712394715
147,152650,192,0.93,0.21290366661548615
148,193990,244,0.918,0.24718628239631651
149,116080,146,0.919,0.2520817697048187
150,100180,126,0.92,0.2385897934436798
151,93025,117,0.923,0.24376031517982483
152,99385,125,0.924,0.22819230961799622
153,92230,116,0.918,0.24883511924743654
154,108925,137,0.918,0.24924046945571898
