Experiment 2 ,11_04_2020_02-15-41

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,27835,35,0.89,0.321178750038147
1,34990,44,0.906,0.30268543219566346
2,37375,47,0.905,0.2831878306865692
3,46120,58,0.915,0.27511733984947206
4,46120,58,0.908,0.28772763299942017
5,46120,58,0.912,0.2655327181816101
6,50890,64,0.909,0.2891116030216217
7,58840,74,0.916,0.27087968373298643
8,58840,74,0.91,0.2909081897735596
9,65995,83,0.913,0.2662253186702728
10,65995,83,0.903,0.2858859553337097
11,69970,88,0.912,0.2671101403236389
12,69970,88,0.909,0.26494788241386413
13,76330,96,0.92,0.243267902135849
14,91435,115,0.924,0.24125399613380433
15,93025,117,0.916,0.25316923356056215
16,110515,139,0.917,0.24096577548980713
17,102565,129,0.916,0.2545108652114868
18,109720,138,0.924,0.2400722436904907
19,110515,139,0.917,0.24281762647628785
20,93025,117,0.907,0.27099877429008484
21,112105,141,0.916,0.2510642191171646
22,143110,180,0.919,0.23388493990898132
23,158215,199,0.923,0.23862916803359985
24,185245,233,0.93,0.2259916180372238
25,134365,169,0.915,0.2432884063720703
26,131980,166,0.933,0.21017571878433228
27,178090,224,0.925,0.22477622985839843
28,155035,195,0.922,0.23347739279270172
29,197170,248,0.923,0.22576891708374022
30,135955,171,0.914,0.2473265095949173
31,173320,218,0.919,0.2277376095056534
32,166165,209,0.923,0.2363203157186508
33,214660,270,0.933,0.2183832414150238
34,211480,266,0.922,0.23724838018417357
35,205120,258,0.937,0.20111808240413664
36,201145,253,0.931,0.223956227183342
37,253615,319,0.927,0.23299732613563537
38,228175,287,0.92,0.22517730689048768
39,281440,354,0.935,0.19756028538942336
40,270310,340,0.938,0.1974528203010559
41,319600,402,0.941,0.19399858915805818
42,383995,483,0.935,0.19348410564661025
43,383995,483,0.93,0.20917385220527648
44,416590,524,0.938,0.19488007938861848
45,440440,554,0.932,0.2065917032957077
46,411025,517,0.934,0.19332038021087647
47,449185,565,0.927,0.21354039776325226
48,564460,710,0.939,0.19757991766929625
49,577180,726,0.939,0.18054856550693513
50,587515,739,0.939,0.18613297688961028
51,652705,821,0.938,0.19617404854297638
52,818860,1030,0.934,0.19204342204332353
53,946855,1191,0.939,0.18901621633768081
54,1148785,1445,0.94,0.1934970827102661
55,1147195,1443,0.948,0.173697701305151
56,1447705,1821,0.948,0.1665944427251816
57,1338790,1684,0.937,0.18335378581285477
58,1426240,1794,0.94,0.18241475677490235
59,1889725,2377,0.941,0.18401014348864556
60,1539130,1936,0.944,0.17868901070952414
61,1539130,1936,0.92,0.24574050897359848
62,2101195,2643,0.944,0.178187431037426
63,2315845,2913,0.94,0.2119270260334015
64,2535265,3189,0.948,0.18623177912831307
65,2280865,2869,0.93,0.21901264810562135
66,3234865,4069,0.946,0.18493339169025422
67,3234865,4069,0.951,0.17203190794587137
68,3173650,3992,0.949,0.17111739152669905
69,2104375,2647,0.94,0.19727527704834938
70,2515390,3164,0.952,0.17551373183727265
71,2409655,3031,0.945,0.18879242636263371
72,2455765,3089,0.94,0.17429820477962493
73,2385805,3001,0.945,0.19578931388258933
74,3027370,3808,0.941,0.18943530431389807
75,2208520,2778,0.951,0.1749904913008213
76,2395345,3013,0.931,0.21830699133872986
77,3056785,3845,0.941,0.1837370272576809
78,4291420,5398,0.944,0.1620266599804163
79,3224530,4056,0.943,0.19203293651342393
80,3301645,4153,0.942,0.19997984543442726
81,3993295,5023,0.949,0.18116810750961304
82,3168085,3985,0.927,0.23995180831849575
83,2601250,3272,0.947,0.1597497401237488
84,2927200,3682,0.95,0.1931964425817132
85,2981260,3750,0.94,0.18653007701039315
86,3618055,4551,0.942,0.18408674074709416
87,3072685,3865,0.944,0.1939987531006336
88,3797725,4777,0.953,0.16511356876790523
89,4065640,5114,0.942,0.1857696922123432
90,4401925,5537,0.942,0.180673742800951
91,4524355,5691,0.946,0.1837390135526657
92,4282675,5387,0.936,0.23653662833571434
93,3856555,4851,0.943,0.17988716858625411
94,4247695,5343,0.946,0.1661863322556019
95,2812720,3538,0.943,0.19551207953691482
96,4490170,5648,0.953,0.16229416765272617
97,4475065,5629,0.945,0.20565728057175875
98,5130145,6453,0.953,0.18326910555362702
99,4406695,5543,0.954,0.15892591193318367
100,4475860,5630,0.94,0.1956578265428543
101,3327880,4186,0.941,0.188442442715168
102,3725380,4686,0.939,0.19307162526249885
103,3691195,4643,0.94,0.20941591811180116
104,3549685,4465,0.947,0.19156268405914306
105,3110845,3913,0.947,0.17839668169617653
106,2202955,2771,0.948,0.16518024015426636
107,2517775,3167,0.934,0.24047572362422942
108,4006015,5039,0.945,0.18794202184677125
109,3609310,4540,0.941,0.18842466726899146
110,3393865,4269,0.949,0.17244337141513824
111,4303345,5413,0.936,0.18401622167229653
112,4231000,5322,0.949,0.1899649043828249
113,5378980,6766,0.944,0.19629687830805778
114,4762855,5991,0.939,0.20843239390850068
115,3334240,4194,0.943,0.20177421951293945
116,4229410,5320,0.927,0.23609974476695061
117,2651335,3335,0.94,0.20148374927043916
118,3315160,4170,0.935,0.19400279980897903
119,2488360,3130,0.942,0.1778437432050705
120,3717430,4676,0.945,0.17431814743578433
