name,generation,avg acc,avg los,avg par
Fitness_accuracy,0,0.907333333,0.293084122,36315
Fitness_accuracy,1,0.909333333,0.291395016,42145
Fitness_accuracy,2,0.905666667,0.289790874,42675
Fitness_accuracy,3,0.91,0.288149855,48770
Fitness_accuracy,4,0.908333333,0.283720665,51950
Fitness_accuracy,5,0.910666667,0.282117318,50625
Fitness_accuracy,6,0.907,0.287391109,51155
Fitness_accuracy,7,0.913,0.272686415,58575
Fitness_accuracy,8,0.912333333,0.273829685,55130
Fitness_accuracy,9,0.912,0.273385194,60695
Fitness_accuracy,10,0.918666667,0.258547404,65730
Fitness_accuracy,11,0.913,0.271358632,65730
Fitness_accuracy,12,0.912,0.26902262,63610
Fitness_accuracy,13,0.916666667,0.262277176,70235
Fitness_accuracy,14,0.92,0.247488444,90375
Fitness_accuracy,15,0.916,0.262734718,87195
Fitness_accuracy,16,0.915666667,0.269113538,64670
Fitness_accuracy,17,0.913333333,0.263511753,75005
Fitness_accuracy,18,0.913666667,0.264193534,77390
Fitness_accuracy,19,0.918,0.262615361,76065
Fitness_accuracy,20,0.917666667,0.247522488,85870
Fitness_accuracy,21,0.918333333,0.249495268,82160
Fitness_accuracy,22,0.917333333,0.257676552,89315
Fitness_accuracy,23,0.917333333,0.24698743,95145
Fitness_accuracy,24,0.916,0.251267565,97795
Fitness_accuracy,25,0.919333333,0.249136196,99385
Fitness_accuracy,26,0.917666667,0.24487533,112900
Fitness_accuracy,27,0.923,0.237482642,107600
Fitness_accuracy,28,0.921333333,0.241729345,106010
Fitness_accuracy,29,0.92,0.248539222,101770
Fitness_accuracy,30,0.922,0.250857579,99650
Fitness_accuracy,31,0.919,0.247640041,111310
Fitness_accuracy,32,0.915,0.258182312,113430
Fitness_accuracy,33,0.917,0.260258197,132245
Fitness_accuracy,34,0.916,0.253367971,129065
Fitness_accuracy,35,0.92,0.257313193,108130
Fitness_accuracy,36,0.921666667,0.250413049,143110
Fitness_accuracy,37,0.920333333,0.263353254,146290
Fitness_accuracy,38,0.915333333,0.248495549,145230
Fitness_accuracy,39,0.920666667,0.246698957,150530
Fitness_accuracy,40,0.917,0.258570674,139400
Fitness_accuracy,41,0.912666667,0.260400202,123235
Fitness_accuracy,42,0.920666667,0.243948496,143375
Fitness_accuracy,43,0.919333333,0.261210391,152120
Fitness_accuracy,44,0.912666667,0.25911643,153445
Fitness_accuracy,45,0.917333333,0.250896345,162720
Fitness_accuracy,46,0.919,0.238159206,173320
Fitness_accuracy,47,0.920333333,0.243739629,160600
Fitness_accuracy,48,0.920666667,0.256483742,174645
Fitness_accuracy,49,0.916333333,0.24040908,153445
Fitness_accuracy,50,0.924333333,0.240030106,163515
Fitness_accuracy,51,0.921,0.237978126,161395
Fitness_accuracy,52,0.922,0.234731209,203265
Fitness_accuracy,53,0.926,0.236462682,206975
Fitness_accuracy,54,0.924,0.232756109,196640
Fitness_accuracy,55,0.927,0.218930201,218370
Fitness_accuracy,56,0.921,0.251527221,122705
Fitness_accuracy,57,0.916666667,0.249313539,134365
Fitness_accuracy,58,0.922,0.248101119,141255
Fitness_accuracy,59,0.915666667,0.248250113,148145
Fitness_accuracy,60,0.925,0.245078784,160335
Fitness_accuracy,61,0.921333333,0.23774421,160865
Fitness_accuracy,62,0.922666667,0.23985456,212010
Fitness_accuracy,63,0.920666667,0.238394471,219960
Fitness_accuracy,64,0.922333333,0.240339319,212805
Fitness_accuracy,65,0.924666667,0.234579572,227645
Fitness_accuracy,66,0.923,0.232740156,201940
Fitness_accuracy,67,0.926333333,0.229879112,205120
Fitness_accuracy,68,0.926666667,0.227040367,215985
Fitness_accuracy,69,0.927333333,0.228830445,204060
Fitness_accuracy,70,0.929,0.227075098,213865
Fitness_accuracy,71,0.923333333,0.2303418,214925
Fitness_accuracy,72,0.925666667,0.224816535,283560
Fitness_accuracy,73,0.926,0.22575699,219695
Fitness_accuracy,74,0.923,0.236747722,181535
Fitness_accuracy,75,0.923333333,0.228498264,177030
Fitness_accuracy,76,0.924,0.236452317,200615
Fitness_accuracy,77,0.921666667,0.234874185,158745
Fitness_accuracy,78,0.919666667,0.250575067,152120
Fitness_accuracy,79,0.922,0.246244373,156890
Fitness_accuracy,80,0.918333333,0.247979263,159540
Fitness_accuracy,81,0.917666667,0.249336449,128270
Fitness_accuracy,82,0.922666667,0.236664045,147615
Fitness_accuracy,83,0.924666667,0.23313903,168285
Fitness_accuracy,84,0.929333333,0.232879389,175440
Fitness_accuracy,85,0.924,0.227491367,203000
Fitness_accuracy,86,0.930333333,0.230747631,201940
Fitness_accuracy,87,0.925,0.221705535,247520
Fitness_accuracy,88,0.936,0.212064906,298400
Fitness_accuracy,89,0.926666667,0.217723987,294690
Fitness_accuracy,90,0.923666667,0.224584935,311650
Fitness_accuracy,91,0.925666667,0.224873767,274815
Fitness_accuracy,92,0.925333333,0.215645835,302110
Fitness_accuracy,93,0.922333333,0.226292321,322780
Fitness_accuracy,94,0.929333333,0.216383861,329670
Fitness_accuracy,95,0.927,0.213799283,418975
Fitness_accuracy,96,0.924,0.229773064,334440
Fitness_accuracy,97,0.926333333,0.227895151,301315
Fitness_accuracy,98,0.926333333,0.221946337,312975
Fitness_accuracy,99,0.927666667,0.214720785,324900
Fitness_accuracy,100,0.928333333,0.217597105,329670
Fitness_accuracy,101,0.926666667,0.219667327,371540
Fitness_accuracy,102,0.927666667,0.212452078,365975
Fitness_accuracy,103,0.930333333,0.212034104,372070
Fitness_accuracy,104,0.927666667,0.213198024,392475
Fitness_accuracy,105,0.929333333,0.216082636,359615
Fitness_accuracy,106,0.928666667,0.215178722,457400
Fitness_accuracy,107,0.933333333,0.200794129,460845
Fitness_accuracy,108,0.928666667,0.210666029,347425
Fitness_accuracy,109,0.931333333,0.211699165,294160
Fitness_accuracy,110,0.932,0.204247359,340800
Fitness_accuracy,111,0.931333333,0.206052515,434610
Fitness_accuracy,112,0.931333333,0.217682424,408640
Fitness_accuracy,113,0.928333333,0.212984553,402015
Fitness_accuracy,114,0.930666667,0.203757332,383730
Fitness_accuracy,115,0.931333333,0.207639136,468795
Fitness_accuracy,116,0.932333333,0.20302737,425865
Fitness_accuracy,117,0.933666667,0.197366466,440175
Fitness_accuracy,118,0.934333333,0.200467296,449980
Fitness_accuracy,119,0.93,0.208964709,428780
Fitness_accuracy,120,0.933333333,0.206342908,396715
Fitness_accuracy,121,0.935666667,0.200333081,383200
Fitness_accuracy,122,0.932666667,0.208511678,456340
Fitness_accuracy,123,0.927,0.207736891,649260
Fitness_accuracy,124,0.932333333,0.210457384,574530
Fitness_accuracy,125,0.935666667,0.194873504,728760
Fitness_accuracy,126,0.930333333,0.212031253,569495
Fitness_accuracy,127,0.933333333,0.212486959,694045
Fitness_accuracy,128,0.936333333,0.209890691,659595
Fitness_accuracy,129,0.927,0.219196109,579830
Fitness_accuracy,130,0.931333333,0.2053227,509870
Fitness_accuracy,131,0.927666667,0.217239102,618785
Fitness_accuracy,132,0.927,0.209241734,444680
Fitness_accuracy,133,0.927333333,0.223282193,429840
Fitness_accuracy,134,0.930666667,0.216620367,462700
Fitness_accuracy,135,0.935,0.213714799,403340
Fitness_accuracy,136,0.932666667,0.219439452,503245
Fitness_accuracy,137,0.929666667,0.212460873,409965
Fitness_accuracy,138,0.932,0.211921325,479925
Fitness_accuracy,139,0.922333333,0.235217487,352990
Fitness_accuracy,140,0.934666667,0.208863633,465880
Fitness_accuracy,141,0.933,0.207621392,558895
Fitness_accuracy,142,0.932,0.209762013,457400
Fitness_accuracy,143,0.928333333,0.216092493,417915
Fitness_accuracy,144,0.928,0.218222218,483900
Fitness_accuracy,145,0.929,0.209266341,491850
Fitness_accuracy,146,0.928333333,0.213944318,460580
Fitness_accuracy,147,0.934666667,0.210829963,469855
Fitness_accuracy,148,0.933666667,0.209242676,560750
Fitness_accuracy,149,0.932,0.217126399,484960
Fitness_accuracy,150,0.930333333,0.210680924,536105
Fitness_accuracy,151,0.932,0.209698683,506425
Fitness_accuracy,152,0.932333333,0.207713966,483105
Fitness_accuracy,153,0.929666667,0.222260199,442825
Fitness_accuracy,154,0.932666667,0.215303064,528155
Fitness_accuracy,155,0.931,0.215251372,535575
Fitness_accuracy,156,0.927666667,0.222547679,483105
Fitness_accuracy,157,0.928333333,0.214700524,433020
Fitness_accuracy,158,0.932666667,0.215805708,647935
Fitness_accuracy,159,0.929,0.221687924,466675
Fitness_accuracy,160,0.926333333,0.217662711,555185
Fitness_accuracy,161,0.933666667,0.207298244,688745
Fitness_accuracy,162,0.931,0.213243526,779110
Fitness_accuracy,163,0.931666667,0.207417594,828400
Fitness_accuracy,164,0.933333333,0.209958215,814355
Fitness_accuracy,165,0.932666667,0.212999041,685565
Fitness_accuracy,166,0.938,0.206311461,837675
Fitness_accuracy,167,0.937,0.21316185,636010
Fitness_accuracy,168,0.931,0.208134678,626205
Fitness_accuracy,169,0.928,0.219244623,445740
Fitness_accuracy,170,0.929333333,0.215964003,522590
Fitness_accuracy,171,0.93,0.224887014,733530
Fitness_accuracy,172,0.93,0.211959412,655355
Fitness_accuracy,173,0.928666667,0.22211842,637335
Fitness_accuracy,174,0.929333333,0.217079025,592550
Fitness_accuracy,175,0.931,0.217040943,677350
Fitness_accuracy,176,0.932666667,0.213311228,863115
Fitness_accuracy,177,0.930333333,0.219841779,1038015
Fitness_accuracy,178,0.932666667,0.212596174,1118310
,,,,
Fitness_errorrate,0,0.914333333,0.288911216,36580
Fitness_errorrate,1,0.908333333,0.295277763,40025
Fitness_errorrate,2,0.907,0.294249848,40290
Fitness_errorrate,3,0.91,0.283468125,45855
Fitness_errorrate,4,0.908666667,0.283975323,47710
Fitness_errorrate,5,0.915,0.273506268,56455
Fitness_errorrate,6,0.912666667,0.280805882,54865
Fitness_errorrate,7,0.916666667,0.268398135,54070
Fitness_errorrate,8,0.910333333,0.28014753,66260
Fitness_errorrate,9,0.91,0.279309216,66260
Fitness_errorrate,10,0.916333333,0.26715838,85605
Fitness_errorrate,11,0.921333333,0.256311028,93290
Fitness_errorrate,12,0.912,0.271053937,102035
Fitness_errorrate,13,0.922666667,0.24630878,125090
Fitness_errorrate,14,0.917,0.256574315,103625
Fitness_errorrate,15,0.915333333,0.264598668,111045
Fitness_errorrate,16,0.92,0.253591082,108925
Fitness_errorrate,17,0.922,0.257635946,121910
Fitness_errorrate,18,0.918666667,0.24868637,115550
Fitness_errorrate,19,0.917333333,0.247538159,126150
Fitness_errorrate,20,0.925333333,0.246589657,133040
Fitness_errorrate,21,0.921666667,0.245837133,143905
Fitness_errorrate,22,0.924666667,0.238201038,159275
Fitness_errorrate,23,0.923,0.244367108,170670
Fitness_errorrate,24,0.920666667,0.246355806,177825
Fitness_errorrate,25,0.915333333,0.249420255,168020
Fitness_errorrate,26,0.924,0.237322671,188160
Fitness_errorrate,27,0.921,0.230506042,195050
Fitness_errorrate,28,0.927,0.230424659,226320
Fitness_errorrate,29,0.929666667,0.223194704,214395
Fitness_errorrate,30,0.923333333,0.235224417,234535
Fitness_errorrate,31,0.931333333,0.220172115,296015
Fitness_errorrate,32,0.926666667,0.214621099,271900
Fitness_errorrate,33,0.927333333,0.219976362,360940
Fitness_errorrate,34,0.928,0.215484508,312180
Fitness_errorrate,35,0.928,0.206521447,308470
Fitness_errorrate,36,0.922333333,0.22096715,332055
Fitness_errorrate,37,0.929,0.206517292,361205
Fitness_errorrate,38,0.931666667,0.210137534,389030
Fitness_errorrate,39,0.937,0.200114746,422950
Fitness_errorrate,40,0.931333333,0.206253179,492380
Fitness_errorrate,41,0.929666667,0.210643483,543525
Fitness_errorrate,42,0.937666667,0.201399244,562075
Fitness_errorrate,43,0.932666667,0.210218744,674965
Fitness_errorrate,44,0.936,0.190899843,661715
Fitness_errorrate,45,0.936,0.19169933,681855
Fitness_errorrate,46,0.938666667,0.187578641,741480
Fitness_errorrate,47,0.936333333,0.197373969,908695
Fitness_errorrate,48,0.935333333,0.195900135,752610
Fitness_errorrate,49,0.936333333,0.19775229,869210
Fitness_errorrate,50,0.942333333,0.188002862,1032185
Fitness_errorrate,51,0.936,0.209093389,929100
Fitness_errorrate,52,0.936,0.187627454,1060540
Fitness_errorrate,53,0.936666667,0.192631072,1092075
Fitness_errorrate,54,0.941333333,0.189755567,1258495
Fitness_errorrate,55,0.943333333,0.178797455,1118840
Fitness_errorrate,56,0.937333333,0.21165378,1294270
Fitness_errorrate,57,0.93,0.216299359,1189330
Fitness_errorrate,58,0.945333333,0.176265117,1392320
Fitness_errorrate,59,0.937,0.204301623,1328455
Fitness_errorrate,60,0.942333333,0.18761645,1229345
Fitness_errorrate,61,0.941666667,0.179336095,1134475
Fitness_errorrate,62,0.938666667,0.188717071,1414845
Fitness_errorrate,63,0.941,0.19244948,1393910
Fitness_errorrate,64,0.940666667,0.199475806,1398150
Fitness_errorrate,65,0.943333333,0.190349157,1362375
Fitness_errorrate,66,0.947333333,0.173811826,1515810
Fitness_errorrate,67,0.942666667,0.186658522,1632145
Fitness_errorrate,68,0.936,0.197520591,1589745
Fitness_errorrate,69,0.940333333,0.188035891,1438960
Fitness_errorrate,70,0.936,0.204101047,1396295
Fitness_errorrate,71,0.938666667,0.20584123,1738145
Fitness_errorrate,72,0.946,0.172495163,2032560
Fitness_errorrate,73,0.943333333,0.194425472,2107820
Fitness_errorrate,74,0.937333333,0.212890156,2464775
Fitness_errorrate,75,0.946333333,0.186778995,2652130
Fitness_errorrate,76,0.944333333,0.192504993,2297560
Fitness_errorrate,77,0.937666667,0.202630797,2415750
Fitness_errorrate,78,0.944333333,0.185656658,2477495
Fitness_errorrate,79,0.942,0.183851641,1434455
Fitness_errorrate,80,0.938666667,0.193415704,1776040
Fitness_errorrate,81,0.942,0.190616569,1727280
Fitness_errorrate,82,0.945333333,0.183390125,2242440
Fitness_errorrate,83,0.938333333,0.190182564,1595045
Fitness_errorrate,84,0.939666667,0.191638209,1869320
Fitness_errorrate,85,0.944,0.183974482,2064890
