Experiment 3 ,11_04_2020_06-15-42

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,37375,47,0.91,0.29729920530319215
1,37375,47,0.906,0.3031420886516571
2,39760,50,0.905,0.2974707531929016
3,46915,59,0.905,0.2993004906177521
4,42145,53,0.896,0.3108704233169556
5,48505,61,0.909,0.2889385464191437
6,34990,44,0.907,0.3061994152069092
7,33400,42,0.915,0.2799702880382538
8,39760,50,0.914,0.28829141211509707
9,44530,56,0.906,0.2944173192977905
10,56455,71,0.911,0.27545665526390073
11,46915,59,0.913,0.2786497671604157
12,60430,76,0.91,0.2885738527774811
13,58045,73,0.921,0.24994325661659242
14,54070,68,0.915,0.27239315342903136
15,48505,61,0.912,0.2889256784915924
16,50890,64,0.912,0.27661321592330934
17,54070,68,0.915,0.28583176803588867
18,70765,89,0.913,0.2566144061088562
19,77125,97,0.918,0.25688482642173766
20,71560,90,0.924,0.2610155816078186
21,85075,107,0.922,0.2485944607257843
22,108925,137,0.928,0.22901148343086242
23,100975,127,0.921,0.24828049147129058
24,127210,160,0.914,0.2680618908405304
25,107335,135,0.912,0.25712990140914915
26,124825,157,0.921,0.23880695486068726
27,108130,136,0.914,0.2494050028324127
28,108130,136,0.924,0.2438459267616272
29,109720,138,0.922,0.23132461619377137
30,141520,178,0.915,0.24779124116897583
31,169345,213,0.927,0.2342334793806076
32,196375,247,0.928,0.20119751858711243
33,203530,256,0.919,0.23854480099678038
34,231355,291,0.932,0.21166309225559235
35,310060,390,0.925,0.2004853855371475
36,351400,442,0.922,0.22382793313264845
37,422155,531,0.933,0.18924100029468535
38,422155,531,0.938,0.20858631634712219
