Experiment 1 ,29_03_2020_23-12-52

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,34195,43,0.909,0.289684387922287
1,36580,46,0.907,0.2894941675662994
2,42940,54,0.905,0.2755147976875305
3,53275,67,0.908,0.2900716061592102
4,53275,67,0.911,0.25844451212882996
5,45325,57,0.91,0.2911090829372406
6,46915,59,0.904,0.2974168601036072
7,51685,65,0.911,0.2864435858726501
8,56455,71,0.917,0.2744889976978302
9,64405,81,0.919,0.25688934564590454
10,77125,97,0.923,0.24552180409431457
11,77125,97,0.916,0.27094481921195984
12,62020,78,0.912,0.2693987903594971
13,69970,88,0.918,0.2579151666164398
14,98590,124,0.92,0.2527035720348358
15,114490,144,0.927,0.24257169759273528
16,58840,74,0.918,0.27871660256385805
17,68380,86,0.909,0.2805048589706421
18,77920,98,0.917,0.25495636463165283
19,66790,84,0.913,0.26903791952133177
20,73945,93,0.915,0.2658320424556732
21,86665,109,0.917,0.24132177186012269
22,83485,105,0.919,0.25691016125679017
23,93025,117,0.919,0.23158333206176757
24,97000,122,0.918,0.24248971819877624
25,117670,148,0.925,0.23204037261009217
26,124030,156,0.909,0.25330733489990237
27,91435,115,0.925,0.23431683826446534
28,100975,127,0.917,0.24480211365222931
29,61225,77,0.918,0.27193047547340393
30,72355,91,0.919,0.25543807935714724
31,61225,77,0.904,0.2780032932758331
32,82690,104,0.913,0.26475617790222167
33,82690,104,0.916,0.26623264026641846
34,73150,92,0.917,0.25953764259815215
35,82690,104,0.916,0.265288019657135
36,93820,118,0.926,0.24411260986328126
37,87460,110,0.92,0.2650923290252686
38,80305,101,0.921,0.24819933652877807
39,89050,112,0.92,0.2349383238554001
40,115285,145,0.917,0.25365488457679747
41,138340,174,0.919,0.24368048799037934
42,121645,153,0.924,0.22528867602348326
43,94615,119,0.92,0.25303814363479615
44,97795,123,0.918,0.24278156065940856
45,137545,173,0.92,0.25017890393733977
46,167755,211,0.917,0.23258833050727845
47,166960,210,0.929,0.21509159100055694
48,159805,201,0.928,0.22563834631443025
49,145495,183,0.923,0.22882090520858764
50,158215,199,0.922,0.23310274338722228
51,84280,106,0.913,0.25652305006980897
52,93025,117,0.92,0.2456816155910492
53,93025,117,0.924,0.25502227997779847
54,126415,159,0.922,0.2557607772350311
55,104950,132,0.923,0.23814962315559388
56,114490,144,0.924,0.2447775716781616
57,135955,171,0.917,0.25535253357887266
58,131980,166,0.923,0.24815810108184813
59,137545,173,0.924,0.240746346116066
60,168550,212,0.928,0.23713123250007628
61,173320,218,0.928,0.2188882393836975
62,207505,261,0.925,0.21918965971469878
63,240895,303,0.928,0.2147445969581604
64,201145,253,0.927,0.22520892214775085
65,229765,289,0.926,0.22623677027225494
66,233740,294,0.926,0.22006341648101807
67,233740,294,0.923,0.22737741494178773
68,260770,328,0.936,0.19098667770624161
69,289390,364,0.935,0.2135826072692871
70,267130,336,0.935,0.20121579813957213
71,294160,370,0.936,0.20111345648765563
72,411025,517,0.926,0.21327022409439086
73,409435,515,0.937,0.18807594442367553
74,312445,393,0.937,0.20417158198356627
75,293365,369,0.931,0.19568329298496245
76,358555,451,0.924,0.22313199305534362
77,290980,366,0.936,0.19436626493930817
78,263950,332,0.932,0.20836741209030152
79,285415,359,0.927,0.2376750909090042
80,331525,417,0.927,0.2217222077846527
81,236125,297,0.93,0.2188536763191223
82,287005,361,0.933,0.2018499766588211
83,322780,406,0.931,0.20778342366218566
84,322780,406,0.94,0.2088682895898819
85,358555,451,0.932,0.20332533299922942
86,370480,466,0.941,0.18695199978351593
87,486550,612,0.93,0.19813865166902542
88,626470,788,0.942,0.19131246936321258
89,592285,745,0.937,0.18579607355594635
90,617725,777,0.932,0.20278012788295746
91,531865,669,0.935,0.20224815118312836
92,558895,703,0.93,0.19297632265090942
93,558895,703,0.934,0.21443718019127847
94,576385,725,0.935,0.1953621882200241
95,746515,939,0.929,0.20730463004112243
96,746515,939,0.929,0.22970008587837218
97,632830,796,0.933,0.19886527413129806
98,655885,825,0.941,0.18431193482875824
99,725050,912,0.941,0.18344171380996704
100,747310,940,0.945,0.18444979137182235
101,861790,1084,0.937,0.18775648087263108
102,779905,981,0.94,0.18119404101371764
103,748900,942,0.941,0.18118827426433562
104,756850,952,0.934,0.201371917784214
105,579565,729,0.936,0.2046034707427025
106,902335,1135,0.94,0.1880619570016861
107,800575,1007,0.939,0.17744735342264176
108,508015,639,0.927,0.20292447382211684
109,472240,594,0.925,0.21842415070533752
110,520735,655,0.933,0.19084461462497712
111,726640,914,0.928,0.20301488864421843
112,696430,876,0.937,0.18872179782390594
113,753670,948,0.936,0.19373604887723922
114,616930,776,0.937,0.18372485983371734
115,773545,973,0.944,0.18983436274528503
116,780700,982,0.939,0.17803430545330048
117,740155,931,0.944,0.1688450365662575
118,817270,1028,0.945,0.17188381111621856
119,831580,1046,0.939,0.1744376606941223
120,726640,914,0.934,0.18979464340209962
121,646345,813,0.941,0.18581770157814026
122,867355,1091,0.948,0.1883298125267029
123,1396825,1757,0.937,0.18007861310243606
124,1056565,1329,0.942,0.18883300328254699
125,1333225,1677,0.943,0.18173636436462404
126,842710,1060,0.938,0.20130962300300598
127,1237825,1557,0.937,0.19376949802041055
128,938905,1181,0.94,0.19870852097868918
129,1333225,1677,0.937,0.1833370135128498
130,1052590,1324,0.946,0.16766826522350312
131,1411135,1775,0.938,0.19762918370962143
132,860995,1083,0.932,0.1898068168759346
133,840325,1057,0.944,0.19285988438129426
134,840325,1057,0.933,0.19551519453525543
135,613750,772,0.942,0.19216439300775529
136,1038280,1306,0.94,0.1886361186504364
137,806140,1014,0.94,0.1866178992986679
138,1004890,1264,0.942,0.17732394337654114
139,647935,815,0.925,0.23775961589813233
140,899950,1132,0.939,0.19262381654977798
141,1148785,1445,0.942,0.1869994183778763
142,976270,1228,0.941,0.18620021921396254
143,815680,1026,0.933,0.19638702952861786
144,1058950,1332,0.94,0.18816142225265503
145,1042255,1311,0.938,0.17664755082130432
146,866560,1090,0.931,0.19775778788328172
147,907105,1141,0.945,0.19236390975117684
148,1046230,1316,0.945,0.1798340534567833
149,1054975,1327,0.943,0.20216898912191392
150,1159120,1458,0.948,0.1786549554467201
151,1062925,1337,0.941,0.17575779980421066
152,985810,1240,0.948,0.17185528349876403
153,1025560,1290,0.941,0.20129915392398834
154,1144810,1440,0.941,0.18697260558605194
155,1166275,1467,0.943,0.17876168763637543
156,991375,1247,0.94,0.2030308752655983
157,798985,1005,0.942,0.18982203674316406
158,1446910,1820,0.94,0.19880546653270723
159,914260,1150,0.937,0.19645280224084855
160,1112215,1399,0.938,0.18008049160242082
161,1388080,1746,0.944,0.17150023889541627
162,1640095,2063,0.941,0.18114301311969758
163,1640095,2063,0.942,0.18373718455433846
164,1613065,2029,0.947,0.16893429493904114
165,1047025,1317,0.942,0.19068363741040228
166,1345945,1693,0.939,0.18586383682489396
167,1065310,1340,0.945,0.2096177791953087
168,1096315,1379,0.94,0.18657093080878256
169,891205,1121,0.937,0.1963042740225792
170,1133680,1426,0.935,0.2093665079474449
171,1764910,2220,0.943,0.17901529121398926
172,1569340,1974,0.937,0.17646089005470275
173,1471555,1851,0.94,0.20458928072452545
174,1334815,1679,0.939,0.18809014016389847
175,1590805,2001,0.945,0.1831541240811348
176,2051905,2581,0.948,0.16744839948415757
177,2731630,3436,0.944,0.19203020429611206
178,2849290,3584,0.946,0.19266778016090394
