Experiment 2 ,11_04_2020_08-15-43

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,7960,10,0.855,0.457578099489212
1,13525,17,0.895,0.35561485528945924
2,15115,19,0.894,0.34894024753570557
3,19090,24,0.888,0.35536463403701785
4,15115,19,0.885,0.3629916172027588
5,14320,18,0.89,0.35411558294296264
6,15115,19,0.9,0.3634739236831665
7,14320,18,0.898,0.3391317970752716
8,12730,16,0.886,0.38354289531707764
9,11935,15,0.892,0.36484602975845337
10,10345,13,0.877,0.38976951360702516
11,10345,13,0.879,0.4051442952156067
12,11935,15,0.878,0.3911693558692932
13,10345,13,0.884,0.37731237936019896
14,10345,13,0.884,0.3942581067085266
15,10345,13,0.885,0.3942931237220764
16,10345,13,0.883,0.38545474195480345
17,8755,11,0.872,0.4002509241104126
18,7165,9,0.873,0.4386763606071472
19,6370,8,0.867,0.43999868488311766
20,7165,9,0.869,0.4263119020462036
21,7960,10,0.886,0.40344764018058776
22,7165,9,0.87,0.4214778060913086
23,5575,7,0.853,0.49036277389526367
24,7960,10,0.871,0.4087392363548279
25,6370,8,0.86,0.4797094392776489
26,5575,7,0.839,0.504677372455597
27,6370,8,0.866,0.42635982179641724
28,7165,9,0.864,0.43814974784851074
29,4780,6,0.849,0.5248984212875366
30,5575,7,0.83,0.5444141187667847
31,6370,8,0.864,0.4585072078704834
32,6370,8,0.858,0.4805888042449951
33,6370,8,0.85,0.5122235021591186
34,4780,6,0.848,0.5305814986228943
35,7165,9,0.891,0.4003203854560852
36,6370,8,0.862,0.4696270122528076
37,6370,8,0.871,0.4472023334503174
38,7165,9,0.869,0.4526852569580078
39,6370,8,0.859,0.45938088083267214
40,5575,7,0.866,0.47592529678344725
41,5575,7,0.864,0.4571389293670654
42,4780,6,0.826,0.5347294106483459
43,5575,7,0.849,0.49128630590438843
44,6370,8,0.884,0.42592396163940427
45,4780,6,0.828,0.581245756149292
46,7165,9,0.883,0.3963156976699829
47,4780,6,0.834,0.5508076128959656
48,7960,10,0.883,0.38195048332214354
49,7960,10,0.881,0.3980565052032471
50,5575,7,0.846,0.5028140125274658
51,5575,7,0.854,0.5195913372039795
52,5575,7,0.838,0.5414404134750366
53,5575,7,0.852,0.4870264072418213
54,6370,8,0.86,0.4717412166595459
55,6370,8,0.859,0.5158708686828614
56,4780,6,0.845,0.5362020144462586
57,3985,5,0.793,0.7195567874908447
58,5575,7,0.862,0.4893616571426392
59,5575,7,0.868,0.45687681341171266
60,5575,7,0.818,0.5629000873565674
61,3190,4,0.76,0.7589112405776978
62,3190,4,0.705,0.9056187839508056
63,3190,4,0.729,0.9225035171508789
64,3985,5,0.787,0.7181185092926026
65,3985,5,0.746,0.7352327842712403
66,3190,4,0.743,0.9300290060043335
67,3190,4,0.77,0.8107700252532959
68,3190,4,0.762,0.7136809973716736
69,3190,4,0.761,0.794733925819397
70,3985,5,0.806,0.6721743469238282
71,3190,4,0.75,0.7787769403457642
72,3190,4,0.789,0.7555679302215577
73,3190,4,0.727,0.8908332920074463
74,3190,4,0.732,0.8534646825790405
75,2395,3,0.677,1.1394622020721437
76,2395,3,0.587,1.24920934009552
77,2395,3,0.623,1.181231704711914
78,2395,3,0.629,1.1865706729888916
79,2395,3,0.67,1.048015851020813
80,2395,3,0.68,1.0571953477859497
81,2395,3,0.619,1.2070830249786377
82,2395,3,0.647,1.2613209037780762
83,2395,3,0.63,1.1846917324066162
84,2395,3,0.657,1.2375285358428956
85,2395,3,0.668,0.9927893710136414
86,2395,3,0.67,1.052731713294983
87,2395,3,0.665,1.0983901624679566
88,2395,3,0.647,1.1517235517501831
89,2395,3,0.599,1.1751550903320314
90,2395,3,0.537,1.2240254726409912
91,2395,3,0.595,1.3198657989501954
92,2395,3,0.589,1.2150368566513061
93,2395,3,0.643,1.1940499572753906
94,1600,2,0.427,1.6422880334854126
95,1600,2,0.514,1.5229173660278321
96,1600,2,0.45,1.560392765045166
97,1600,2,0.511,1.478119255065918
98,1600,2,0.432,1.5904267597198487
99,1600,2,0.465,1.5306373329162597
100,1600,2,0.44,1.631094801902771
101,1600,2,0.391,1.6956468133926392
102,1600,2,0.469,1.5272921361923217
103,1600,2,0.515,1.495642433166504
104,1600,2,0.471,1.5080094976425171
105,1600,2,0.53,1.4950531854629516
106,1600,2,0.443,1.5888031206130981
107,1600,2,0.498,1.3842771835327148
108,1600,2,0.381,1.690572594642639
109,1600,2,0.491,1.4653821907043456
110,1600,2,0.302,1.6860851707458495
111,1600,2,0.46,1.6173285312652588
112,1600,2,0.461,1.6093022842407227
113,1600,2,0.424,1.66620264339447
114,1600,2,0.475,1.560100694656372
115,1600,2,0.477,1.488882064819336
116,1600,2,0.48,1.5684458026885986
117,1600,2,0.474,1.5095766077041626
118,1600,2,0.469,1.6301828393936157
119,1600,2,0.438,1.515456090927124
120,1600,2,0.5,1.5168402404785157
121,1600,2,0.482,1.5318425693511963
