Experiment 3 ,12_04_2020_02-23-15

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Nadam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,4780,6,0.832,0.5883663396835327
1,4780,6,0.794,0.6518612508773803
2,5575,7,0.858,0.47855313968658447
3,4780,6,0.803,0.6516324071884155
4,9550,12,0.882,0.3978952150344849
5,8755,11,0.878,0.3932792601585388
6,8755,11,0.881,0.41103774213790895
7,7960,10,0.877,0.4192784423828125
8,7165,9,0.864,0.45888323116302493
9,5575,7,0.843,0.5617974452972412
10,4780,6,0.849,0.5133399391174316
11,4780,6,0.83,0.5733281235694885
12,4780,6,0.828,0.5687623109817505
13,3985,5,0.793,0.6485862236022949
14,3985,5,0.795,0.6675940675735473
15,3985,5,0.773,0.7180666818618774
16,3985,5,0.8,0.6912929096221924
17,3985,5,0.796,0.6668104648590087
18,7960,10,0.882,0.41677299737930296
19,7165,9,0.863,0.4604264893531799
20,7960,10,0.882,0.4079259300231934
21,6370,8,0.849,0.5037425746917724
22,4780,6,0.831,0.5876684865951538
23,4780,6,0.808,0.6138869714736939
24,4780,6,0.82,0.6015369749069214
25,4780,6,0.827,0.5795516510009766
26,3985,5,0.795,0.650528392791748
27,4780,6,0.802,0.6504628162384033
28,4780,6,0.841,0.5535116157531739
29,3985,5,0.787,0.7187858667373658
30,3985,5,0.795,0.6780468683242797
31,3985,5,0.825,0.6366558628082275
32,3985,5,0.81,0.686510262966156
33,3985,5,0.829,0.5707540431022644
34,3985,5,0.788,0.6636517162322998
35,3190,4,0.707,0.9746579694747924
36,3985,5,0.795,0.7328543577194214
37,3190,4,0.721,0.8419064788818359
38,3190,4,0.765,0.8797371406555176
39,3190,4,0.744,0.8633866662979126
40,3190,4,0.759,0.8162468070983887
41,3190,4,0.781,0.7158404235839844
42,2395,3,0.694,0.9888787412643433
43,3190,4,0.74,0.8841093902587891
44,3190,4,0.769,0.8125299873352051
45,3985,5,0.839,0.5677927513122558
46,3190,4,0.753,0.7784402513504028
47,3985,5,0.811,0.6015360713005066
48,3190,4,0.752,0.8181873898506165
49,3190,4,0.767,0.8261723461151123
50,3190,4,0.776,0.7763422641754151
51,3190,4,0.754,0.8624910459518432
52,3190,4,0.769,0.8278693218231201
53,2395,3,0.641,1.0058715515136718
54,3985,5,0.785,0.7447393827438354
55,2395,3,0.651,1.1057476472854615
56,2395,3,0.636,1.0806868963241578
57,2395,3,0.654,1.1921186180114747
58,2395,3,0.645,1.1893440246582032
59,2395,3,0.594,1.2416649560928346
60,2395,3,0.612,1.153764575958252
61,2395,3,0.63,1.19054278755188
62,2395,3,0.639,1.0637378778457642
63,2395,3,0.663,1.0942274150848388
64,2395,3,0.691,0.9554170875549316
65,1600,2,0.47,1.5075722732543946
66,1600,2,0.429,1.5498271827697754
67,1600,2,0.437,1.5573585262298584
68,1600,2,0.491,1.5203705883026124
69,1600,2,0.417,1.5699461612701415
70,1600,2,0.435,1.5747171230316162
71,1600,2,0.448,1.577613832473755
72,805,1,0.251,1.900030340194702
73,805,1,0.259,2.0083936710357664
74,805,1,0.241,2.0010613584518433
75,805,1,0.233,2.0161521291732787
76,805,1,0.253,1.9710965461730956
77,805,1,0.226,1.9441552772521973
78,805,1,0.237,1.9390403432846068
79,805,1,0.236,2.011207239151001
80,805,1,0.266,1.9593131618499755
81,805,1,0.278,1.9036264743804931
82,805,1,0.255,1.9608476009368896
83,805,1,0.32,1.9364652671813964
84,805,1,0.294,1.9128082304000855
85,805,1,0.253,1.980561294555664
86,805,1,0.253,1.9737686138153077
87,805,1,0.236,1.9741578540802003
88,805,1,0.216,1.8984648332595826
89,805,1,0.28,1.9510529794692992
90,805,1,0.244,1.9435544567108154
91,805,1,0.255,2.019210249900818
92,805,1,0.238,1.9775428009033202
93,805,1,0.249,2.0070602016448973
94,805,1,0.235,1.9742576751708985
95,805,1,0.255,2.0170782947540284
96,805,1,0.271,1.97901340007782
97,805,1,0.245,1.984342565536499
98,805,1,0.254,1.9172010536193849
99,805,1,0.232,1.9013023509979248
100,805,1,0.245,1.958194013595581
101,805,1,0.266,1.9123649215698242
102,805,1,0.283,1.9004198055267334
103,805,1,0.224,1.985713254928589
104,805,1,0.231,2.0031365728378296
105,805,1,0.238,1.961832498550415
106,805,1,0.239,1.9025200834274292
107,805,1,0.253,1.971761531829834
108,805,1,0.253,1.954543846130371
109,805,1,0.245,1.968377649307251
110,805,1,0.256,1.9773945388793945
111,805,1,0.243,1.9706149139404296
112,805,1,0.249,1.9912144861221313
113,805,1,0.24,1.9230759887695312
114,805,1,0.198,1.9528138694763184
115,805,1,0.238,2.0058514919281007
116,805,1,0.254,1.9925983276367187
117,805,1,0.288,1.9358096914291383
118,805,1,0.259,2.007660719871521
119,805,1,0.239,1.978974266052246
120,805,1,0.249,1.9655989665985107
121,805,1,0.248,1.9935883102416991
122,805,1,0.244,1.950458246231079
123,805,1,0.241,1.9559227457046509
124,805,1,0.25,1.9802280311584473
125,805,1,0.255,1.8944452304840087
126,805,1,0.27,1.9337757816314698
127,805,1,0.248,1.9754415473937987
128,805,1,0.241,1.9231007785797118
129,805,1,0.248,1.9880609092712402
130,805,1,0.25,1.9614232578277588
131,805,1,0.239,1.9199711017608643
132,805,1,0.25,1.8874678363800048
133,805,1,0.254,1.967031873703003
134,805,1,0.273,1.9708397855758668
135,805,1,0.233,1.9947225456237794
136,805,1,0.256,1.9558525848388673
