Experiment 1 ,12_04_2020_23-04-24

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,38170,48,0.911,0.28693215918540954
1,23065,29,0.908,0.3083453073501587
2,34195,43,0.899,0.3074047830104828
3,27835,35,0.903,0.2998844304084778
4,25450,32,0.907,0.30896640396118163
5,23860,30,0.907,0.3054909110069275
6,23860,30,0.906,0.3112457940578461
7,12730,16,0.902,0.35831107521057126
8,14320,18,0.896,0.3415965156555176
9,11140,14,0.896,0.36356955003738406
10,15910,20,0.895,0.3423640866279602
11,14320,18,0.893,0.33993309688568113
12,15115,19,0.899,0.32795847845077514
13,18295,23,0.899,0.3384973511695862
14,19885,25,0.902,0.3138228368759155
15,24655,31,0.9,0.33385222864151
16,29425,37,0.9,0.30196866846084597
17,37375,47,0.9,0.2920765564441681
18,45325,57,0.907,0.283654825925827
19,48505,61,0.916,0.2755087039470673
20,68380,86,0.914,0.26116543769836426
21,88255,111,0.918,0.24419237291812898
22,73150,92,0.918,0.25692096710205076
23,74740,94,0.912,0.2625917739868164
24,78715,99,0.926,0.2566643877029419
25,99385,125,0.922,0.2500736768245697
26,123235,155,0.923,0.23963531517982484
27,139135,175,0.927,0.21921656370162965
28,162985,205,0.921,0.23882014441490174
29,183655,231,0.937,0.2068581907749176
30,186835,235,0.927,0.22369658064842224
31,197965,249,0.931,0.20776864922046662
32,176500,222,0.933,0.22620015335083007
33,230560,290,0.93,0.2022771383523941
34,236125,297,0.925,0.22982303929328918
35,273490,344,0.928,0.22813221883773804
36,211480,266,0.927,0.21946806383132936
37,275080,346,0.936,0.20104678678512572
38,225790,284,0.928,0.2378666685819626
39,252820,318,0.925,0.2221809927225113
40,356965,449,0.936,0.21703897154331206
41,371275,467,0.933,0.21018017899990082
42,356965,449,0.934,0.2012502830028534
43,261565,329,0.927,0.22812936878204346
44,352990,444,0.929,0.21766576564311982
45,427720,538,0.936,0.21082993471622466
46,571615,719,0.942,0.19312290740013122
