Experiment 1 ,12_04_2020_03-23-16

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,35785,45,0.912,0.2881043815612793
1,41350,52,0.906,0.29730375719070434
2,53275,67,0.916,0.252557718038559
3,53275,67,0.909,0.2807974183559418
4,68380,86,0.921,0.24829524779319764
5,86665,109,0.928,0.21961510014533997
6,73945,93,0.916,0.2646623649597168
7,77125,97,0.92,0.24231905126571654
8,93025,117,0.917,0.258795494556427
9,79510,100,0.923,0.2480363245010376
10,109720,138,0.911,0.27149473047256467
11,66790,84,0.918,0.2755292842388153
12,60430,76,0.913,0.25031366539001465
13,81895,103,0.916,0.25837729787826536
14,81895,103,0.914,0.25291246390342714
15,82690,104,0.918,0.24785936284065246
16,102565,129,0.912,0.24622013545036317
17,97795,123,0.913,0.2689639973640442
18,90640,114,0.923,0.2501949797868729
19,102565,129,0.921,0.2386283438205719
20,114490,144,0.921,0.2509815729856491
21,104950,132,0.926,0.2295064126253128
22,137545,173,0.926,0.2349134314060211
23,151855,191,0.93,0.22627053952217102
24,151855,191,0.927,0.2174044944047928
25,147085,185,0.923,0.23821830582618714
26,175705,221,0.927,0.21341628313064576
27,155830,196,0.927,0.2100161168575287
28,197170,248,0.926,0.22319272172451018
29,194785,245,0.928,0.21951752614974976
30,206710,260,0.932,0.21860261046886445
31,247255,311,0.929,0.21719019186496735
32,272695,343,0.929,0.20995769369602205
33,313240,394,0.929,0.2041759889125824
34,300520,378,0.933,0.19899382328987122
35,356965,449,0.928,0.20950996375083925
36,345835,435,0.936,0.19226225054264068
37,444415,559,0.929,0.20776888751983644
38,318805,401,0.926,0.22588543826341628
39,372865,469,0.923,0.23055504202842714
40,353785,445,0.935,0.1946597002148628
41,434080,546,0.936,0.20423352229595185
42,540610,680,0.941,0.18344546234607698
43,540610,680,0.938,0.18971289730072022
44,581155,731,0.939,0.19026458644866942
45,709150,892,0.937,0.1974200825691223
46,615340,774,0.932,0.1828778418302536
47,605800,762,0.941,0.18370429247617723
48,748105,941,0.939,0.18715377640724182
49,864175,1087,0.942,0.18758073067665101
50,833965,1049,0.943,0.1808902280032635
51,803755,1011,0.938,0.18276296925544738
52,1033510,1300,0.944,0.17844202941656112
53,1043845,1313,0.937,0.19299198532104492
54,1128115,1419,0.938,0.17827215856313705
55,1182175,1487,0.947,0.16649261981248856
56,1036690,1304,0.943,0.18745263004302978
