Experiment 3 ,12_04_2020_08-23-17

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,20680,26,0.903,0.3136323022842407
1,21475,27,0.899,0.3327465558052063
2,22270,28,0.898,0.32942288303375244
3,15910,20,0.9,0.32578947401046754
4,34990,44,0.904,0.3086942446231842
5,19885,25,0.9,0.3090271649360657
6,27040,34,0.903,0.2991219992637634
7,53275,67,0.917,0.26294168329238893
8,64405,81,0.905,0.26979275059700014
9,80305,101,0.916,0.2649738185405731
10,103360,130,0.915,0.24940303063392638
11,120055,151,0.925,0.2339866271018982
12,77125,97,0.921,0.24884522461891173
13,108130,136,0.927,0.2402896966934204
14,103360,130,0.921,0.23731046485900878
15,161395,203,0.924,0.23234154558181763
16,194785,245,0.931,0.22429513597488404
17,223405,281,0.926,0.22307255387306213
18,170935,215,0.917,0.23796271371841432
19,157420,198,0.917,0.25353722500801085
20,155830,196,0.925,0.22751976084709166
21,174115,219,0.931,0.21479533529281616
22,195580,246,0.928,0.21573314905166627
23,199555,251,0.929,0.20870273780822754
24,235330,296,0.931,0.2157094076871872
25,280645,353,0.927,0.2241546769142151
26,290980,366,0.931,0.1942952731847763
27,306085,385,0.935,0.20759423053264617
28,375250,472,0.926,0.20387675619125367
29,318805,401,0.938,0.20133739364147185
30,372865,469,0.932,0.21256016373634337
31,365710,460,0.936,0.19533974134922027
32,461905,581,0.932,0.2085001739859581
33,488140,614,0.94,0.1896171783208847
34,379225,477,0.935,0.2131783471107483
35,577975,727,0.943,0.1748958547115326
36,623290,784,0.938,0.1871729395389557
37,605800,762,0.937,0.20081440556049346
38,550150,692,0.941,0.19068433952331543
39,650320,818,0.928,0.20150944459438325
40,744925,937,0.935,0.19374815267324447
41,752080,946,0.942,0.17795404636859893
42,810115,1019,0.943,0.17868033319711685
43,868150,1092,0.931,0.20887561869621277
44,894385,1125,0.94,0.1784454966187477
45,489730,616,0.939,0.19182134592533112
46,549355,691,0.927,0.22241097646951674
47,704380,886,0.951,0.18607399636507035
48,728230,916,0.942,0.18419909846782684
49,734590,924,0.938,0.18639967483282088
50,1058155,1331,0.934,0.20239553666114807
51,890410,1120,0.944,0.1768563042283058
52,1104265,1389,0.941,0.1776487393975258
53,1088365,1369,0.939,0.18493913185596467
54,1337995,1683,0.941,0.18928397750854492
55,1008865,1269,0.937,0.17970592838525773
56,1761730,2216,0.938,0.22677968350052832
57,1655995,2083,0.944,0.1965237225294113
58,1270420,1598,0.941,0.18251563954353334
59,2206930,2776,0.946,0.16604204842448234
60,1728340,2174,0.947,0.16706857299804687
61,1243390,1564,0.936,0.18748444712162018
62,1040665,1309,0.944,0.1831255843639374
63,1099495,1383,0.935,0.22335678434371947
64,982630,1236,0.946,0.17402387192845345
65,974680,1226,0.941,0.17608517533540727
66,974680,1226,0.936,0.19305900233983994
67,1049410,1320,0.945,0.2024110098183155
68,1182175,1487,0.928,0.19996146827936173
69,1421470,1788,0.94,0.1791240574121475
70,1201255,1511,0.949,0.170518563747406
71,1698925,2137,0.938,0.18019439506530763
72,1503355,1891,0.936,0.207667675614357
73,1427035,1795,0.937,0.20838786947727203
74,1158325,1457,0.927,0.2223269636631012
75,1128115,1419,0.935,0.21288548505306243
76,1920730,2416,0.947,0.1805578510761261
77,1288705,1621,0.938,0.20693438977003098
78,1701310,2140,0.926,0.24113667166233063
79,2707780,3406,0.95,0.17633331030607224
80,1540720,1938,0.945,0.1806221615821123
81,2484385,3125,0.943,0.19972541612386704
82,1703695,2143,0.944,0.1928792372941971
83,1236235,1555,0.938,0.20072826462984086
84,1217155,1531,0.946,0.17596590048074723
85,2176720,2738,0.943,0.20846965104341508
86,1910395,2403,0.94,0.19013106763362886
87,2166385,2725,0.944,0.15922523182630538
88,2710960,3410,0.949,0.19765297842025756
89,1971610,2480,0.937,0.20257355438172817
90,1834075,2307,0.942,0.17976298117637635
91,1741855,2191,0.938,0.21421674126386642
92,1562980,1966,0.948,0.17381588864326478
93,1846000,2322,0.94,0.20587037646770479
94,2001025,2517,0.939,0.19566593965888024
95,1889725,2377,0.938,0.18730290579795839
96,2179105,2741,0.943,0.18953491467237474
97,1340380,1686,0.945,0.17775775998830795
98,2648155,3331,0.927,0.23735874044895172
99,1695745,2133,0.941,0.1735312357544899
100,1359460,1710,0.937,0.20518207409977912
101,1995460,2510,0.945,0.1663374770283699
102,1629760,2050,0.944,0.18147151273488998
103,1912780,2406,0.945,0.18017911010980606
104,1444525,1817,0.942,0.1805759709775448
105,2679160,3370,0.937,0.20298205864429475
106,3758770,4728,0.951,0.1585266488790512
107,3523450,4432,0.951,0.17222118622064592
108,2025670,2548,0.941,0.1830911477804184
109,2959000,3722,0.938,0.20689755964279175
110,3097330,3896,0.944,0.1840084071904421
111,3097330,3896,0.941,0.169357335627079
112,2970925,3737,0.944,0.19774564391374588
113,2828620,3558,0.942,0.1751704151034355
114,3030550,3812,0.947,0.19519456258416176
115,3440770,4328,0.944,0.18276118421554566
116,2594095,3263,0.943,0.19595190224051476
117,2255425,2837,0.947,0.18275862121582032
118,2598070,3268,0.943,0.1804219046831131
119,2995570,3768,0.952,0.16584326034784316
120,2107555,2651,0.937,0.18304447641968727
121,2109940,2654,0.941,0.18035009044408798
122,2619535,3295,0.947,0.17832448238134385
123,2149690,2704,0.945,0.18466866552829742
124,1753780,2206,0.942,0.18626924097537995
125,3599770,4528,0.939,0.20473529940843582
126,3866890,4864,0.946,0.19704525284469127
127,3832705,4821,0.948,0.1611272681504488
128,4793065,6029,0.947,0.19863667783141137
129,5303455,6671,0.945,0.2135832820534706
130,3404200,4282,0.942,0.1774906324148178
131,2323000,2922,0.941,0.18116468900442123
132,2042365,2569,0.943,0.19150530862808227
133,3561610,4480,0.948,0.18757367917895318
134,2835775,3567,0.93,0.26083321011066435
135,1824535,2295,0.951,0.18234162437915802
136,2674390,3364,0.942,0.1783251250386238
137,2166385,2725,0.947,0.1836900935024023
138,2098810,2640,0.936,0.19730568006634713
139,2319820,2918,0.938,0.1887662791609764
140,2748325,3457,0.931,0.21033368384838105
141,2558320,3218,0.943,0.19647580564022063
