Experiment 1 ,11_04_2020_07-15-43

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,8755,11,0.885,0.3820715446472168
1,8755,11,0.882,0.4052553334236145
2,9550,12,0.883,0.38290509033203124
3,8755,11,0.88,0.38919081354141233
4,8755,11,0.888,0.38993471217155456
5,7960,10,0.881,0.39223645997047424
6,6370,8,0.869,0.446361385345459
7,9550,12,0.887,0.3797744193077087
8,8755,11,0.879,0.41790108394622805
9,8755,11,0.882,0.3876584310531616
10,7165,9,0.87,0.4300562515258789
11,7960,10,0.871,0.4146435775756836
12,6370,8,0.873,0.4497869086265564
13,7165,9,0.864,0.4183377251625061
14,5575,7,0.85,0.5024403247833252
15,6370,8,0.871,0.4480461196899414
16,6370,8,0.84,0.49341779422760007
17,5575,7,0.86,0.48856789350509644
18,4780,6,0.828,0.5562865033149719
19,6370,8,0.88,0.4492005167007446
20,7960,10,0.879,0.4068468713760376
21,5575,7,0.851,0.5085000162124633
22,5575,7,0.845,0.5191639227867126
23,5575,7,0.854,0.49248754501342773
24,6370,8,0.852,0.48811298656463625
25,5575,7,0.841,0.5253408355712891
26,3985,5,0.823,0.5927123823165894
27,5575,7,0.846,0.48823703098297117
28,5575,7,0.811,0.6239833536148072
29,6370,8,0.861,0.4639093198776245
30,6370,8,0.852,0.47975277042388914
31,6370,8,0.864,0.4444196939468384
32,5575,7,0.854,0.49729146575927735
33,6370,8,0.85,0.47723764228820803
34,4780,6,0.842,0.5756840858459472
35,6370,8,0.869,0.4344530735015869
36,7960,10,0.876,0.40650630855560305
37,4780,6,0.842,0.5396921048164368
38,6370,8,0.865,0.4762354655265808
39,6370,8,0.87,0.4423785915374756
40,6370,8,0.863,0.4534017753601074
41,6370,8,0.867,0.45628556060791015
42,6370,8,0.856,0.4703659143447876
43,5575,7,0.856,0.4980252051353455
44,4780,6,0.859,0.47838469183444976
45,3985,5,0.832,0.5711495709419251
46,4780,6,0.846,0.5457520332336426
47,3985,5,0.825,0.6356841330528259
48,4780,6,0.812,0.6316330871582031
49,4780,6,0.836,0.5922130575180053
50,4780,6,0.823,0.5879964346885681
51,3985,5,0.804,0.6343745102882385
52,3985,5,0.776,0.7267816410064697
53,4780,6,0.802,0.620193829536438
54,4780,6,0.824,0.5760724563598633
55,4780,6,0.83,0.6024829273223877
56,5575,7,0.853,0.4872312116622925
57,5575,7,0.845,0.4943864870071411
58,6370,8,0.856,0.4635886478424072
59,6370,8,0.866,0.4395462136268616
60,6370,8,0.866,0.47214700841903684
61,5575,7,0.844,0.5160010800361633
62,6370,8,0.861,0.4749654884338379
63,7165,9,0.879,0.43797648000717165
64,7165,9,0.867,0.4204208755493164
65,6370,8,0.875,0.42251962900161744
66,6370,8,0.869,0.45545405769348146
67,7165,9,0.869,0.43088115501403806
68,6370,8,0.852,0.4940973834991455
69,6370,8,0.859,0.4416790990829468
70,7165,9,0.869,0.4285043272972107
71,6370,8,0.873,0.4604287900924683
72,6370,8,0.857,0.45361513471603393
73,7165,9,0.864,0.4390609426498413
74,6370,8,0.871,0.430579363822937
75,6370,8,0.856,0.47832403564453124
76,6370,8,0.866,0.4801837797164917
77,4780,6,0.839,0.549942747592926
78,4780,6,0.837,0.5534436779022217
79,5575,7,0.844,0.5427573080062866
80,6370,8,0.858,0.47542611861228945
81,3985,5,0.819,0.6553407564163208
82,5575,7,0.828,0.540419810295105
83,6370,8,0.871,0.4443997368812561
84,7165,9,0.891,0.39607379722595215
85,6370,8,0.854,0.4669537220001221
86,7165,9,0.88,0.4212643156051636
87,6370,8,0.869,0.468834627866745
88,7165,9,0.872,0.42928706645965575
89,7960,10,0.876,0.42150814437866213
90,4780,6,0.835,0.5634930038452148
91,5575,7,0.845,0.5314020609855652
92,7165,9,0.878,0.42890032720565796
93,7960,10,0.878,0.40269991064071653
94,7165,9,0.867,0.4575740079879761
95,7960,10,0.876,0.41331393337249756
96,5575,7,0.838,0.5265422909259796
97,4780,6,0.83,0.5624610381126404
98,7165,9,0.877,0.4229564461708069
99,5575,7,0.841,0.5572869634628296
100,5575,7,0.844,0.5067980546951294
101,6370,8,0.862,0.48467053413391115
102,6370,8,0.879,0.4106333465576172
103,6370,8,0.857,0.47493125677108766
104,5575,7,0.833,0.5379819812774658
105,7165,9,0.889,0.39208269166946413
106,5575,7,0.826,0.5725203857421876
107,5575,7,0.854,0.5086211929321289
108,6370,8,0.868,0.4233553013801575
109,7165,9,0.855,0.46080435466766356
110,7165,9,0.856,0.45547898864746095
111,5575,7,0.843,0.5071630177497863
112,7165,9,0.862,0.4643240261077881
113,7960,10,0.872,0.40696325182914733
114,8755,11,0.885,0.40210170722007754
115,7960,10,0.867,0.445930588722229
116,8755,11,0.877,0.40928155422210694
117,7960,10,0.88,0.3926317901611328
118,7165,9,0.857,0.4649911904335022
119,5575,7,0.85,0.5069364566802979
120,4780,6,0.841,0.5240158748626709
121,4780,6,0.831,0.5559679374694825
122,7960,10,0.879,0.4162630748748779
123,5575,7,0.847,0.5270270185470581
124,7165,9,0.877,0.40938720178604127
125,7165,9,0.876,0.4236764025688171
126,6370,8,0.856,0.4722519016265869
127,5575,7,0.853,0.49062178707122805
128,7165,9,0.873,0.4166146817207336
129,4780,6,0.836,0.5600046901702881
130,7960,10,0.883,0.4059594464302063
131,8755,11,0.886,0.38480663871765136
132,7960,10,0.871,0.4069003095626831
133,7165,9,0.882,0.39981089782714846
134,5575,7,0.855,0.46390131568908693
135,5575,7,0.863,0.478640664100647
136,5575,7,0.86,0.49083057975769046
137,5575,7,0.853,0.4796772003173828
138,5575,7,0.853,0.5066990160942078
139,5575,7,0.871,0.47522759389877317
140,4780,6,0.841,0.573498459815979
141,5575,7,0.845,0.531003529548645
142,8755,11,0.874,0.40836114215850833
143,5575,7,0.859,0.5143962602615356
144,7165,9,0.867,0.4308497176170349
145,6370,8,0.858,0.4821737504005432
146,6370,8,0.857,0.4763553781509399
147,6370,8,0.844,0.47519660234451294
148,5575,7,0.859,0.500346905708313
149,5575,7,0.844,0.5264198431968689
150,7165,9,0.872,0.42434916710853576
151,5575,7,0.856,0.4710099630355835
152,6370,8,0.855,0.47019701194763186
153,7960,10,0.88,0.4157409029006958
154,7960,10,0.871,0.4270024833679199
155,7165,9,0.863,0.43912234687805174
156,6370,8,0.869,0.45815029859542844
157,7165,9,0.867,0.447321750164032
158,6370,8,0.848,0.4885499153137207
159,7960,10,0.876,0.42622462606430056
160,5575,7,0.85,0.49492282104492186
161,4780,6,0.825,0.5299017696380616
162,6370,8,0.861,0.49644768810272216
163,6370,8,0.862,0.49080786800384524
164,5575,7,0.846,0.5056159229278564
165,5575,7,0.841,0.5383227653503418
166,4780,6,0.838,0.5253744888305664
167,6370,8,0.856,0.47737201404571533
168,5575,7,0.867,0.49122129535675046
169,6370,8,0.853,0.4937318930625916
170,4780,6,0.843,0.542166621685028
171,7165,9,0.876,0.4240233306884766
172,5575,7,0.855,0.49697795963287356
173,5575,7,0.872,0.4668834478855133
174,6370,8,0.861,0.44329574012756345
175,5575,7,0.847,0.5129873242378234
176,4780,6,0.84,0.5461145095825195
177,4780,6,0.835,0.5892934913635254
178,5575,7,0.863,0.49276722192764283
179,7165,9,0.844,0.48726510190963745
180,7165,9,0.867,0.43016795873641966
