Experiment 2 ,12_04_2020_01-23-15

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Nadam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,3190,4,0.715,0.8378743982315063
1,3190,4,0.783,0.7458567085266113
2,3190,4,0.715,0.8816655883789063
3,2395,3,0.63,1.2874437103271483
4,3190,4,0.703,0.860033486366272
5,3190,4,0.731,0.9427651376724243
6,4780,6,0.849,0.5040705409049988
7,3985,5,0.799,0.6473410620689392
8,3190,4,0.799,0.7553212003707885
9,3985,5,0.815,0.6287130842208862
10,3190,4,0.726,0.9126707229614258
11,3190,4,0.758,0.8004578161239624
12,4780,6,0.818,0.6060831136703492
13,2395,3,0.667,1.0981770405769349
14,2395,3,0.601,1.263377317428589
15,2395,3,0.608,1.1910016880035401
16,2395,3,0.533,1.252851580619812
17,1600,2,0.477,1.5506176147460937
18,1600,2,0.444,1.6155985593795776
19,1600,2,0.436,1.6297850093841553
20,805,1,0.252,1.9885278453826905
21,805,1,0.251,1.9638392658233643
22,805,1,0.251,1.937954984664917
23,805,1,0.246,1.9556454772949219
24,805,1,0.246,1.9220993118286134
25,805,1,0.249,1.97624259185791
26,805,1,0.217,1.9741803722381592
27,805,1,0.24,1.97148299407959
28,805,1,0.233,1.9516950807571412
29,805,1,0.259,1.9484716205596924
30,805,1,0.232,1.9694766311645509
31,805,1,0.251,1.9537618112564088
32,805,1,0.247,1.9064880056381226
33,805,1,0.247,1.9239865303039552
34,805,1,0.22,1.9743456344604493
35,805,1,0.226,1.9104965400695801
36,805,1,0.242,1.942713704109192
37,805,1,0.264,2.004850238800049
38,805,1,0.247,2.0088586378097535
39,805,1,0.246,1.9167737197875976
40,805,1,0.234,1.9428193416595458
41,805,1,0.226,1.91964408493042
42,805,1,0.248,1.973496187210083
43,805,1,0.208,1.9614761238098144
44,805,1,0.229,1.9197458515167236
45,805,1,0.256,1.90939532661438
46,805,1,0.247,1.9144128723144531
47,805,1,0.258,1.903292833328247
48,805,1,0.253,1.939214177131653
49,805,1,0.237,1.9320782260894775
