Experiment 3 ,13_04_2020_04-04-25

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,20680,26,0.899,0.31669510173797605
1,47710,60,0.907,0.2778055758476257
2,10345,13,0.894,0.3587424030303955
3,13525,17,0.892,0.36234169840812686
4,15910,20,0.887,0.35275739908218384
5,75535,95,0.918,0.2484126226902008
6,15115,19,0.887,0.3549661374092102
7,24655,31,0.895,0.31317844772338865
8,15910,20,0.898,0.3362715516090393
9,11935,15,0.893,0.3690908718109131
10,22270,28,0.906,0.30422194409370423
11,11140,14,0.89,0.38026389503479
12,24655,31,0.895,0.32762736511230467
13,15115,19,0.9,0.3358813376426697
14,30220,38,0.907,0.3049202148914337
15,23860,30,0.9,0.3041390278339386
16,26245,33,0.902,0.3322696180343628
17,27835,35,0.904,0.3026034195423126
18,21475,27,0.901,0.32750793647766113
19,39760,50,0.901,0.28520994997024535
20,48505,61,0.911,0.2821354944705963
21,62020,78,0.922,0.24908790731430053
22,59635,75,0.913,0.2665414230823517
23,78715,99,0.92,0.2574769198894501
24,79510,100,0.917,0.2601063153743744
25,83485,105,0.918,0.24722511506080627
26,69970,88,0.914,0.25430823802948
27,106540,134,0.927,0.22146697449684144
28,132775,167,0.927,0.24062663769721984
29,123235,155,0.918,0.23188218140602113
30,163780,206,0.922,0.23775261855125426
31,140725,177,0.92,0.2276409955024719
32,139930,176,0.921,0.23727068591117859
33,114490,144,0.928,0.2347045053243637
34,184450,232,0.932,0.2139853242635727
35,186040,234,0.93,0.21417772912979127
36,186040,234,0.927,0.23402260279655457
37,164575,207,0.923,0.22290486550331115
38,171730,216,0.913,0.25382195436954497
39,234535,295,0.924,0.21032733821868896
40,301315,379,0.928,0.22202860069274902
41,281440,354,0.917,0.22827722823619842
42,290185,365,0.926,0.22571571922302247
43,269515,339,0.927,0.20222119200229643
44,240895,303,0.934,0.20288408052921295
45,249640,314,0.926,0.22000263357162475
46,338680,426,0.933,0.20374665063619612
47,405460,510,0.937,0.19536141312122346
48,488935,615,0.935,0.19831903153657912
49,506425,637,0.934,0.19104937756061555
50,607390,764,0.925,0.22947334957122803
51,450775,567,0.939,0.194423215508461
52,629650,792,0.937,0.19290483772754669
53,362530,456,0.93,0.2031073534488678
54,414205,521,0.935,0.1975893565416336
55,450775,567,0.937,0.20184164518117906
56,592285,745,0.934,0.19306207287311555
57,495295,623,0.93,0.2193043007850647
58,616930,776,0.933,0.199273787856102
59,616930,776,0.932,0.20595894747972487
60,528685,665,0.929,0.2292940558195114
61,513580,646,0.937,0.2051525708436966
62,455545,573,0.937,0.18129196083545684
63,604210,760,0.934,0.19275460454821586
64,511990,644,0.942,0.20448371398448945
65,622495,783,0.938,0.17551736092567444
66,580360,730,0.939,0.1847449157834053
67,574000,722,0.936,0.1926010010242462
68,578770,728,0.929,0.20249429285526277
69,732205,921,0.93,0.2027024941444397
70,1179790,1484,0.939,0.2019485238790512
71,1179790,1484,0.942,0.17507209944725036
72,627265,789,0.942,0.18662772035598754
73,1594780,2006,0.945,0.1928737719208002
74,698815,879,0.94,0.19206888937950134
75,914260,1150,0.94,0.18773219028115273
76,882460,1110,0.939,0.17613048446178436
77,910285,1145,0.935,0.20254869124293326
78,863380,1086,0.937,0.19459621834754945
79,1057360,1330,0.946,0.18367149806022645
80,1260085,1585,0.939,0.18585717540979385
81,967525,1217,0.927,0.21527887058258058
82,922210,1160,0.936,0.21116626179218292
83,985810,1240,0.947,0.1864678670167923
84,1147990,1444,0.94,0.1856220698952675
85,1041460,1310,0.943,0.18240888452529908
86,1147990,1444,0.935,0.18362232935428618
87,932545,1173,0.945,0.1830072693824768
88,772750,972,0.945,0.18216464686393738
89,883255,1111,0.933,0.18811616295576095
90,837940,1054,0.939,0.1959711058139801
91,772750,972,0.942,0.19688538497686386
92,919825,1157,0.945,0.18011692452430725
93,992965,1249,0.939,0.20624269783496857
94,652705,821,0.939,0.18882132840156554
95,1624195,2043,0.949,0.16634744027256965
96,910285,1145,0.94,0.20302249038219453
97,1692565,2129,0.942,0.19514669635891915
98,2400115,3019,0.945,0.20895121330022812
99,1258495,1583,0.933,0.23219551011919976
100,1294270,1628,0.932,0.22073190665245057
101,1121755,1411,0.936,0.21725162470340728
102,1315735,1655,0.937,0.2061572487950325
103,1405570,1768,0.943,0.1789681738615036
104,1531975,1927,0.931,0.2174862664937973
105,1531180,1926,0.948,0.17821231746673585
106,1791145,2253,0.94,0.18635349401831627
107,2304715,2899,0.947,0.17643904995918275
108,1551850,1952,0.935,0.19039025378227234
109,1171840,1474,0.946,0.1862314347624779
110,1050205,1321,0.943,0.17591207575798035
111,1873825,2357,0.948,0.19322465640306472
112,1244980,1566,0.93,0.19335279855132104
113,1003300,1262,0.94,0.1822746317386627
114,2913685,3665,0.948,0.16591703444719313
115,961960,1210,0.934,0.1999131898880005
116,1158325,1457,0.941,0.19716177517175673
117,980245,1233,0.944,0.1980863162279129
118,907105,1141,0.937,0.2001597259044647
119,903925,1137,0.941,0.19042469382286073
120,1516075,1907,0.94,0.17362361623346806
121,1361845,1713,0.944,0.19577373403310777
122,1361845,1713,0.945,0.18355695974826813
123,2275300,2862,0.944,0.18680465719103814
124,1350715,1699,0.929,0.21566724856197833
125,1754575,2207,0.944,0.18928215157985687
126,3021010,3800,0.945,0.18111007338762283
127,1719595,2163,0.938,0.1858727241754532
128,1760140,2214,0.933,0.227369952917099
129,2122660,2670,0.944,0.15798636746406555
130,2094040,2634,0.942,0.18813963383436202
131,1483480,1866,0.948,0.17484913927316664
132,1950940,2454,0.954,0.16884525349736212
133,2691085,3385,0.945,0.16645568266510963
134,1359460,1710,0.941,0.18601636201143265
135,1623400,2042,0.942,0.1860390820503235
136,1635325,2057,0.939,0.17633752650022508
137,791035,995,0.941,0.1792049584388733
138,962755,1211,0.941,0.1826969017982483
139,705970,888,0.933,0.20469714039564132
140,1155145,1453,0.944,0.18234549623727797
141,1919935,2415,0.938,0.2043094644844532
142,1000120,1258,0.941,0.18366124832630157
143,1889725,2377,0.942,0.17959928476810455
144,1516075,1907,0.939,0.19050669151544572
145,2369905,2981,0.947,0.16756447145342826
146,879280,1106,0.943,0.18670955315232277
147,1446910,1820,0.943,0.18121428802609443
148,1612270,2028,0.945,0.17092339420318603
149,1643275,2067,0.946,0.19681397861242295
150,1930270,2428,0.951,0.17300186863541603
151,1930270,2428,0.95,0.159982273042202
152,1930270,2428,0.934,0.2071320589184761
153,1777630,2236,0.948,0.1689750326871872
154,2073370,2608,0.939,0.19464032047986984
155,1265650,1592,0.944,0.18116756916046142
156,1942990,2444,0.947,0.17241485154628752
157,1535155,1931,0.946,0.17984554359316826
158,1449295,1823,0.945,0.18555734437704086
159,2308690,2904,0.936,0.20889260424673559
160,2919250,3672,0.944,0.17880779975652694
161,1638505,2061,0.941,0.1933569198846817
162,1749010,2200,0.94,0.19228549292683603
163,1493020,1878,0.938,0.190226799428463
164,2399320,3018,0.935,0.20474688029289245
