Experiment 1 ,13_04_2020_02-04-25

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,18295,23,0.898,0.33873155450820924
1,24655,31,0.897,0.30895015120506286
2,22270,28,0.91,0.3041520066261291
3,36580,46,0.906,0.28697488379478453
4,11140,14,0.877,0.37405229997634887
5,24655,31,0.903,0.30571704530715943
6,36580,46,0.907,0.30614681577682495
7,26245,33,0.904,0.3121365554332733
8,36580,46,0.912,0.29246133208274844
9,34990,44,0.905,0.3027215178012848
10,23860,30,0.904,0.3177001361846924
11,21475,27,0.904,0.30212034392356873
12,23065,29,0.911,0.30817083835601805
13,16705,21,0.894,0.32766994142532346
14,11140,14,0.887,0.3766704306602478
15,20680,26,0.888,0.3352305448055267
16,21475,27,0.895,0.3258094081878662
17,24655,31,0.899,0.3235113377571106
18,13525,17,0.887,0.3504192967414856
19,19885,25,0.904,0.3250116171836853
20,19885,25,0.901,0.3258905851840973
21,18295,23,0.89,0.35127503728866577
22,29425,37,0.907,0.29559961462020873
23,21475,27,0.898,0.3415694723129272
24,20680,26,0.904,0.31492063188552855
25,19090,24,0.898,0.32432887291908263
26,23860,30,0.905,0.32438838577270507
27,15115,19,0.888,0.3491461095809937
28,18295,23,0.893,0.3376399383544922
29,19090,24,0.895,0.32817558193206786
30,23065,29,0.904,0.3110375967025757
31,12730,16,0.884,0.3592432060241699
32,15910,20,0.899,0.3419487805366516
33,12730,16,0.895,0.34996962833404544
34,31015,39,0.908,0.2952436797618866
35,42940,54,0.912,0.271816064119339
36,31015,39,0.912,0.28736070013046267
37,21475,27,0.899,0.3306472897529602
38,32605,41,0.904,0.28797085213661194
39,10345,13,0.887,0.3715855133533478
40,12730,16,0.887,0.3927075653076172
41,12730,16,0.889,0.3478123240470886
42,15115,19,0.899,0.3404513721466064
43,19090,24,0.897,0.3347387306690216
44,15115,19,0.899,0.34701157140731814
45,8755,11,0.886,0.3875713882446289
46,9550,12,0.899,0.3527184073925018
47,8755,11,0.889,0.3741106457710266
48,8755,11,0.881,0.37547291684150697
49,7165,9,0.867,0.4443014488220215
50,6370,8,0.873,0.4415127735137939
51,7960,10,0.879,0.41049938297271726
52,9550,12,0.874,0.4065215034484863
53,11140,14,0.892,0.3761602234840393
54,9550,12,0.883,0.3862679734230042
55,7960,10,0.881,0.3893927803039551
56,9550,12,0.884,0.3883243198394775
57,7960,10,0.886,0.386286102771759
58,12730,16,0.889,0.37426799941062927
59,10345,13,0.895,0.3677940230369568
60,14320,18,0.901,0.33719289326667784
61,9550,12,0.892,0.3889900386333466
62,9550,12,0.889,0.36932984113693235
63,12730,16,0.887,0.36543009757995604
64,13525,17,0.889,0.3668399739265442
65,14320,18,0.893,0.3435136475563049
66,14320,18,0.895,0.3616764087677002
67,13525,17,0.894,0.33656107854843137
68,11140,14,0.887,0.37461921215057375
69,9550,12,0.889,0.3775493452548981
70,9550,12,0.892,0.35482059383392334
71,11935,15,0.888,0.3616076564788818
72,19090,24,0.902,0.33281841659545897
73,11140,14,0.888,0.3595827248096466
74,10345,13,0.88,0.3826881332397461
75,8755,11,0.887,0.4030970640182495
76,15910,20,0.899,0.3336954526901245
77,11935,15,0.894,0.35352275943756106
78,11935,15,0.886,0.3624017333984375
79,14320,18,0.893,0.3557880585193634
80,11935,15,0.889,0.38272241401672363
81,18295,23,0.893,0.33522630524635316
82,11935,15,0.895,0.36160036087036135
83,11935,15,0.888,0.3656147465705872
84,15115,19,0.892,0.3480584335327148
85,10345,13,0.889,0.3715041599273682
86,11935,15,0.895,0.35799250173568725
87,12730,16,0.891,0.3632582788467407
88,10345,13,0.881,0.3837970972061157
89,12730,16,0.891,0.36604690313339233
90,15910,20,0.895,0.33743117141723633
91,11935,15,0.891,0.34407352924346923
92,14320,18,0.895,0.34182396030426027
93,13525,17,0.893,0.3499267363548279
94,15910,20,0.896,0.3510181612968445
95,15115,19,0.889,0.3401075930595398
96,10345,13,0.886,0.3494039402008057
97,16705,21,0.906,0.32450467157363894
98,15115,19,0.904,0.33162603378295896
99,10345,13,0.89,0.3599201006889343
100,7960,10,0.882,0.38925028944015505
101,11935,15,0.893,0.38304737758636476
102,11935,15,0.892,0.36581116962432864
103,9550,12,0.882,0.37980717420578003
104,7960,10,0.878,0.41076783323287963
105,7165,9,0.884,0.4402762403488159
106,8755,11,0.892,0.3679862525463104
107,7960,10,0.877,0.4237783308029175
108,9550,12,0.882,0.40450310850143434
109,11140,14,0.89,0.36205245542526243
110,11935,15,0.889,0.378532190322876
111,7960,10,0.88,0.40872954273223877
112,9550,12,0.888,0.3762430682182312
113,11140,14,0.891,0.36710734510421755
114,7960,10,0.882,0.3847776641845703
115,14320,18,0.894,0.3469271149635315
116,7960,10,0.882,0.40407766675949097
117,11935,15,0.891,0.3535126090049744
118,10345,13,0.886,0.3765968227386475
119,8755,11,0.883,0.4051595973968506
120,8755,11,0.885,0.38433433818817136
121,8755,11,0.887,0.36596304416656494
122,9550,12,0.88,0.3890371193885803
123,10345,13,0.886,0.3857236771583557
124,9550,12,0.881,0.3785661916732788
125,11935,15,0.888,0.3609407258033752
126,8755,11,0.876,0.3969264016151428
127,12730,16,0.893,0.34426576948165893
128,9550,12,0.893,0.36861632132530214
129,23860,30,0.9,0.321392147064209
130,18295,23,0.906,0.3130687508583069
131,8755,11,0.883,0.39070308208465576
132,17500,22,0.898,0.3379528074264526
133,17500,22,0.893,0.34966698217391967
134,6370,8,0.855,0.4653376121520996
135,7165,9,0.877,0.4231188578605652
136,6370,8,0.873,0.42514759159088134
137,6370,8,0.853,0.4710708255767822
138,7165,9,0.873,0.41113868045806884
139,8755,11,0.888,0.3921976718902588
140,8755,11,0.896,0.3781710028648376
141,8755,11,0.877,0.42022077560424803
142,7165,9,0.883,0.422594398021698
143,8755,11,0.883,0.38677981090545654
144,7165,9,0.867,0.4468022074699402
145,7960,10,0.877,0.4291222152709961
146,11935,15,0.883,0.3790112953186035
147,9550,12,0.878,0.3943321185111999
148,11140,14,0.891,0.35364614725112914
149,11140,14,0.892,0.3693614659309387
150,7960,10,0.868,0.42947319269180295
151,9550,12,0.891,0.3909947972297668
152,10345,13,0.887,0.3694274880886078
153,9550,12,0.891,0.38109469747543334
154,10345,13,0.889,0.3653656821250916
155,7960,10,0.882,0.40203903532028196
156,13525,17,0.885,0.3615697679519653
157,11140,14,0.882,0.39303882646560667
158,11140,14,0.889,0.3702012791633606
159,10345,13,0.885,0.38852846097946164
160,11140,14,0.893,0.37066560769081114
161,11140,14,0.891,0.3670277705192566
162,8755,11,0.884,0.40744854164123534
163,8755,11,0.886,0.3762766537666321
164,7960,10,0.882,0.37813115954399107
165,8755,11,0.885,0.39639134550094607
166,11935,15,0.896,0.3414752478599548
167,11140,14,0.885,0.384966516494751
168,8755,11,0.881,0.38970782327651976
169,7165,9,0.87,0.42514317655563355
170,8755,11,0.88,0.40875762701034546
171,6370,8,0.874,0.4405468454360962
172,9550,12,0.884,0.39209135198593137
173,9550,12,0.891,0.3601234595775604
174,8755,11,0.875,0.4112201061248779
175,7960,10,0.886,0.39732209396362306
176,8755,11,0.891,0.36830552291870117
