Experiment 2 ,12_04_2020_07-23-17

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,13525,17,0.897,0.35643810272216797
1,11140,14,0.892,0.35605964612960816
2,10345,13,0.877,0.3888464045524597
3,11140,14,0.884,0.367517641544342
4,12730,16,0.881,0.36398423004150393
5,7960,10,0.879,0.3965043811798096
6,15115,19,0.893,0.353181613445282
7,15910,20,0.895,0.3502555160522461
8,15910,20,0.895,0.34941290235519407
9,19090,24,0.89,0.3378508102893829
10,15115,19,0.89,0.34452964782714846
11,11935,15,0.888,0.36438105392456055
12,15115,19,0.896,0.33812039709091185
13,10345,13,0.883,0.3760301775932312
14,12730,16,0.889,0.3582701120376587
15,15115,19,0.896,0.3434291217327118
16,19090,24,0.908,0.32837032556533813
17,21475,27,0.896,0.321802973985672
18,9550,12,0.881,0.3818577976226807
19,15910,20,0.901,0.3344013612270355
20,23860,30,0.907,0.296709721326828
21,22270,28,0.896,0.3172841420173645
22,17500,22,0.897,0.3311611585617065
23,14320,18,0.896,0.3543728404045105
24,23860,30,0.899,0.3200070321559906
25,12730,16,0.902,0.34266455268859863
26,12730,16,0.897,0.34344284200668335
27,14320,18,0.896,0.34473740577697753
28,12730,16,0.886,0.38261324834823607
29,15115,19,0.9,0.3239075632095337
30,17500,22,0.892,0.3253433480262756
31,11140,14,0.893,0.3612251524925232
32,15910,20,0.899,0.3365117301940918
33,19090,24,0.897,0.3202712211608887
34,16705,21,0.902,0.3424459547996521
35,11935,15,0.892,0.3599025945663452
36,14320,18,0.895,0.34693733549118044
37,19090,24,0.901,0.3256819562911987
38,8755,11,0.885,0.389759929895401
39,10345,13,0.888,0.3760663161277771
40,13525,17,0.891,0.34946155738830564
41,16705,21,0.898,0.3384044914245605
42,15910,20,0.897,0.35752645778656006
43,20680,26,0.895,0.3240555968284607
44,28630,36,0.924,0.28856443691253664
45,8755,11,0.886,0.39081429719924926
46,32605,41,0.902,0.3255724356174469
47,23065,29,0.903,0.2973684334754944
48,15115,19,0.891,0.35402788400650026
49,42940,54,0.91,0.2829909210205078
50,20680,26,0.897,0.32620585441589356
51,14320,18,0.893,0.3449073917865753
52,42145,53,0.916,0.27769400095939634
53,45325,57,0.904,0.28108586645126343
54,38965,49,0.91,0.28249041390419005
55,19885,25,0.902,0.3162898211479187
56,34990,44,0.896,0.2979880275726318
57,23860,30,0.905,0.32574767780303954
58,23860,30,0.899,0.31932572603225706
59,24655,31,0.903,0.312441615819931
60,16705,21,0.9,0.3326453261375427
61,31810,40,0.902,0.30543839263916017
62,29425,37,0.906,0.311903395652771
63,29425,37,0.908,0.3027156705856323
64,21475,27,0.897,0.32460742807388304
65,29425,37,0.903,0.3010421130657196
66,26245,33,0.903,0.2990508904457092
67,27835,35,0.896,0.3114933929443359
68,11935,15,0.896,0.36082132148742674
69,35785,45,0.904,0.29920779061317443
70,28630,36,0.906,0.2950456705093384
71,49300,62,0.903,0.2937525477409363
72,69175,87,0.904,0.2922278916835785
73,52480,66,0.908,0.2738853349685669
74,11140,14,0.893,0.36608066987991333
75,11935,15,0.894,0.3391264939308167
76,14320,18,0.901,0.33670959568023684
77,16705,21,0.899,0.34086750316619874
78,10345,13,0.891,0.358752453327179
79,15115,19,0.897,0.3360844006538391
80,18295,23,0.897,0.33772987031936647
81,8755,11,0.883,0.386441460609436
82,9550,12,0.885,0.3842651467323303
83,14320,18,0.881,0.36692291688919065
84,17500,22,0.887,0.33263120889663694
85,12730,16,0.889,0.35525654315948485
86,15115,19,0.891,0.3528930654525757
87,14320,18,0.893,0.3446930265426636
88,23860,30,0.894,0.3269222478866577
89,19090,24,0.898,0.32604711198806763
90,19090,24,0.893,0.3452175862789154
91,31015,39,0.906,0.28794399404525756
92,13525,17,0.89,0.3416160593032837
93,10345,13,0.885,0.36649082612991335
94,20680,26,0.9,0.3212618253231049
95,23860,30,0.895,0.32521699690818784
96,17500,22,0.897,0.3366450662612915
97,12730,16,0.891,0.36543078351020813
98,10345,13,0.884,0.3678291597366333
99,24655,31,0.902,0.3134173474311829
100,11140,14,0.893,0.38457367515563967
101,13525,17,0.882,0.3851826810836792
102,13525,17,0.892,0.3765807557106018
103,7165,9,0.867,0.43141051483154297
104,8755,11,0.886,0.3892568106651306
105,7960,10,0.884,0.3987801322937012
106,7165,9,0.875,0.42070046854019166
107,7165,9,0.87,0.42639295768737795
108,5575,7,0.86,0.4652257127761841
109,6370,8,0.862,0.4476006531715393
110,7165,9,0.87,0.4219794688224793
111,7960,10,0.887,0.39415697956085205
112,7960,10,0.888,0.3889170331954956
113,9550,12,0.874,0.4019118947982788
114,10345,13,0.88,0.3968961772918701
115,9550,12,0.882,0.3968090443611145
116,9550,12,0.884,0.36670821714401247
117,8755,11,0.884,0.38498012685775757
118,7165,9,0.874,0.4274014310836792
119,6370,8,0.881,0.42780371332168576
120,11935,15,0.884,0.3680863728523254
121,11935,15,0.896,0.36312706184387206
122,9550,12,0.88,0.3880935750007629
123,13525,17,0.894,0.3412478313446045
124,11935,15,0.893,0.3544575963020325
125,8755,11,0.885,0.3684854657649994
126,7960,10,0.885,0.3769873790740967
127,9550,12,0.883,0.4111503624916077
128,7960,10,0.882,0.40549086427688597
129,7960,10,0.879,0.40916618633270263
130,8755,11,0.875,0.4049285430908203
131,8755,11,0.888,0.36976693773269653
132,6370,8,0.877,0.42824423933029176
133,7165,9,0.865,0.4587505793571472
134,6370,8,0.88,0.42457602024078367
135,5575,7,0.85,0.51600403881073
136,6370,8,0.865,0.447479172706604
137,5575,7,0.858,0.48684356117248534
138,4780,6,0.833,0.5820989484786987
139,4780,6,0.815,0.5771763281822204
140,3985,5,0.794,0.6746772480010986
141,4780,6,0.832,0.6039539241790771
142,5575,7,0.837,0.5313040227890015
143,6370,8,0.848,0.5127289390563965
144,5575,7,0.85,0.5090177555084229
145,7165,9,0.864,0.4333783702850342
146,8755,11,0.879,0.39697464609146116
147,8755,11,0.864,0.4432637033462524
148,7165,9,0.87,0.4527382402420044
149,7165,9,0.857,0.4539136800765991
150,7960,10,0.881,0.4144112520217896
151,7165,9,0.881,0.40767630529403687
152,9550,12,0.872,0.40255911874771116
153,10345,13,0.892,0.3589216103553772
154,7960,10,0.88,0.40802357244491577
155,8755,11,0.888,0.3854148235321045
156,7960,10,0.873,0.3931274909973145
