Experiment 2 ,18_04_2020_01-58-17

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,31015,39,0.911,0.28823941588401797
1,41350,52,0.906,0.2969015161991119
2,38170,48,0.912,0.2814272935390472
3,54070,68,0.909,0.2743935601711273
4,52480,66,0.916,0.26858043789863584
5,41350,52,0.903,0.2919965286254883
6,50890,64,0.908,0.2934763488769531
7,63610,80,0.909,0.2658645887374878
8,52480,66,0.912,0.26423254680633546
9,58840,74,0.913,0.2899981458187103
10,67585,85,0.917,0.272247296333313
11,62020,78,0.917,0.2657415294647217
12,45325,57,0.913,0.2706470229625702
13,69175,87,0.918,0.24776804232597352
14,86665,109,0.918,0.2537991037368774
15,96205,121,0.914,0.2618020875453949
16,118465,149,0.916,0.2518934288024902
17,118465,149,0.917,0.23691529989242555
18,118465,149,0.926,0.22674788427352904
19,138340,174,0.921,0.2241949951648712
20,137545,173,0.928,0.22106893038749695
21,152650,192,0.925,0.21839544296264649
22,186835,235,0.926,0.20213206672668457
23,185245,233,0.933,0.21177404117584228
24,167755,211,0.931,0.22342487812042236
25,179680,226,0.923,0.24266081368923187
26,247255,311,0.923,0.21230755209922791
27,247255,311,0.918,0.23409630155563355
28,246460,310,0.933,0.19554501140117644
29,311650,392,0.937,0.19340861999988557
30,368890,464,0.931,0.21071968078613282
31,380020,478,0.934,0.19696424305438995
32,477010,600,0.936,0.20842231571674347
33,602620,758,0.936,0.1976419004201889
34,542995,683,0.943,0.17234308779239654
35,517555,651,0.924,0.22326496756076813
36,566050,712,0.931,0.19204898369312287
37,523915,659,0.945,0.1993723895549774
38,571615,719,0.934,0.1901332814693451
39,730615,919,0.94,0.18202711430191992
40,931750,1172,0.939,0.1945988073348999
41,764800,962,0.938,0.18649848648905754
42,942880,1186,0.937,0.1918228576183319
43,1070875,1347,0.94,0.19761750403046607
44,1315735,1655,0.937,0.21414195322990418
45,1490635,1875,0.933,0.2047394523024559
46,2071780,2606,0.944,0.19635039147734643
47,1934245,2433,0.952,0.16563963210582733
48,1741060,2190,0.944,0.18442409455776215
49,1687795,2123,0.937,0.20319782853126525
50,2779330,3496,0.94,0.1792456234097481
51,1790350,2252,0.943,0.2234495167732239
52,2494720,3138,0.943,0.21168628245592117
53,2475640,3114,0.937,0.21148944824934005
54,2112325,2657,0.949,0.1699269151687622
55,2134585,2685,0.95,0.17872445607185364
56,2162410,2720,0.943,0.1908058527112007
57,2854855,3591,0.933,0.24063726237416266
58,2152075,2707,0.946,0.1968490023314953
59,2730835,3435,0.947,0.17267551171779633
60,3242020,4078,0.947,0.17540782225131987
61,2686315,3379,0.951,0.17011360248923302
62,3468595,4363,0.94,0.1994302363693714
63,2686315,3379,0.942,0.19942344522476196
64,2741965,3449,0.945,0.1847563370615244
65,2759455,3471,0.944,0.17996649023890496
66,2404885,3025,0.943,0.19253359119594096
67,1893700,2382,0.947,0.17951801943778992
68,2929585,3685,0.943,0.1835954278111458
69,2385805,3001,0.919,0.27308296924829484
70,2692675,3387,0.938,0.20046059292554855
71,2524135,3175,0.946,0.17871156671643257
72,3119590,3924,0.95,0.16013809613883495
73,3259510,4100,0.948,0.1993263880610466
74,2943895,3703,0.918,0.3335812190771103
75,2949460,3710,0.939,0.20315082079172134
76,2257810,2840,0.944,0.18742620739340782
77,2600455,3271,0.94,0.18904315628856422
78,2350030,2956,0.949,0.17590359753370285
79,3025780,3806,0.95,0.194875124335289
80,3025780,3806,0.938,0.20957772076129913
81,3541735,4455,0.943,0.1682710108757019
82,3226915,4059,0.939,0.18405093294382097
83,3431230,4316,0.946,0.1869369849860668
84,3803290,4784,0.942,0.19843823024630547
85,2846905,3581,0.952,0.17096794283390046
86,6091300,7662,0.93,0.21964306449890136
87,2889835,3635,0.943,0.18302787459641695
88,1958095,2463,0.948,0.18442628718912601
89,4573645,5753,0.94,0.187132493019104
90,4086310,5140,0.942,0.19304302349686622
91,8937400,11242,0.945,0.20682165743410588
92,2162410,2720,0.951,0.17190823858976365
93,2799205,3521,0.937,0.18919249731302262
94,3799315,4779,0.934,0.2361744531393051
95,2243500,2822,0.939,0.2021291048824787
96,2586145,3253,0.94,0.19887609159946443
97,2622715,3299,0.949,0.16871933448314666
98,3641905,4581,0.954,0.19359466856718063
99,3641905,4581,0.936,0.21707578173279762
100,3744460,4710,0.948,0.17212472659349443
101,4059280,5106,0.938,0.2310096328034997
102,2150485,2705,0.934,0.21524206386506559
103,3327085,4185,0.94,0.1871915794610977
104,3286540,4134,0.942,0.20662972900271415
105,3959110,4980,0.942,0.22129617473483085
106,3039295,3823,0.939,0.19264088308811186
107,3998065,5029,0.95,0.18090898910164832
108,3298465,4149,0.948,0.18478226597607136
109,4214305,5301,0.949,0.1772756874859333
110,4017145,5053,0.945,0.1902012116909027
111,2352415,2959,0.932,0.22060877603292464
112,2352415,2959,0.934,0.23698205161094665
113,2695855,3391,0.953,0.15248372854292394
114,2663260,3350,0.935,0.1954262475967407
115,2092450,2632,0.945,0.19423737448453904
116,2571040,3234,0.94,0.1894155097603798
117,1721185,2165,0.937,0.1893302458524704
118,2625100,3302,0.941,0.1728059574663639
119,2045545,2573,0.936,0.20318264403939248
120,2152870,2708,0.938,0.1867876095622778
121,1705285,2145,0.942,0.18095593196153642
122,2402500,3022,0.949,0.16907130816578866
123,1802275,2267,0.944,0.20474809408187866
124,2316640,2914,0.95,0.16248094579577446
125,2039185,2565,0.949,0.19362524093687533
126,2508235,3155,0.95,0.16761444509029388
127,2094040,2634,0.945,0.17200626444816589
128,2904145,3653,0.943,0.2142198290526867
129,2551165,3209,0.944,0.16741334588825701
130,2360365,2969,0.947,0.16592371594905853
131,2617945,3293,0.94,0.19770951187610628
132,2464510,3100,0.942,0.18251803076267242
133,2811925,3537,0.944,0.20974047634005547
134,1688590,2124,0.936,0.18367025057971478
135,2974105,3741,0.938,0.1860072359442711
136,3561610,4480,0.946,0.17089903159439565
137,3323905,4181,0.94,0.19245259341597556
138,4641220,5838,0.942,0.1822982623130083
139,4567285,5745,0.947,0.17994949838519098
140,4932985,6205,0.953,0.17139467912912368
141,3960700,4982,0.942,0.19414269116520882
142,2837365,3569,0.942,0.1980460982322693
143,3266665,4109,0.941,0.1880551350712776
144,3257920,4098,0.937,0.2161524091511965
145,3127540,3934,0.946,0.1832732888162136
146,2419195,3043,0.941,0.19090775388479234
147,3460645,4353,0.937,0.20643042838573455
148,3457465,4349,0.939,0.20967302691936493
