Experiment 2 ,19_04_2020_07-41-29

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,34990,44,0.905,0.29163716197013856
1,43735,55,0.914,0.2910408782958984
2,43735,55,0.904,0.2906471965312958
3,54070,68,0.903,0.29815270924568177
4,67585,85,0.916,0.2542960801124573
5,82690,104,0.912,0.25281428468227385
6,101770,128,0.917,0.26812605881690976
7,111310,140,0.916,0.24213590013980865
8,141520,178,0.928,0.2506382713317871
9,160600,202,0.918,0.24293393909931182
10,172525,217,0.918,0.23721468985080718
11,200350,252,0.918,0.23198939073085784
12,213865,269,0.928,0.21197525799274444
13,232150,292,0.928,0.22811213946342468
14,253615,319,0.924,0.21875584053993224
15,261565,329,0.93,0.2161225816011429
16,254410,320,0.932,0.2054050385951996
17,296545,373,0.933,0.19683477830886842
18,369685,465,0.938,0.18875101780891418
19,458725,577,0.937,0.1986593906879425
20,535840,674,0.936,0.21023421263694764
21,686095,863,0.943,0.17856329250335692
22,759235,955,0.935,0.19450168007612229
23,721870,908,0.941,0.1850946536064148
24,818860,1030,0.94,0.19514896178245544
25,1040665,1309,0.928,0.23398792523145676
26,1279165,1609,0.936,0.20985985451936723
27,1102675,1387,0.939,0.18106530648469926
28,1576495,1983,0.93,0.19393252980709075
29,1453270,1828,0.937,0.21028740096092224
30,1476325,1857,0.939,0.19901919135451318
31,1877800,2362,0.946,0.17263539373874665
32,1720390,2164,0.95,0.18509405398368836
33,1624990,2044,0.947,0.17417409789562224
34,1569340,1974,0.943,0.18707003623247145
35,1752985,2205,0.939,0.20972225815057755
36,1973200,2482,0.927,0.22919014221429826
37,1718800,2162,0.941,0.1855394396185875
38,1757755,2211,0.942,0.18614985644817353
39,1895290,2384,0.94,0.1893934508562088
40,1837255,2311,0.94,0.1933175646662712
41,2317435,2915,0.949,0.18306817591190339
42,2267350,2852,0.934,0.2119010715484619
43,2850880,3586,0.941,0.19945233246684074
44,2249860,2830,0.948,0.17002790823578834
45,2540830,3196,0.943,0.18946000561118126
46,2540830,3196,0.942,0.17107291258871554
47,2995570,3768,0.942,0.17593286302685737
48,2429530,3056,0.943,0.178061207652092
49,3277000,4122,0.94,0.24677866089344025
50,2869960,3610,0.936,0.22471458294987678
51,3806470,4788,0.948,0.16937193775177
52,4156270,5228,0.949,0.16832863262295722
53,3568765,4489,0.942,0.19697006571292877
54,2955025,3717,0.947,0.19148964071273802
55,2020105,2541,0.945,0.16788870084285737
56,3142645,3953,0.944,0.20318379044532775
57,2524930,3176,0.944,0.1956705580353737
58,2796025,3517,0.936,0.225915317684412
59,2601250,3272,0.946,0.1831053112745285
60,2206930,2776,0.927,0.26097897166013717
61,2032030,2556,0.938,0.18931680858135225
62,1874620,2358,0.945,0.16856539872288703
63,2384215,2999,0.95,0.17128478160500527
64,3110845,3913,0.953,0.18375018721818923
65,2384215,2999,0.951,0.1730189120322466
66,3011470,3788,0.938,0.17703342935442926
67,3759565,4729,0.936,0.20872539031505585
68,2116300,2662,0.947,0.17107761853933334
69,3481315,4379,0.948,0.15930318889021874
70,3424075,4307,0.936,0.18944242657721042
71,3743665,4709,0.947,0.1629207931905985
72,2094040,2634,0.947,0.16848951977491378
73,3070300,3862,0.953,0.16212310732901097
74,3743665,4709,0.947,0.16944453851878644
75,1836460,2310,0.941,0.19779555720090866
76,2301535,2895,0.936,0.2082240546941757
77,1784785,2245,0.94,0.18903715455532075
78,3598975,4527,0.936,0.22602628253400325
79,2448610,3080,0.941,0.17585792762041091
80,2724475,3427,0.931,0.2374989891052246
81,2265760,2850,0.943,0.17224768295884132
82,2024875,2547,0.939,0.1846235621571541
83,3987730,5016,0.95,0.17737579013407231
84,3595000,4522,0.943,0.23750819313526153
85,1606705,2021,0.941,0.18527928507328034
86,1912780,2406,0.939,0.20076454630494117
87,2063830,2596,0.943,0.17320586693286896
88,2008975,2527,0.946,0.16383697575330733
