Experiment 1 ,14_04_2020_04-25-35

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,38965,49,0.904,0.29045080780982974
1,37375,47,0.908,0.2875624957084656
2,41350,52,0.898,0.3082977075576782
3,42940,54,0.919,0.26648275876045224
4,53275,67,0.914,0.27003565883636477
5,66790,84,0.913,0.26540284156799315
6,74740,94,0.911,0.2679643046855926
7,74740,94,0.921,0.2503110954761505
8,87460,110,0.919,0.24581070923805237
9,95410,120,0.91,0.26396277713775634
10,126415,159,0.918,0.24387243056297303
11,152650,192,0.92,0.22814537811279298
12,170935,215,0.924,0.23022369760274888
13,155830,196,0.925,0.2162089616060257
14,196375,247,0.929,0.20568461465835572
15,229765,289,0.924,0.2218560302257538
16,269515,339,0.929,0.2178346161842346
17,342655,431,0.925,0.22966591048240662
18,392740,494,0.939,0.20909432113170623
19,392740,494,0.936,0.19897596406936646
20,393535,495,0.935,0.1926698008775711
21,484960,610,0.932,0.19750765919685365
22,498475,627,0.936,0.19477020889520646
23,619315,779,0.938,0.18895409607887267
24,664630,836,0.936,0.2177437905073166
25,848275,1067,0.945,0.18937622249126435
26,837145,1053,0.94,0.20605834537744522
27,848275,1067,0.943,0.17963605278730393
28,1322890,1664,0.945,0.1736031430363655
29,1434985,1805,0.939,0.17782282203435898
30,1632145,2053,0.94,0.16776855993270873
31,1923115,2419,0.945,0.1882691479921341
32,1784785,2245,0.94,0.19066817456483842
33,2598070,3268,0.945,0.1898412964940071
34,2445430,3076,0.936,0.19628528237342835
35,1963660,2470,0.941,0.19242673587799072
36,3230095,4063,0.947,0.18498180720210075
37,3959110,4980,0.947,0.18386714906990528
38,3163315,3979,0.948,0.1832720690369606
39,2288020,2878,0.948,0.17615977895259857
40,4779550,6012,0.941,0.2046900497674942
41,3199885,4025,0.945,0.18455708461999892
42,3199885,4025,0.933,0.20359391513466835
43,2850880,3586,0.947,0.17620694297552109
44,3649855,4591,0.927,0.25517283540964125
45,2917660,3670,0.946,0.18131751441955565
46,5068930,6376,0.944,0.20254811802506448
47,2993980,3766,0.939,0.18757048147916794
48,2993980,3766,0.945,0.1920430993437767
49,4642015,5839,0.937,0.22080367462337017
50,4467910,5620,0.939,0.21122528594732284
51,5669950,7132,0.947,0.1854291705787182
52,4224640,5314,0.938,0.20703080996125936
53,4442470,5588,0.94,0.210548181861639
54,3726970,4688,0.947,0.19202135761082173
55,3726970,4688,0.943,0.19880597603321076
56,3591820,4518,0.936,0.21013762789964677
57,3591820,4518,0.956,0.16196364638209343
58,3591820,4518,0.942,0.1816197871565819
59,1998640,2514,0.948,0.1949742857813835
60,2586940,3254,0.945,0.17940570275485515
61,3593410,4520,0.933,0.19076531592011453
62,3515500,4422,0.934,0.23359967279434204
63,2898580,3646,0.946,0.1874234231710434
64,3092560,3890,0.94,0.19896003782749175
65,2623510,3300,0.945,0.17039384731650353
66,3395455,4271,0.936,0.21331462287902833
67,2302330,2896,0.944,0.19593717604875566
68,2723680,3426,0.941,0.18173136380314828
69,2637025,3317,0.95,0.18421817219257355
70,2130610,2680,0.935,0.22226449294388295
71,3063940,3854,0.944,0.1912309798002243
72,2466895,3103,0.937,0.18920627158880235
73,2327770,2928,0.944,0.16632670080661774
74,2118685,2665,0.925,0.2331711192727089
75,3393865,4269,0.955,0.14562357665598394
76,2546395,3203,0.943,0.20155714744329453
77,3583075,4507,0.949,0.16303619992733
78,3408970,4288,0.932,0.2121368881613016
79,3021010,3800,0.95,0.16659717911481858
80,2502670,3148,0.949,0.17031813326478004
81,4101415,5159,0.949,0.1872449039518833
82,2881090,3624,0.945,0.1735847793519497
83,3145030,3956,0.942,0.17506175284087658
84,3333445,4193,0.953,0.1627824702858925
85,4813735,6055,0.928,0.2675138304233551
86,3391480,4266,0.948,0.16229124316573143
87,3391480,4266,0.945,0.18211283752322197
88,4005220,5038,0.945,0.1996674067080021
89,4313680,5426,0.947,0.17061453391611575
90,2490745,3133,0.944,0.1751308728456497
91,2660875,3347,0.937,0.21359701451659202
92,3296080,4146,0.933,0.22452027094364166
93,2717320,3418,0.943,0.19236916613578797
94,4593520,5778,0.949,0.15962922522425652
95,2865985,3605,0.948,0.205449179969728
96,2948665,3709,0.943,0.16977807539701462
97,2516980,3166,0.936,0.20851709938049318
98,2272120,2858,0.942,0.18791215920448304
99,1834870,2308,0.951,0.17276900413632393
100,3895510,4900,0.95,0.17057332286238672
101,3505960,4410,0.949,0.1850979981124401
102,1732315,2179,0.943,0.19108584469556808
103,2685520,3378,0.936,0.2104443320631981
104,2560705,3221,0.935,0.22182189917564393
105,3148210,3960,0.939,0.20471111917495727
106,2465305,3101,0.935,0.19927484691143035
107,2198185,2765,0.939,0.1735143639445305
108,2723680,3426,0.951,0.16817553892731665
109,2077345,2613,0.946,0.1678868328332901
110,2357980,2966,0.94,0.18084618112444878
111,2357980,2966,0.935,0.21235982990264893
112,1997050,2512,0.947,0.1654417876601219
113,3271435,4115,0.94,0.2128665577173233
114,2267350,2852,0.949,0.1666284272968769
115,2812720,3538,0.952,0.15304707336425782
116,3503575,4407,0.934,0.20536199021339416
117,3924130,4936,0.94,0.1974882352128625
118,3516295,4423,0.941,0.18953026911616325
119,3268255,4111,0.945,0.17173079442977907
120,2684725,3377,0.941,0.22338268396258354
121,2684725,3377,0.943,0.19157336208224296
122,3506755,4411,0.947,0.17235766541957856
123,3131515,3939,0.947,0.1678445897102356
124,3137875,3947,0.948,0.16767285642027854
125,3035320,3818,0.942,0.19541234841942787
126,2730835,3435,0.946,0.17238347175717353
127,3135490,3944,0.946,0.17770146352052688
128,2555935,3215,0.943,0.17666834037005902
129,2525725,3177,0.947,0.163772193133831
130,2003410,2520,0.931,0.2024258723258972
131,2560705,3221,0.943,0.18613381218910216
132,3268255,4111,0.946,0.18234290152788163
