Experiment 1 ,14_04_2020_23-58-02

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,38965,49,0.905,0.2961340081691742
1,46120,58,0.905,0.2875446274280548
2,46120,58,0.913,0.2724776906967163
3,46915,59,0.92,0.27721225619316103
4,58840,74,0.917,0.27198332715034484
5,99385,125,0.91,0.25632393193244934
6,65200,82,0.915,0.26124288606643675
7,83485,105,0.916,0.25039993405342104
8,83485,105,0.91,0.2585433864593506
9,85075,107,0.914,0.25011989998817447
10,107335,135,0.919,0.2408124086856842
11,114490,144,0.917,0.24340180897712707
12,81100,102,0.916,0.26131615495681765
13,108925,137,0.912,0.2634374037981033
14,129595,163,0.918,0.23314019882678985
15,75535,95,0.918,0.2433977451324463
16,101770,128,0.919,0.23630997502803802
17,126415,159,0.919,0.22790700507164002
18,148675,187,0.927,0.23552960300445558
19,131185,165,0.932,0.21444828236103058
20,159805,201,0.925,0.23235137152671814
21,228175,287,0.935,0.21237674844264984
22,219430,276,0.926,0.20901822304725648
23,251230,316,0.933,0.20642043185234069
24,248845,313,0.93,0.2228055008649826
25,244870,308,0.925,0.20597625529766084
26,300520,378,0.931,0.20839337587356568
27,364915,459,0.929,0.2046375299692154
28,277465,349,0.928,0.21839218294620513
29,412615,519,0.927,0.20476001644134523
30,384790,484,0.932,0.21124812442064286
31,507220,638,0.928,0.21454019010066985
32,392740,494,0.935,0.21208300292491913
33,392740,494,0.93,0.19792582082748414
34,510400,642,0.938,0.19670457983016967
35,585925,737,0.934,0.19326787829399109
36,759235,955,0.94,0.1894038314819336
37,798985,1005,0.942,0.1844201005101204
38,798985,1005,0.945,0.1791998096704483
39,607390,764,0.935,0.20108020579814911
40,931750,1172,0.937,0.18480822083353995
41,1109035,1395,0.945,0.16316129314899444
42,1095520,1378,0.941,0.18601958972215651
43,1014430,1276,0.935,0.18858931410312652
44,777520,978,0.929,0.21920702290534974
45,998530,1256,0.946,0.1954958198070526
46,880870,1108,0.938,0.18217731988430022
47,819655,1031,0.927,0.21718915581703185
48,725050,912,0.929,0.2263331074118614
49,853840,1074,0.935,0.19511928057670594
50,716305,901,0.938,0.1712771788239479
51,689275,867,0.941,0.20192378276586534
52,819655,1031,0.938,0.1988894338607788
53,786265,989,0.937,0.18742889535427093
54,935725,1177,0.938,0.19479143452644349
55,723460,910,0.941,0.18887188172340394
56,1034305,1301,0.938,0.19207134205102921
57,1412725,1777,0.933,0.20305865037441254
58,1616245,2033,0.94,0.18046604537963867
