name,generation,avg acc,avg los,avg par
Lonely_Los_Exp_Loss_2,0,0.906,0.29885968,31545
Lonely_Los_Exp_Loss_2,1,0.908333333,0.289583312,40820
Lonely_Los_Exp_Loss_2,2,0.907666667,0.285731456,43735
Lonely_Los_Exp_Loss_2,3,0.910333333,0.270883002,55130
Lonely_Los_Exp_Loss_2,4,0.912333333,0.27501161,52745
Lonely_Los_Exp_Loss_2,5,0.909,0.273227355,56190
Lonely_Los_Exp_Loss_2,6,0.916333333,0.264853127,70235
Lonely_Los_Exp_Loss_2,7,0.918,0.25659213,87460
Lonely_Los_Exp_Loss_2,8,0.917333333,0.252967052,89050
Lonely_Los_Exp_Loss_2,9,0.920666667,0.249418304,94085
Lonely_Los_Exp_Loss_2,10,0.921666667,0.247221216,111840
Lonely_Los_Exp_Loss_2,11,0.921,0.246568637,120055
Lonely_Los_Exp_Loss_2,12,0.924666667,0.243005195,114490
Lonely_Los_Exp_Loss_2,13,0.922,0.235418209,139135
Lonely_Los_Exp_Loss_2,14,0.92,0.2345899,170935
Lonely_Los_Exp_Loss_2,15,0.922333333,0.230613783,191870
Lonely_Los_Exp_Loss_2,16,0.926666667,0.222898015,212010
Lonely_Los_Exp_Loss_2,17,0.928666667,0.210293197,243810
Lonely_Los_Exp_Loss_2,18,0.927333333,0.215835526,233475
Lonely_Los_Exp_Loss_2,19,0.926666667,0.211972162,257060
Lonely_Los_Exp_Loss_2,20,0.929666667,0.210730752,327550
Lonely_Los_Exp_Loss_2,21,0.93,0.204613547,360145
Lonely_Los_Exp_Loss_2,22,0.929666667,0.210866799,406255
Lonely_Los_Exp_Loss_2,23,0.937333333,0.193343347,461375
Lonely_Los_Exp_Loss_2,24,0.933333333,0.20516265,493175
Lonely_Los_Exp_Loss_2,25,0.922,0.235818705,478335
Lonely_Los_Exp_Loss_2,26,0.933666667,0.201432037,513315
Lonely_Los_Exp_Loss_2,27,0.935,0.199836656,558100
Lonely_Los_Exp_Loss_2,28,0.934333333,0.202810431,607390
Lonely_Los_Exp_Loss_2,29,0.935666667,0.201426734,722930
Lonely_Los_Exp_Loss_2,30,0.937333333,0.200036308,737240
Lonely_Los_Exp_Loss_2,31,0.937333333,0.192846576,855960
Lonely_Los_Exp_Loss_2,32,0.939666667,0.187033535,866825
Lonely_Los_Exp_Loss_2,33,0.935333333,0.196774875,876100
Lonely_Los_Exp_Loss_2,34,0.943333333,0.181648269,988725
Lonely_Los_Exp_Loss_2,35,0.934666667,0.202638983,961165
Lonely_Los_Exp_Loss_2,36,0.932,0.200195802,1129440
Lonely_Los_Exp_Loss_2,37,0.941333333,0.191894419,1031125
Lonely_Los_Exp_Loss_2,38,0.936666667,0.192022653,1061600
Lonely_Los_Exp_Loss_2,39,0.940666667,0.183369474,1272275
Lonely_Los_Exp_Loss_2,40,0.942,0.193526947,1216095
Lonely_Los_Exp_Loss_2,41,0.938,0.190661557,1247365
Lonely_Los_Exp_Loss_2,42,0.941666667,0.190591605,1581530
Lonely_Los_Exp_Loss_2,43,0.939,0.189053376,1635325
Lonely_Los_Exp_Loss_2,44,0.942666667,0.196403032,1837255
Lonely_Los_Exp_Loss_2,45,0.934666667,0.20526106,1720390
Lonely_Los_Exp_Loss_2,46,0.939666667,0.194830946,2050315
Lonely_Los_Exp_Loss_2,47,0.943,0.183811448,2083175
Lonely_Los_Exp_Loss_2,48,0.942666667,0.191499479,1955710
Lonely_Los_Exp_Loss_2,49,0.945666667,0.181309055,2141475
Lonely_Los_Exp_Loss_2,50,0.937,0.201395618,2541095
Lonely_Los_Exp_Loss_2,51,0.942666667,0.199769794,2064095
Lonely_Los_Exp_Loss_2,52,0.941,0.207224255,2754685
Lonely_Los_Exp_Loss_2,53,0.942666667,0.192225265,2647890
Lonely_Los_Exp_Loss_2,54,0.943333333,0.19374404,2823320
Lonely_Los_Exp_Loss_2,55,0.944666667,0.187575089,2684990
Lonely_Los_Exp_Loss_2,56,0.939666667,0.20400044,2324855
Lonely_Los_Exp_Loss_2,57,0.939666667,0.218096622,3148740
Lonely_Los_Exp_Loss_2,58,0.945,0.184469126,2618740
Lonely_Los_Exp_Loss_2,59,0.939666667,0.199833028,3441830
Lonely_Los_Exp_Loss_2,60,0.942,0.185078155,3572475
Lonely_Los_Exp_Loss_2,61,0.943333333,0.184677916,2664850
Lonely_Los_Exp_Loss_2,62,0.945666667,0.17986,3337685
Lonely_Los_Exp_Loss_2,63,0.945,0.191206417,3048570
Lonely_Los_Exp_Loss_2,64,0.942666667,0.191224803,2787280
Lonely_Los_Exp_Loss_2,65,0.946,0.192356222,2970660
Lonely_Los_Exp_Loss_2,66,0.938666667,0.195473561,2837630
Lonely_Los_Exp_Loss_2,67,0.947,0.183235176,2559380
Lonely_Los_Exp_Loss_2,68,0.945,0.190459738,3239105
Lonely_Los_Exp_Loss_2,69,0.931333333,0.221691833,3185840
Lonely_Los_Exp_Loss_2,70,0.942,0.197176773,2872080
Lonely_Los_Exp_Loss_2,71,0.938,0.22215371,2863335
Lonely_Los_Exp_Loss_2,72,0.942333333,0.183134192,3061025
Lonely_Los_Exp_Loss_2,73,0.944333333,0.192097228,3792955
Lonely_Los_Exp_Loss_2,74,0.93,0.251995277,3354645
Lonely_Los_Exp_Loss_2,75,0.943,0.199847426,3126215
Lonely_Los_Exp_Loss_2,76,0.944,0.184282144,3363920
Lonely_Los_Exp_Loss_2,77,0.943333333,0.187592955,3036380
Lonely_Los_Exp_Loss_2,78,0.943333333,0.190893029,2813250
Lonely_Los_Exp_Loss_2,79,0.946333333,0.190171453,2749385
Lonely_Los_Exp_Loss_2,80,0.940333333,0.195040301,2775885
Lonely_Los_Exp_Loss_2,81,0.944666667,0.17930071,2968275
Lonely_Los_Exp_Loss_2,82,0.942666667,0.200769201,5016460
Lonely_Los_Exp_Loss_2,83,0.933333333,0.247562563,4469765
Lonely_Los_Exp_Loss_2,84,0.944,0.187870405,3200150
Lonely_Los_Exp_Loss_2,85,0.948666667,0.168851843,3221085
Lonely_Los_Exp_Loss_2,86,0.938666667,0.200765797,3981370
Lonely_Los_Exp_Loss_2,87,0.941333333,0.186842485,3725115
Lonely_Los_Exp_Loss_2,88,0.946333333,0.185100249,3317280
Lonely_Los_Exp_Loss_2,89,0.934,0.204757563,3581220
Lonely_Los_Exp_Loss_2,90,0.941333333,0.189740055,3127275
Lonely_Los_Exp_Loss_2,91,0.945,0.197549881,5654845
Lonely_Los_Exp_Loss_2,92,0.942333333,0.190238287,3500395
Lonely_Los_Exp_Loss_2,93,0.943,0.184079574,3256065
Lonely_Los_Exp_Loss_2,94,0.938333333,0.206929168,4571790
Lonely_Los_Exp_Loss_2,95,0.939666667,0.205170712,3265605
Lonely_Los_Exp_Loss_2,96,0.945,0.183522641,3089645
Lonely_Los_Exp_Loss_2,97,0.945666667,0.186423327,3198295
Lonely_Los_Exp_Loss_2,98,0.947666667,0.186162846,3108990
Lonely_Los_Exp_Loss_2,99,0.942,0.194510547,2914745
Lonely_Los_Exp_Loss_2,100,0.946666667,0.17953138,3852845
Lonely_Los_Exp_Loss_2,101,0.942333333,0.206356219,3317015
Lonely_Los_Exp_Loss_2,102,0.939333333,0.198292727,2299150
Lonely_Los_Exp_Loss_2,103,0.944,0.176904978,3552600
Lonely_Los_Exp_Loss_2,104,0.944,0.195928285,4002835
Lonely_Los_Exp_Loss_2,105,0.946,0.193242733,3217640
Lonely_Los_Exp_Loss_2,106,0.94,0.184118308,2973310
Lonely_Los_Exp_Loss_2,107,0.947666667,0.184011377,3226385
Lonely_Los_Exp_Loss_2,108,0.940666667,0.195164529,2911830
Lonely_Los_Exp_Loss_2,109,0.937333333,0.209122944,3624415
Lonely_Los_Exp_Loss_2,110,0.942333333,0.190245093,3228770
Lonely_Los_Exp_Loss_2,111,0.939,0.208738257,2246945
Lonely_Los_Exp_Loss_2,112,0.938333333,0.202275193,2597010
Lonely_Los_Exp_Loss_2,113,0.946,0.173991392,2571040
Lonely_Los_Exp_Loss_2,114,0.94,0.192218495,2710430
Lonely_Los_Exp_Loss_2,115,0.943333333,0.186345044,2299945
Lonely_Los_Exp_Loss_2,116,0.941333333,0.192472122,2490480
Lonely_Los_Exp_Loss_2,117,0.944666667,0.170675817,2254365
Lonely_Los_Exp_Loss_2,118,0.937,0.198072664,2967215
Lonely_Los_Exp_Loss_2,119,0.941333333,0.186796409,2299680
Lonely_Los_Exp_Loss_2,120,0.942333333,0.178978527,2670415
Lonely_Los_Exp_Loss_2,121,0.944,0.185098934,2829945
Lonely_Los_Exp_Loss_2,122,0.946,0.174406993,3147150
Lonely_Los_Exp_Loss_2,123,0.947,0.185979527,2475375
Lonely_Los_Exp_Loss_2,124,0.943,0.178869914,2271325
Lonely_Los_Exp_Loss_2,125,0.942666667,0.21181759,2571835
Lonely_Los_Exp_Loss_2,126,0.945333333,0.180286809,3311980
Lonely_Los_Exp_Loss_2,127,0.945333333,0.17988131,2756010
Lonely_Los_Exp_Loss_2,128,0.944,0.191480633,3223470
Lonely_Los_Exp_Loss_2,129,0.942666667,0.178261024,2166120
Lonely_Los_Exp_Loss_2,130,0.947333333,0.168522227,2818020
Lonely_Los_Exp_Loss_2,131,0.940666667,0.193272414,1997580
Lonely_Los_Exp_Loss_2,132,0.941333333,0.177265109,2291730
Lonely_Los_Exp_Loss_2,133,0.940333333,0.20206937,2283515
Lonely_Los_Exp_Loss_2,134,0.937333333,0.200302315,3514970
Lonely_Los_Exp_Loss_2,135,0.939666667,0.190127032,2629075
Lonely_Los_Exp_Loss_2,136,0.945333333,0.178081407,2746205
Lonely_Los_Exp_Loss_2,137,0.940666667,0.19375327,2832860
Lonely_Los_Exp_Loss_2,138,0.941666667,0.185798246,3118530
Lonely_Los_Exp_Loss_2,139,0.946333333,0.182860812,3436530
Lonely_Los_Exp_Loss_2,140,0.947666667,0.17395056,3488470
Lonely_Los_Exp_Loss_2,141,0.944666667,0.179778589,2804505
Lonely_Los_Exp_Loss_2,142,0.941,0.19832625,3210750
Lonely_Los_Exp_Loss_2,143,0.940666667,0.188476055,2993185
,,,,
Lonely_Los_Exp_Loss_3,0,0.91,0.291936923,37375
Lonely_Los_Exp_Loss_3,1,0.908333333,0.285004718,42410
Lonely_Los_Exp_Loss_3,2,0.908666667,0.281430472,46915
Lonely_Los_Exp_Loss_3,3,0.910666667,0.279996833,50625
Lonely_Los_Exp_Loss_3,4,0.910666667,0.275646912,57515
Lonely_Los_Exp_Loss_3,5,0.921333333,0.259585448,65200
Lonely_Los_Exp_Loss_3,6,0.916333333,0.255812037,67850
Lonely_Los_Exp_Loss_3,7,0.914666667,0.259708948,72885
Lonely_Los_Exp_Loss_3,8,0.919666667,0.252513582,93025
Lonely_Los_Exp_Loss_3,9,0.921,0.248906354,88520
Lonely_Los_Exp_Loss_3,10,0.917,0.25741841,96205
Lonely_Los_Exp_Loss_3,11,0.922666667,0.24424457,95940
Lonely_Los_Exp_Loss_3,12,0.922666667,0.242286251,106805
Lonely_Los_Exp_Loss_3,13,0.923333333,0.236937271,120850
Lonely_Los_Exp_Loss_3,14,0.919333333,0.245798259,134100
Lonely_Los_Exp_Loss_3,15,0.924666667,0.235903041,141520
Lonely_Los_Exp_Loss_3,16,0.923,0.234291967,149205
Lonely_Los_Exp_Loss_3,17,0.919666667,0.236495618,164840
Lonely_Los_Exp_Loss_3,18,0.926333333,0.224993373,171465
Lonely_Los_Exp_Loss_3,19,0.918666667,0.236909739,195580
Lonely_Los_Exp_Loss_3,20,0.927333333,0.216957082,215985
Lonely_Los_Exp_Loss_3,21,0.925666667,0.225023167,281440
Lonely_Los_Exp_Loss_3,22,0.927666667,0.216372633,326755
Lonely_Los_Exp_Loss_3,23,0.928333333,0.221921935,399100
Lonely_Los_Exp_Loss_3,24,0.929666667,0.213006807,401220
Lonely_Los_Exp_Loss_3,25,0.929666667,0.20942964,452895
Lonely_Los_Exp_Loss_3,26,0.936666667,0.20702373,491055
Lonely_Los_Exp_Loss_3,27,0.932,0.201713442,559160
Lonely_Los_Exp_Loss_3,28,0.935,0.192224541,613220
Lonely_Los_Exp_Loss_3,29,0.935,0.197671216,673905
Lonely_Los_Exp_Loss_3,30,0.939,0.189414271,778315
Lonely_Los_Exp_Loss_3,31,0.935,0.18966426,744660
Lonely_Los_Exp_Loss_3,32,0.936666667,0.190947312,804550
Lonely_Los_Exp_Loss_3,33,0.929,0.213563092,1087570
Lonely_Los_Exp_Loss_3,34,0.937,0.182209602,1056830
Lonely_Los_Exp_Loss_3,35,0.940666667,0.176240907,1114865
Lonely_Los_Exp_Loss_3,36,0.937,0.199758964,1153820
Lonely_Los_Exp_Loss_3,37,0.946666667,0.177565455,1338525
Lonely_Los_Exp_Loss_3,38,0.942333333,0.189420045,1486660
Lonely_Los_Exp_Loss_3,39,0.942666667,0.198763914,1748215
Lonely_Los_Exp_Loss_3,40,0.941666667,0.181724067,1622075
Lonely_Los_Exp_Loss_3,41,0.941666667,0.182880383,1879390
Lonely_Los_Exp_Loss_3,42,0.943666667,0.182392453,2110205
Lonely_Los_Exp_Loss_3,43,0.934666667,0.211551755,2193415
Lonely_Los_Exp_Loss_3,44,0.933333333,0.219730178,2769525
Lonely_Los_Exp_Loss_3,45,0.937,0.206634144,2662995
Lonely_Los_Exp_Loss_3,46,0.944333333,0.178450149,2868370
Lonely_Los_Exp_Loss_3,47,0.940666667,0.185625001,2753890
Lonely_Los_Exp_Loss_3,48,0.949,0.178964032,3556310
Lonely_Los_Exp_Loss_3,49,0.941333333,0.188259069,2506115
Lonely_Los_Exp_Loss_3,50,0.939666667,0.192621873,3082225
Lonely_Los_Exp_Loss_3,51,0.945666667,0.179298739,2521220
Lonely_Los_Exp_Loss_3,52,0.944333333,0.183293613,2658755
Lonely_Los_Exp_Loss_3,53,0.943666667,0.193783043,3147680
Lonely_Los_Exp_Loss_3,54,0.934333333,0.21083098,2452055
Lonely_Los_Exp_Loss_3,55,0.939666667,0.199344359,3435470
Lonely_Los_Exp_Loss_3,56,0.938666667,0.192040087,3400755
Lonely_Los_Exp_Loss_3,57,0.941666667,0.202891455,3562935
Lonely_Los_Exp_Loss_3,58,0.943333333,0.180714864,2383420
Lonely_Los_Exp_Loss_3,59,0.945,0.186571762,3734655
Lonely_Los_Exp_Loss_3,60,0.944666667,0.197852249,2752830
Lonely_Los_Exp_Loss_3,61,0.941666667,0.187323187,3311450
Lonely_Los_Exp_Loss_3,62,0.943333333,0.191731194,3199355
Lonely_Los_Exp_Loss_3,63,0.944333333,0.191930058,3542795
Lonely_Los_Exp_Loss_3,64,0.944666667,0.188089606,2725005
Lonely_Los_Exp_Loss_3,65,0.945,0.172197406,2741170
Lonely_Los_Exp_Loss_3,66,0.942333333,0.187953328,2684990
Lonely_Los_Exp_Loss_3,67,0.946333333,0.182801886,2796820
