Experiment 1 ,14_04_2020_01-25-34

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,39760,50,0.907,0.30120795583724974
1,31810,40,0.906,0.3260476055145264
2,39760,50,0.904,0.30047422766685483
3,53275,67,0.914,0.28611885929107667
4,62020,78,0.916,0.2677026209831238
5,62815,79,0.914,0.25834411358833315
6,77920,98,0.907,0.26823274993896484
7,70765,89,0.915,0.25959456741809844
8,81895,103,0.92,0.2602969768047333
9,104155,131,0.918,0.2539350047111511
10,99385,125,0.92,0.2345310171842575
11,126415,159,0.924,0.22500185871124267
12,132775,167,0.93,0.22647510838508605
13,132775,167,0.927,0.23344184494018555
14,166165,209,0.922,0.22346961587667466
15,195580,246,0.927,0.2263238136768341
16,249640,314,0.927,0.23182133674621583
17,242485,305,0.929,0.20471094226837158
18,320395,403,0.933,0.219982235789299
19,321190,404,0.932,0.2007010412812233
20,390355,491,0.936,0.21067124497890471
21,482575,607,0.927,0.21452974407374859
22,504835,635,0.93,0.22697722411155702
23,652705,821,0.94,0.1770154230594635
24,668605,841,0.938,0.1877618116736412
25,877690,1104,0.933,0.21490426874160767
26,892000,1122,0.94,0.19117366158962248
27,1014430,1276,0.932,0.20858265751600266
28,1220335,1535,0.946,0.16826402580738067
29,1349920,1698,0.934,0.20938350257277488
30,2017720,2538,0.934,0.20196307522058488
31,2415220,3038,0.941,0.18826102617383003
32,2732425,3437,0.943,0.18954275304079055
33,2774560,3490,0.931,0.21271252964437007
34,2578195,3243,0.941,0.20436072009801864
35,2578195,3243,0.946,0.19635606521368026
36,2261785,2845,0.944,0.18261799848079682
37,2652925,3337,0.939,0.21771099515259265
38,2160025,2717,0.935,0.23154081618785857
39,2831005,3561,0.947,0.16161471524834634
40,2823055,3551,0.946,0.1911057046353817
41,3033730,3816,0.949,0.18037894321978093
42,2994775,3767,0.951,0.1758409807384014
43,3168085,3985,0.947,0.18008208647370338
44,2588530,3256,0.945,0.19707530994713307
45,2385010,3000,0.942,0.20565495306253434
46,2023285,2545,0.946,0.1814133842587471
47,2275300,2862,0.937,0.2051888744533062
48,3362065,4229,0.953,0.15298884618282318
49,2815900,3542,0.941,0.1842775675058365
50,3273025,4117,0.948,0.18586648765206337
51,4228615,5319,0.929,0.20220452564954758
52,3464620,4358,0.95,0.17240356370806695
53,3071890,3864,0.948,0.1718358709216118
54,2831005,3561,0.95,0.16780370175838472
55,3152185,3965,0.938,0.19308158147335053
56,4832815,6079,0.947,0.18292761266231536
57,4555360,5730,0.939,0.21964079535007477
58,3566380,4486,0.934,0.1855207431912422
59,3088585,3885,0.942,0.2064494336247444
60,3386710,4260,0.94,0.18240669745206833
61,4132420,5198,0.941,0.21297886979579925
62,3342985,4205,0.941,0.21083805054426194
63,4511635,5675,0.947,0.17898430728912354
64,4614985,5805,0.938,0.19597275993227958
65,4183300,5262,0.946,0.18346029949188233
66,3875635,4875,0.947,0.1778860171213746
67,3875635,4875,0.95,0.17638020741939545
68,3712660,4670,0.948,0.188977657943964
69,1791145,2253,0.937,0.2012505489885807
70,3259510,4100,0.947,0.18151067596673964
71,2354005,2961,0.938,0.1994206774532795
72,2740375,3447,0.933,0.19302436047792434
73,4238950,5332,0.953,0.15579166060686112
74,3091765,3889,0.943,0.18660627222061157
75,4901185,6165,0.94,0.21160113513469697
76,4594315,5779,0.929,0.23033118173480033
