Experiment 3 ,15_04_2020_04-58-04

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,24655,31,0.905,0.29466623115539553
1,16705,21,0.9,0.327301164150238
2,14320,18,0.898,0.3588998236656189
3,22270,28,0.902,0.3145260035991669
4,15910,20,0.892,0.33237852597236633
5,24655,31,0.903,0.3081129817962647
6,20680,26,0.901,0.3294651479721069
7,15115,19,0.902,0.33344919538497925
8,29425,37,0.906,0.31029467153549195
9,19885,25,0.9,0.3220938024520874
10,19090,24,0.897,0.3257194547653198
11,31015,39,0.906,0.29904798698425294
12,16705,21,0.897,0.345600962638855
13,24655,31,0.909,0.30250590419769285
14,60430,76,0.924,0.2510796673297882
15,65200,82,0.907,0.2717079384326935
16,79510,100,0.915,0.2419106686115265
17,29425,37,0.91,0.3015568189620972
18,36580,46,0.914,0.27350145268440246
19,32605,41,0.914,0.28705735349655154
20,15115,19,0.907,0.3236212120056152
21,58840,74,0.913,0.26999134159088134
22,17500,22,0.895,0.3296425175666809
23,81100,102,0.915,0.24860579538345337
24,100975,127,0.919,0.24443158960342407
25,18295,23,0.903,0.3283591899871826
26,78715,99,0.918,0.26553046035766603
27,78715,99,0.917,0.27000736153125765
28,62815,79,0.913,0.2659915840625763
29,62815,79,0.91,0.2695085165500641
30,9550,12,0.89,0.36216940116882324
31,16705,21,0.891,0.33716903829574585
32,11140,14,0.888,0.36877300691604614
33,19090,24,0.897,0.32646129035949706
34,15910,20,0.907,0.33743246030807494
35,15910,20,0.901,0.3281421988010407
36,8755,11,0.888,0.38229525899887085
37,28630,36,0.901,0.30752485489845277
38,14320,18,0.895,0.3411982898712158
39,13525,17,0.898,0.3410692267417908
40,15910,20,0.894,0.34139744520187376
41,13525,17,0.889,0.34631684303283694
42,9550,12,0.888,0.37538029527664185
43,20680,26,0.899,0.333131178855896
44,15115,19,0.901,0.3365454297065735
45,11140,14,0.886,0.37230760288238524
46,21475,27,0.896,0.3090635483264923
47,21475,27,0.897,0.3076880321502686
48,10345,13,0.889,0.3765353879928589
49,23065,29,0.902,0.30661530590057373
50,31015,39,0.907,0.28501401472091675
51,10345,13,0.883,0.36785073184967043
52,38965,49,0.909,0.2950607423782349
53,33400,42,0.908,0.2877504711151123
54,36580,46,0.909,0.27872169399261476
55,58045,73,0.908,0.28316212010383607
56,39760,50,0.914,0.26500077366828917
57,35785,45,0.909,0.2821437723636627
58,67585,85,0.914,0.2611920971870422
59,43735,55,0.911,0.28712264108657837
60,46120,58,0.906,0.27737658452987674
61,45325,57,0.909,0.27943540716171267
62,23065,29,0.899,0.3094295439720154
63,16705,21,0.895,0.3280497536659241
64,41350,52,0.904,0.28168802833557127
65,56455,71,0.91,0.27037912940979003
66,81895,103,0.912,0.24344829750061034
67,52480,66,0.914,0.2830220558643341
68,66790,84,0.916,0.25482287776470186
69,67585,85,0.912,0.2623977782726288
70,101770,128,0.915,0.23294565439224243
71,113695,143,0.921,0.24726174354553224
72,97795,123,0.923,0.23409457325935365
73,80305,101,0.915,0.26931055319309233
74,107335,135,0.925,0.24012907791137694
75,112900,142,0.923,0.24317517364025115
76,136750,172,0.919,0.23422823309898377
77,144700,182,0.915,0.24107716286182404
78,143905,181,0.922,0.23282033562660218
79,132775,167,0.93,0.23539378952980042
80,172525,217,0.919,0.22535846614837646
81,166960,210,0.922,0.23842924189567566
82,159010,200,0.924,0.23844798755645752
83,203530,256,0.929,0.21519548678398132
84,283030,356,0.92,0.236195289850235
85,347425,437,0.927,0.21287417793273924
86,347425,437,0.931,0.21174692487716676
87,436465,549,0.935,0.2101969981789589
88,427720,538,0.94,0.19639345920085907
89,386380,486,0.939,0.19428404170274735
90,493705,621,0.931,0.18671126633882523
91,562075,707,0.943,0.19624094873666764
92,589105,741,0.932,0.21046256357431412
93,740950,932,0.937,0.2114250975251198
94,567640,714,0.93,0.19812226104736327
95,670990,844,0.939,0.20499964785575867
96,498475,627,0.936,0.19672514319419862
97,640780,806,0.94,0.17967766553163528
98,601030,756,0.926,0.20670244336128235
99,488935,615,0.937,0.194814141869545
100,705970,888,0.941,0.18796448189020157
101,686095,863,0.94,0.18569679874181746
102,950830,1196,0.941,0.18799332612752914
103,1033510,1300,0.943,0.17766256231069566
104,981835,1235,0.935,0.20321710872650148
105,1538335,1935,0.944,0.18867234706878663
106,1903240,2394,0.946,0.16823445093631745
107,1977970,2488,0.949,0.17036406800150872
108,936520,1178,0.945,0.18320503556728363
109,1770475,2227,0.94,0.1734641139805317
110,2884270,3628,0.949,0.17590819379687309
111,2824645,3553,0.945,0.18437499198317528
112,3195115,4019,0.935,0.1971530441045761
113,3195115,4019,0.928,0.23476916769891978
114,3676090,4624,0.945,0.18249234995245933
115,1147195,1443,0.939,0.17568541711568833
116,1469170,1848,0.948,0.17092110043764114
117,1603525,2017,0.94,0.20391600561141968
118,1564570,1968,0.946,0.18231331637501716
119,1434985,1805,0.942,0.17873959031701087
120,1973995,2483,0.935,0.19779685908555986
121,1110625,1397,0.948,0.1659809780716896
122,2721295,3423,0.934,0.191552398994565
123,2005795,2523,0.943,0.1825231861770153
124,1229875,1547,0.939,0.19705438834428787
125,1264855,1591,0.944,0.19175101560354232
126,1858720,2338,0.945,0.17683803194761277
127,1802275,2267,0.948,0.15696875655651094
128,1545490,1944,0.94,0.18155455619096755
129,1850770,2328,0.94,0.17750903606414795
130,1613065,2029,0.941,0.18789785742759704
131,1913575,2407,0.94,0.1898430906534195
132,1752985,2205,0.941,0.18911883902549745
133,2978080,3746,0.937,0.2073566665351391
134,1573315,1979,0.942,0.17395781004428865
135,1287115,1619,0.943,0.1697000460624695
136,2669620,3358,0.938,0.2031287417113781
137,1818970,2288,0.94,0.18353403094410897
138,2073370,2608,0.941,0.17682246579229832
139,2658490,3344,0.946,0.16912413278222085
140,2935150,3692,0.948,0.1783945492208004
141,1842025,2317,0.942,0.1646699985563755
142,1617040,2034,0.944,0.18139360558986664
143,3925720,4938,0.931,0.24596767574548722
144,1617040,2034,0.943,0.1743385828137398
145,2022490,2544,0.952,0.18315303683280945
146,2222830,2796,0.95,0.17467101189494133
147,2222830,2796,0.937,0.21160510459914803
148,2558320,3218,0.946,0.16255976429581642
149,2176720,2738,0.939,0.20572984018921853
150,2353210,2960,0.948,0.17011479824781417
151,1512895,1903,0.935,0.21423786890506744
152,1892905,2381,0.936,0.23217632162570953
153,1746625,2197,0.935,0.2020061526298523
154,1704490,2144,0.939,0.17659460809826852
155,1864285,2345,0.945,0.18247504794597627
156,2071780,2606,0.943,0.18364141404628753
157,2505055,3151,0.935,0.21405171871185302
158,2505055,3151,0.935,0.1993469175696373
159,1718800,2162,0.933,0.19767151865363122
160,2063035,2595,0.934,0.2119749253988266
161,1956505,2461,0.94,0.17992190009355544
162,1830100,2302,0.945,0.19198271558433772
163,2263375,2847,0.94,0.186645550519228
164,1477915,1859,0.942,0.18933465707302094
165,1958095,2463,0.948,0.16573221582174302
166,1958095,2463,0.939,0.1973255872130394
