Experiment 3 ,16_04_2020_03-47-37

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,38965,1,0.914,0.2953363914489746
1,40515,2,0.91,0.2740528633594513
2,43791,2,0.905,0.29932863330841064
3,45957,2,0.923,0.2445480396747589
4,33177,3,0.917,0.2634926732778549
5,47013,2,0.915,0.24870728135108947
6,53757,2,0.919,0.24258185005187988
7,47145,2,0.919,0.249613224029541
8,79047,2,0.905,0.28120977866649627
9,79255,2,0.921,0.24621679317951203
10,80087,2,0.928,0.22450460195541383
11,80087,2,0.919,0.2569763858318329
12,81959,2,0.921,0.23646294474601745
13,81959,2,0.918,0.2457377347946167
14,77604,2,0.927,0.2172509194612503
15,69339,2,0.928,0.24432922089099884
16,80042,3,0.925,0.24991561949253083
17,92805,2,0.915,0.24662241268157958
18,99827,3,0.908,0.2648402464389801
19,101477,4,0.929,0.2346329417228699
20,99827,3,0.929,0.2448488450050354
21,100439,3,0.922,0.26618265616893766
22,112091,3,0.922,0.24252306520938874
23,87927,2,0.925,0.23665882563591004
24,87927,2,0.929,0.21792585277557372
25,91517,3,0.912,0.24552325010299683
26,91517,3,0.928,0.21043102669715882
27,106701,2,0.929,0.2278242794275284
28,106701,2,0.932,0.21054836583137512
29,110291,3,0.912,0.30297383141517636
30,121303,2,0.92,0.238204452753067
31,127412,2,0.933,0.1948655982017517
32,133082,3,0.926,0.2578836164474487
33,132804,3,0.928,0.234282213807106
34,131948,3,0.922,0.24680779373645784
35,133217,4,0.924,0.21576810920238496
36,134861,3,0.935,0.20906426990032195
37,135311,3,0.929,0.21448423999547958
38,131416,3,0.928,0.2121046033501625
39,135483,4,0.915,0.26551567268371584
40,135311,3,0.924,0.23486729001998902
41,129051,2,0.928,0.22407202565670015
42,136061,3,0.92,0.2585541462898254
43,170423,4,0.925,0.25297847056388856
44,162987,4,0.93,0.223847022742033
45,176772,4,0.938,0.19648249596357345
46,164023,4,0.927,0.23341221407055854
47,162464,3,0.941,0.19141057054698468
48,178004,5,0.929,0.23468471360206605
49,164437,4,0.92,0.2732268539071083
50,160616,3,0.928,0.21305847692489624
51,191861,3,0.931,0.21044739401340484
52,148114,3,0.919,0.22882017827033996
53,148114,3,0.914,0.2512928366661072
54,181697,3,0.9,0.34508900439739226
55,172187,3,0.934,0.22473538202047347
56,166727,3,0.929,0.223681941986084
57,191171,3,0.925,0.20155553913116456
58,171257,3,0.931,0.20077765345573426
59,171052,3,0.93,0.24964843463897704
60,171792,3,0.941,0.19652668169140816
61,171052,3,0.937,0.19599531877040863
62,171422,3,0.922,0.24672298341989518
63,161118,2,0.926,0.20357392716407777
64,167282,3,0.932,0.24204009169340135
65,171447,2,0.932,0.20316887021064758
66,172626,2,0.941,0.19866211771965026
67,189716,2,0.925,0.22063747295737265
68,203187,2,0.929,0.20407025152444838
69,241674,2,0.94,0.19789390099048615
70,276198,2,0.931,0.21051213818788528
71,335656,2,0.927,0.22914225220680237
72,281841,2,0.927,0.22513658273220064
73,313137,2,0.929,0.22117837637662888
74,394311,2,0.937,0.18794023805856705
75,289827,2,0.925,0.23543130481243132
76,289827,2,0.935,0.1901424092054367
77,465875,2,0.932,0.2204429933130741
78,465875,2,0.927,0.20782749950885773
79,465875,2,0.936,0.22166724902391433
80,603480,2,0.945,0.17735991203784943
81,606705,2,0.948,0.1879051879644394
82,460181,2,0.939,0.2198209108710289
83,597541,2,0.947,0.16870677632093428
84,608088,2,0.934,0.21136558881402015
85,625935,2,0.93,0.19939733439683915
86,492260,3,0.942,0.17744523680210114
87,518900,3,0.919,0.2801831563711166
88,527780,3,0.915,0.2925470085144043
89,504875,2,0.936,0.20918619528412818
90,536875,2,0.928,0.24456603220105172
91,536875,2,0.933,0.22439276745915412
92,613525,2,0.941,0.21528898340463637
93,600000,2,0.952,0.16888640770316124
94,794075,2,0.921,0.2720727527141571
95,744517,2,0.945,0.19233264139294623
96,744517,2,0.941,0.20493533603847028
97,714423,2,0.924,0.2613205546438694
98,744517,2,0.929,0.2559339281767607
99,1178275,2,0.931,0.22875329947471618
100,1408102,2,0.931,0.23400738313794137
101,744517,2,0.932,0.2215894602537155
102,803862,2,0.947,0.19140318596363068
103,801603,2,0.946,0.20417240169644355
104,801603,2,0.935,0.21577649304270743
105,801603,2,0.943,0.19932418709993363
106,772989,2,0.934,0.2595833580493927
107,742623,2,0.926,0.25629547449946405
108,938451,2,0.938,0.22896977207064628
109,938451,2,0.93,0.24664112558960916
110,938451,2,0.937,0.20458384215831757
111,908563,2,0.938,0.20764044623076916
112,875175,2,0.929,0.23064029076695441
113,993997,2,0.945,0.18762649935483933
114,939791,2,0.927,0.2835630067586899
115,853571,2,0.933,0.23038300237059592
116,816695,2,0.951,0.1854196727871895
117,795623,2,0.924,0.2619301720559597
118,798857,3,0.942,0.19474460926651954
119,1023175,1,0.928,0.21765960085391997
120,758517,2,0.934,0.2182748011648655
121,727125,2,0.941,0.21199630008637904
122,788928,2,0.949,0.19637293907999992
123,727125,2,0.942,0.18799366956949234
124,596850,2,0.941,0.18488082760572433
125,572865,2,0.916,0.2692887651920319
126,692145,2,0.939,0.20393031412363052
127,578515,2,0.935,0.2117266186475754
128,692145,2,0.939,0.1965690394639969
129,578515,2,0.934,0.21448151993751527
130,598355,2,0.941,0.21033394008874892
131,685187,2,0.946,0.16435171324014664
132,685187,2,0.941,0.20342894488573074
133,758743,2,0.933,0.26503788447380067
134,744477,2,0.934,0.21787046459317208
135,758743,2,0.941,0.20143171733617782
136,758743,2,0.947,0.1794576941281557
137,724775,2,0.943,0.1927447190284729
138,848275,2,0.947,0.1915445897579193
139,735225,2,0.953,0.1745806368291378
140,933369,2,0.933,0.2070477128215134
141,787380,2,0.94,0.19300864715874194
142,613017,2,0.944,0.18928398489952086
143,946861,2,0.943,0.17760332517325877
144,733767,2,0.94,0.20168598370999097
145,877665,2,0.924,0.24837798297405242
146,687063,2,0.938,0.20115553736686706
147,712044,2,0.947,0.18769399708509446
148,687063,2,0.937,0.2294702563881874
149,687063,2,0.942,0.23303477287292482
150,574559,2,0.929,0.22840479841828346
151,731143,2,0.942,0.18795480243861676
152,652695,2,0.937,0.18687044322490692
153,812358,2,0.949,0.17651563242077828
154,635995,2,0.942,0.2028233464360237
155,757635,2,0.935,0.23142315685749054
156,827640,2,0.924,0.2238424154818058
157,996075,2,0.941,0.20565048632025718
158,719185,2,0.943,0.17165783208608626
159,1026675,2,0.95,0.16906666111946106
160,1057275,2,0.927,0.24084750163555146
161,864429,2,0.935,0.2785864306688309
162,864632,2,0.945,0.19511868189275264
163,864632,2,0.935,0.2045417274236679
164,1042915,2,0.942,0.2035540156364441
165,818894,2,0.945,0.2137784692645073
