Experiment 3 ,20_04_2020_06-21-51

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,33400,1,0.903,0.3131583800315857
1,27040,1,0.899,0.31871258449554446
2,34195,1,0.902,0.30753252053260804
3,38170,1,0.913,0.28797493171691896
4,38170,1,0.911,0.2894264140129089
5,39047,2,0.911,0.267020982503891
6,40663,2,0.906,0.2860955684185028
7,39633,3,0.922,0.2542113516330719
8,39429,3,0.913,0.28701031088829043
9,39497,3,0.917,0.2622269744873047
10,51900,2,0.909,0.28469706869125366
11,51825,2,0.914,0.2573670749664307
12,60777,2,0.92,0.24232974195480347
13,54007,4,0.912,0.2579231479167938
14,60055,2,0.912,0.2574991990327835
15,75423,2,0.932,0.2315411489009857
16,60185,3,0.917,0.2775236529111862
17,60185,3,0.913,0.27039313173294066
18,35642,3,0.906,0.2758447437286377
19,38771,3,0.909,0.28497519946098326
20,53949,3,0.917,0.2551722593307495
21,38771,3,0.905,0.2821921525001526
22,40801,4,0.92,0.24098113906383514
23,40911,5,0.884,0.34364034962654116
24,37607,3,0.914,0.26965888345241545
25,51946,4,0.914,0.26839291328191756
26,52585,4,0.92,0.24047871375083923
27,53068,4,0.919,0.24316506695747375
28,53340,5,0.912,0.30325239086151123
29,53186,3,0.919,0.26292040026187896
30,53876,3,0.913,0.24827931219339372
31,52968,3,0.919,0.24264096903800964
32,47132,3,0.921,0.25101411712169647
33,49342,4,0.921,0.2693567745685577
34,47546,3,0.902,0.26551903057098386
35,52968,3,0.919,0.2478075876235962
36,52968,3,0.909,0.292332585811615
37,47546,3,0.915,0.24846512615680694
38,53370,3,0.927,0.24132177495956422
39,53370,3,0.917,0.2638722486495972
40,47953,3,0.92,0.2490542069673538
41,69643,3,0.911,0.2509745103120804
42,57304,4,0.912,0.2693691468238831
43,65207,2,0.924,0.23673057997226715
44,48801,3,0.918,0.24082967948913575
