Experiment 2 ,20_04_2020_23-54-12

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,34195,1,0.912,0.28857203435897827
1,36465,2,0.91,0.27544744277000427
2,36465,2,0.908,0.26926214826107026
3,43579,2,0.919,0.2578451397418976
4,42066,2,0.921,0.25922804403305055
5,43339,3,0.915,0.2752364854812622
6,42290,3,0.92,0.2369035794734955
7,39958,3,0.907,0.2723536605834961
8,63145,3,0.898,0.33963534569740295
9,69960,3,0.917,0.26316692638397216
10,71587,4,0.926,0.24537751126289367
11,54587,4,0.917,0.24719440531730652
12,53265,3,0.914,0.2641163022518158
13,49380,4,0.917,0.26579189610481263
14,47497,3,0.921,0.24318741965293883
15,53021,4,0.914,0.26675287663936614
16,51623,3,0.925,0.22327709698677062
17,50279,3,0.918,0.23739423978328705
18,67865,3,0.919,0.2453446542620659
19,61941,3,0.925,0.24440673851966857
20,68739,3,0.919,0.2471638467311859
21,63507,4,0.906,0.3048927241563797
22,63507,4,0.926,0.25480623936653135
23,77249,4,0.909,0.25583449518680573
24,74610,2,0.91,0.2516112179756165
25,74610,2,0.918,0.24363199734687804
26,82955,4,0.917,0.24940326818823813
27,92302,4,0.903,0.3256523715257645
28,115421,4,0.919,0.2752633829116821
29,90265,4,0.925,0.24441309344768525
30,118501,5,0.909,0.29228883957862856
31,90395,4,0.921,0.26916717529296874
32,119601,4,0.911,0.28279792273044585
33,139563,4,0.929,0.2220283590555191
34,110153,4,0.939,0.2318335275053978
35,137831,3,0.933,0.21116132259368897
36,133726,4,0.913,0.29300963830947874
37,169802,4,0.928,0.2270316196680069
38,137775,4,0.911,0.27168496072292325
39,133245,4,0.928,0.23337035554647445
40,133245,4,0.928,0.24731123407185077
