Experiment 3 ,21_04_2020_03-54-14

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,39760,1,0.911,0.2984214770793915
1,42493,2,0.921,0.24616098666191102
2,45099,3,0.905,0.2801796910762787
3,47449,3,0.91,0.24125385642051697
4,49153,3,0.91,0.2802959132194519
5,66439,2,0.917,0.25083856368064883
6,85443,2,0.921,0.22570277297496796
7,51128,3,0.916,0.23799113202095032
8,54913,4,0.924,0.24234211432933808
9,74117,3,0.939,0.20458417165279388
10,76457,3,0.927,0.23233157587051392
11,93721,3,0.925,0.23028994286060334
12,93536,5,0.933,0.2151954653263092
13,84446,3,0.926,0.23783110409975053
14,102177,3,0.933,0.21981137049198152
15,120871,4,0.929,0.23942592549324035
16,90885,3,0.932,0.21667544269561767
17,158860,5,0.931,0.22947405582666397
18,122668,4,0.928,0.24729081737995148
19,113128,3,0.924,0.24358066976070403
20,107081,3,0.92,0.24585022747516633
21,151973,5,0.923,0.27093643915653226
22,118907,3,0.929,0.2179553220272064
23,146861,3,0.921,0.22942714965343475
24,184393,3,0.935,0.22013066601753234
25,152891,3,0.924,0.2754437415599823
26,180727,3,0.93,0.21172433529794216
27,151757,3,0.939,0.18786731827259065
28,190087,3,0.932,0.1960831011533737
29,219486,3,0.918,0.26555452251434325
30,171956,3,0.924,0.2591570872068405
31,213094,3,0.936,0.2124109364748001
32,184694,3,0.931,0.19701333153247833
33,225080,3,0.93,0.20551314091682435
34,282245,2,0.936,0.22791138327121735
35,218438,3,0.937,0.20924839186668395
36,325610,2,0.942,0.20328681340813637
37,319415,2,0.931,0.21020925861597062
38,406729,3,0.944,0.2043846217393875
39,514121,3,0.934,0.22813334262371063
40,364137,2,0.924,0.2753400263786316
41,368739,2,0.933,0.19481858152151107
42,364137,2,0.935,0.20956300818920134
43,492519,2,0.943,0.193894534021616
44,563817,2,0.944,0.18107954192906617
45,488175,2,0.93,0.2232114868760109
46,735573,2,0.942,0.2075482405424118
47,646233,2,0.928,0.22914553813636304
48,769097,2,0.946,0.20231040120124816
49,697867,2,0.95,0.1881530673801899
50,769603,2,0.929,0.22427937376499177
51,619290,2,0.934,0.1981399113535881
52,997542,2,0.952,0.16079452618956566
53,809367,2,0.93,0.23002215839922427
54,735060,2,0.939,0.22570057916641234
55,1146424,2,0.944,0.23603160624206065
56,870072,2,0.92,0.3193303254842758
57,1106675,2,0.939,0.19682698041200639
58,779110,1,0.937,0.1838130542039871
59,1298937,2,0.939,0.2118968997001648
60,1298937,2,0.929,0.30215259581804277
61,1130889,2,0.932,0.23097099128365517
62,1402851,2,0.938,0.18565003949403763
63,1132515,2,0.926,0.27014786697924137
64,1085160,2,0.941,0.20966337876021862
65,1639710,2,0.927,0.2959136471748352
66,1639710,2,0.931,0.24305664271116256
67,1244980,1,0.937,0.19108485293388366
68,1357075,1,0.944,0.17169447827339174
69,1098700,1,0.931,0.21563758009672165
70,460951,2,0.9,0.3481879334449768
71,961960,1,0.943,0.18039760813117028
72,966730,1,0.933,0.1870506165623665
73,1179790,1,0.929,0.21926659667491913
74,1381227,2,0.928,0.22972440332174301
75,1472350,1,0.945,0.17761927923560142
76,1472350,1,0.935,0.19900747600197793
77,1483125,2,0.928,0.26657774519920346
78,1472350,1,0.949,0.17452657011151312
79,1477120,1,0.932,0.21816879385709761
