Experiment 2 ,16_04_2020_05-47-38

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,30220,1,0.908,0.3009317693710327
1,26076,2,0.911,0.27746360540390014
2,38058,2,0.915,0.2837798445224762
3,38571,2,0.905,0.2956336576938629
4,46851,2,0.909,0.2691315002441406
5,46784,2,0.92,0.23985871505737305
6,48635,3,0.921,0.25089124095439913
7,37468,3,0.923,0.24506670665740968
8,56591,3,0.917,0.23504911947250368
9,80506,2,0.924,0.2310887770652771
10,52055,2,0.916,0.2641380336284637
11,49223,4,0.913,0.2849361755847931
12,48188,4,0.915,0.2599382427930832
13,48587,3,0.921,0.23828458392620086
14,50383,4,0.923,0.2448003690838814
15,50267,4,0.918,0.27094138658046724
16,54929,3,0.917,0.2605589702129364
17,48545,3,0.917,0.2611703357696533
18,49445,4,0.899,0.3126872876882553
19,50805,4,0.91,0.26193529295921325
20,49361,3,0.913,0.2563327739238739
21,49361,3,0.909,0.2793432769775391
22,48563,2,0.91,0.2648047032356262
23,57489,4,0.921,0.23862563991546631
24,57389,4,0.912,0.2548083655834198
25,45844,3,0.921,0.2501592841148376
26,47586,4,0.906,0.2909668025970459
27,63063,3,0.917,0.25710219383239746
28,64361,4,0.931,0.23654093194007875
29,51132,6,0.924,0.2752632875442505
30,47331,4,0.91,0.2667230713367462
31,50818,5,0.919,0.261754442691803
32,46671,3,0.922,0.2398528720140457
33,47837,4,0.922,0.2437376927137375
34,48401,4,0.921,0.26420885407924655
35,47563,3,0.912,0.25109515511989594
36,48123,3,0.912,0.2865681617259979
37,46365,2,0.922,0.24990877628326416
38,47695,3,0.9,0.29393279242515563
39,47931,3,0.911,0.2753604598045349
40,47931,3,0.924,0.23716128695011138
41,47931,3,0.918,0.24149173307418823
42,47105,3,0.912,0.24346789515018463
43,56349,2,0.91,0.24680604839324952
44,61347,2,0.921,0.24658140683174135
45,73009,2,0.924,0.23285759902000427
46,55841,3,0.919,0.24155577492713928
47,56317,3,0.922,0.25040295910835264
48,56699,3,0.921,0.23621029555797576
49,56699,3,0.91,0.2717877767086029
50,56699,3,0.91,0.26976830220222475
51,57359,3,0.91,0.2618779026269913
52,57297,4,0.925,0.23708900249004364
53,57297,4,0.909,0.27100415802001954
54,65487,3,0.912,0.2394760149717331
55,65609,3,0.928,0.22022788524627684
56,58769,3,0.909,0.26397788417339324
57,85894,4,0.901,0.3235589108467102
58,85422,4,0.927,0.22836624228954316
59,86248,4,0.914,0.28418166399002076
60,84379,4,0.926,0.25419342195987704
61,86437,5,0.925,0.23942053294181823
62,90921,4,0.942,0.21369241595268249
63,90401,4,0.918,0.2543693931102753
64,91845,4,0.915,0.2660877456665039
65,87587,3,0.922,0.23146727657318114
66,92289,2,0.914,0.24702404487133026
67,102091,4,0.939,0.22559313547611237
68,103622,4,0.916,0.25350370025634766
69,103622,4,0.934,0.2251402171254158
70,104448,4,0.925,0.24411105418205262
71,103043,3,0.918,0.2392045842409134
72,127459,3,0.934,0.21262949669361114
73,124093,3,0.934,0.2183218684196472
74,127459,3,0.935,0.20535323601961136
75,128689,4,0.927,0.25265462636947633
76,137051,3,0.923,0.2237206344604492
77,165255,2,0.928,0.211294184923172
78,161467,3,0.932,0.21940116763114928
79,169315,3,0.93,0.2553973865509033
80,147435,3,0.93,0.23280784845352173
81,157927,2,0.926,0.2223295478820801
82,157545,2,0.932,0.20503362369537353
83,134055,2,0.93,0.20445063215494155
84,157927,2,0.923,0.23766274905204773
85,197167,2,0.928,0.19653884273767472
86,197167,2,0.928,0.2157928283214569
87,193391,2,0.938,0.19723699080944063
88,146587,3,0.925,0.23490505731105804
89,193391,2,0.93,0.19817446506023406
90,198565,3,0.906,0.32715935039520266
91,209693,3,0.921,0.24720056581497193
92,226563,3,0.929,0.23939333271980284
93,243600,2,0.93,0.2206661401987076
94,219955,3,0.938,0.1996200962662697
95,210473,2,0.933,0.2202573539018631
96,215533,2,0.927,0.21028080880641936
97,227127,2,0.94,0.18171329669654368
98,227127,2,0.938,0.20352424764633179
99,250345,2,0.937,0.19731162250041961
100,284279,2,0.936,0.20884072118997574
101,284279,2,0.915,0.2891764396429062
102,284279,2,0.945,0.19419493886828423
103,291167,2,0.944,0.17413580113649368
104,282311,2,0.926,0.22192806726694106
105,290183,2,0.924,0.23654418686032294
106,319373,2,0.946,0.17994652658700944
107,334282,2,0.941,0.20767668676376344
108,294447,2,0.945,0.18469888579845428
109,353583,2,0.932,0.19827626806497572
110,353583,2,0.933,0.22421665507555008
111,291255,2,0.94,0.19186361730098725
112,287475,2,0.931,0.228819721698761
113,324575,2,0.936,0.20006389808654784
114,362416,2,0.924,0.21491000235080718
115,363174,2,0.934,0.2149299711883068
116,379471,2,0.939,0.21337350711226463
117,350931,2,0.935,0.20926653504371642
118,379471,2,0.938,0.21699183288216592
119,425072,2,0.937,0.18647490191459656
120,425072,2,0.937,0.2186644744873047
121,538911,2,0.934,0.20817885825037957
122,416212,2,0.928,0.23679797783493994
123,411782,2,0.937,0.20322940468788148
124,502323,2,0.934,0.1991058474779129
125,547170,2,0.933,0.2285599915981293
126,547170,2,0.925,0.2560835391283035
127,547170,2,0.928,0.2462211614251137
128,572010,2,0.934,0.20943071293830873
129,572010,2,0.926,0.2351485424041748
130,454020,2,0.931,0.2272726663351059
131,520748,2,0.939,0.18371097326278688
132,617342,2,0.932,0.2314247650206089
133,520748,2,0.944,0.16927739363908767
134,447829,2,0.945,0.18567934906482697
135,447829,2,0.939,0.19440161472558976
136,554840,2,0.941,0.19058353644609452
137,524533,2,0.947,0.19055130705237389
138,524533,2,0.928,0.26112820690870286
139,577056,2,0.942,0.1827714258134365
140,432597,2,0.94,0.19445940092206002
141,487141,2,0.938,0.21020653426647187
142,570400,2,0.944,0.19733675549924373
