Experiment 1 ,20_04_2020_22-54-12

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,35785,1,0.908,0.30098739862442014
1,30220,1,0.904,0.3120576696395874
2,31023,2,0.895,0.29562605905532835
3,33075,2,0.917,0.27568419790267945
4,40017,3,0.921,0.25108545398712157
5,44673,3,0.919,0.22844393348693848
6,54029,3,0.916,0.26431002378463747
7,52645,3,0.921,0.22802480614185333
8,67917,3,0.919,0.26837261581420896
9,75411,3,0.92,0.23377127718925475
10,95999,3,0.921,0.25965150630474093
11,84857,3,0.936,0.2099461588859558
12,68707,4,0.923,0.22501334390044211
13,81015,2,0.929,0.2311613957285881
14,74299,4,0.919,0.2551977322101593
15,68286,3,0.927,0.22862294352054596
16,73619,3,0.925,0.23099919295310975
17,73619,3,0.913,0.2611143569946289
18,73619,3,0.932,0.2107772114276886
19,72340,4,0.932,0.21543943762779236
20,85742,4,0.928,0.2576040325164795
21,85441,4,0.913,0.2624511618614197
22,82566,4,0.92,0.2658664964437485
23,84057,4,0.921,0.23275200128555298
24,65195,3,0.918,0.2557729299068451
25,90302,3,0.931,0.21300766384601594
26,113584,3,0.93,0.23015230935811998
27,87594,3,0.917,0.24693618154525757
28,107879,3,0.929,0.23088859510421753
29,137879,3,0.931,0.1996796988248825
30,111047,3,0.939,0.19566430574655533
31,90279,3,0.924,0.2325284230709076
32,108908,3,0.886,0.33993638956546784
33,96199,3,0.925,0.2134951971769333
34,94588,2,0.922,0.22827044224739074
35,116220,2,0.937,0.21849759554862977
36,116220,2,0.93,0.22006964826583864
37,116220,2,0.922,0.20783516120910644
38,119288,3,0.934,0.21967950546741485
39,146555,3,0.921,0.2564311875700951
40,140099,3,0.927,0.22825001180171967
41,164901,3,0.921,0.2675713703632355
42,163309,3,0.92,0.2092748463153839
43,164901,3,0.925,0.2392318925857544
