Experiment 3 ,16_04_2020_06-47-38

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,34990,1,0.918,0.27164440155029296
1,38965,1,0.916,0.2808869071006775
2,26721,2,0.906,0.2970139207839966
3,33909,2,0.914,0.25974625420570374
4,36419,3,0.919,0.24702924036979676
5,37420,3,0.923,0.2525039254426956
6,44052,3,0.917,0.2587075958251953
7,44052,3,0.925,0.23912176263332366
8,37423,3,0.903,0.28634440994262694
9,53923,4,0.911,0.2652853238582611
10,53923,4,0.918,0.2522030346393585
11,53923,4,0.915,0.2713217468261719
12,55744,5,0.921,0.24067782044410704
13,50191,3,0.915,0.25972136878967284
14,65074,6,0.917,0.2848666970729828
15,47224,3,0.925,0.22440145874023437
16,44562,4,0.925,0.24360696399211884
17,46648,5,0.905,0.30555195021629333
18,62540,5,0.907,0.274022119641304
19,63956,5,0.913,0.2716346858739853
20,56706,5,0.916,0.2614943332672119
21,56706,5,0.905,0.26345159244537353
22,71700,5,0.899,0.29463958418369296
23,40494,5,0.92,0.2523939878344536
24,49547,4,0.917,0.2783326234817505
25,43193,4,0.915,0.25216373515129087
26,43193,4,0.906,0.27930331420898435
27,48149,4,0.915,0.260696023106575
28,50521,5,0.91,0.2794767458438873
29,49361,4,0.924,0.2407136173248291
30,49475,2,0.904,0.28010345244407653
31,54900,2,0.911,0.2536578583717346
32,51511,4,0.915,0.25079786258935927
33,62854,8,0.912,0.2940943291187286
34,51819,5,0.918,0.2885651118755341
35,51883,7,0.908,0.35432285606861114
36,50961,6,0.914,0.2983966498374939
37,71484,7,0.894,0.35745214438438416
38,70089,6,0.921,0.2608306164741516
39,71484,7,0.916,0.27700248908996583
40,68770,5,0.918,0.24975989174842833
41,67585,4,0.918,0.25692318940162656
42,66920,4,0.92,0.24310803091526031
43,67846,4,0.918,0.25182279682159425
44,75150,4,0.92,0.24024245476722716
45,65546,3,0.913,0.27698738014698027
46,72110,3,0.909,0.27684891629219055
47,66349,3,0.918,0.25065417766571046
48,65067,2,0.917,0.2503683944940567
49,63880,3,0.917,0.23775051951408385
50,75273,3,0.922,0.2508095407485962
51,93775,3,0.925,0.22830678153038025
52,77796,3,0.919,0.27755752205848694
53,91454,2,0.93,0.23158222293853759
54,91454,2,0.926,0.22157079005241395
