Experiment 3 ,22_04_2020_05-44-47

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,31015,2,0.903,0.30378921937942505
1,26076,3,0.909,0.29327399134635923
2,34683,3,0.909,0.2953616316318512
3,34683,3,0.902,0.2839171404838562
4,31733,5,0.9,0.30577152824401854
5,35822,4,0.918,0.27309214282035826
6,31335,4,0.911,0.28182530426979063
7,37752,4,0.924,0.25295984888076783
8,37717,4,0.921,0.2511367962360382
9,40210,6,0.904,0.33168702483177187
10,40210,6,0.925,0.2572544133067131
11,40866,7,0.892,0.38710463571548465
12,45771,5,0.923,0.23582719564437865
13,50175,6,0.925,0.25417471981048584
14,41490,7,0.906,0.3257321818470955
15,51360,6,0.923,0.2422220424413681
16,50851,8,0.924,0.26860127919912336
17,53715,9,0.909,0.32279156002402304
18,53709,8,0.903,0.33568967127799987
19,53709,8,0.889,0.4092323126792908
20,51877,7,0.906,0.2872628581523895
21,60561,8,0.923,0.26880018252134324
22,57614,7,0.932,0.21715415650606154
23,63876,9,0.917,0.28919821240007876
24,67678,8,0.916,0.27348576188087464
25,75026,7,0.912,0.28388247480988504
26,79426,8,0.857,0.608665949344635
27,77402,8,0.915,0.27614040315151217
28,74878,7,0.907,0.29347769045829775
29,81330,9,0.895,0.38133024179935454
30,73324,6,0.934,0.22330624103546143
31,82332,8,0.918,0.28043683302402495
32,73324,6,0.926,0.25694531786441804
33,77407,5,0.922,0.2452142448425293
34,98433,5,0.932,0.23464745032787324
35,98354,5,0.931,0.22198232662677764
36,100337,5,0.924,0.2525405704379082
37,122983,5,0.915,0.2810217187404633
38,98171,5,0.934,0.21231791305541992
39,109844,5,0.919,0.24993769824504852
40,101321,5,0.906,0.3181860406398773
41,103957,5,0.895,0.33437965643405915
42,104789,6,0.913,0.2685274924635887
43,136760,5,0.932,0.20666033291816713
44,108753,5,0.927,0.23467623841762542
45,156126,5,0.931,0.2389447792172432
46,159069,5,0.929,0.26950157406926156
47,103302,5,0.921,0.2629159926772118
48,137493,5,0.914,0.2490092910528183
49,153725,4,0.942,0.19054320994019508
50,167718,5,0.927,0.23666367161273957
51,156679,5,0.913,0.27902795395255087
52,151279,5,0.912,0.27410337746143343
53,151279,5,0.934,0.21540687119960786
54,151279,5,0.937,0.2348081610798836
55,142844,4,0.931,0.2265276809334755
56,164969,4,0.926,0.25240795162320134
57,141035,4,0.928,0.2485215991139412
58,137571,4,0.926,0.24032125213742256
59,170409,4,0.94,0.22665065813064575
60,144492,6,0.923,0.266720346391201
61,183260,4,0.937,0.1890816522538662
62,182792,6,0.93,0.24077175319194793
63,177905,4,0.934,0.22595674741268157
64,152452,5,0.901,0.32450612097978593
65,175170,6,0.923,0.23361525836586952
66,173766,5,0.937,0.2331724944114685
67,192462,6,0.932,0.21209145928919315
68,205242,6,0.907,0.3644436786174774
69,201160,5,0.912,0.29847405636310576
70,211474,5,0.935,0.21647064739465713
71,207869,6,0.921,0.261841957449913
72,205290,5,0.943,0.19777212077379228
73,207977,5,0.936,0.21380863055586816
74,174993,4,0.935,0.20618695762753486
75,218897,4,0.919,0.2794380918741226
76,226051,4,0.92,0.29827305996417997
77,261839,4,0.94,0.21537367233633994
78,222543,3,0.93,0.24118875533342363
79,246735,3,0.939,0.215536914229393
80,247218,3,0.916,0.314362879306078
81,247218,3,0.945,0.1980686766207218
82,248055,3,0.933,0.21777059888839723
83,248055,3,0.938,0.2110280285477638
84,239406,3,0.935,0.22032027935981752
85,259175,4,0.933,0.2327127666771412
86,254193,3,0.916,0.26715045094490053
87,280587,3,0.941,0.19432195481657982
88,279335,3,0.931,0.23110644149780274
89,257487,3,0.938,0.19733423447608947
90,257487,3,0.939,0.21211694771051406
91,245027,4,0.942,0.198369859457016
92,276075,3,0.928,0.23500087451934815
93,272855,3,0.924,0.25382530546188353
94,302525,3,0.928,0.23266034185886383
95,331538,4,0.923,0.29211597138643264
96,304169,4,0.94,0.1927625424861908
97,375581,4,0.936,0.1990355340242386
98,273683,4,0.923,0.26394033001363276
99,240637,4,0.938,0.19692659881711005
