Experiment 1 ,22_04_2020_06-44-48

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,32122,5,0.904,0.31500695896148684
1,41517,2,0.917,0.2628842167854309
2,51892,2,0.918,0.25034704959392545
3,52387,3,0.905,0.29247618865966796
4,50870,2,0.914,0.2611112902164459
5,56076,2,0.911,0.27366506123542783
6,62628,2,0.911,0.26024565410614015
7,69231,2,0.923,0.22979662704467774
8,69231,2,0.918,0.2613009001016617
9,63498,2,0.917,0.2549216887950897
10,63498,2,0.922,0.24709963154792786
11,67301,3,0.925,0.2474687395095825
12,81831,3,0.918,0.24675749003887176
13,79991,2,0.926,0.23213732862472533
14,81167,3,0.927,0.2423449866771698
15,87135,2,0.928,0.22554827320575715
16,87933,2,0.911,0.2615914371013641
17,103318,3,0.917,0.2412978860139847
18,100341,2,0.918,0.24774335861206054
19,95921,3,0.935,0.1868772712945938
20,99371,3,0.928,0.20472118294239045
21,95193,2,0.921,0.24913442444801331
22,98817,2,0.925,0.23825472676753998
23,84911,4,0.934,0.20663401985168456
24,113337,3,0.915,0.263175634264946
25,179073,2,0.93,0.2140139355659485
26,179073,2,0.932,0.22091683959960937
27,237603,2,0.925,0.2051585030555725
28,194507,3,0.924,0.26646931993961337
29,184270,2,0.944,0.17891259282827376
30,190255,2,0.939,0.19875297963619232
31,212037,2,0.935,0.187423854470253
32,205077,3,0.929,0.20291370773315429
33,209050,3,0.928,0.2539015872478485
34,189783,3,0.925,0.22805197951197625
35,218783,2,0.929,0.21490284371376037
36,297016,2,0.934,0.20058721315860747
37,349136,3,0.944,0.18918202590942382
38,319615,2,0.939,0.2048016928434372
39,404605,2,0.935,0.2109640142917633
40,404605,2,0.935,0.22170457088947296
41,368049,2,0.94,0.19442078810930252
42,414798,2,0.937,0.2061377102136612
43,414798,2,0.931,0.21887692230939865
44,414798,2,0.928,0.21412938675284385
45,539835,2,0.93,0.20607694470882415
46,530025,2,0.943,0.17859762419760228
47,465198,2,0.935,0.1974209040403366
48,586842,2,0.941,0.20682342520356178
49,549579,2,0.934,0.21568356838822364
50,493275,2,0.937,0.20931760638207197
51,482759,2,0.94,0.1812658288180828
52,546825,2,0.939,0.22053719830513
53,497368,2,0.94,0.19802882134914399
54,710575,2,0.942,0.21772229510545732
55,414590,2,0.924,0.24045916399359704
56,676475,2,0.937,0.20030125744640828
57,676475,2,0.935,0.20601284712553025
58,460853,2,0.937,0.21925183716416358
59,887631,2,0.935,0.2038777249455452
60,907081,2,0.946,0.19265081799030304
61,784673,2,0.952,0.18967398335039615
62,617627,2,0.928,0.25208345383405684
63,489897,3,0.933,0.2176586383804679
64,691785,2,0.943,0.2158702402561903
65,666412,2,0.945,0.19686911499500276
66,517164,2,0.93,0.21434910106658936
