Experiment 3 ,21_04_2020_06-54-15

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,29425,1,0.898,0.32390937399864195
1,29919,2,0.91,0.28071482706069945
2,22381,2,0.903,0.29240774297714234
3,35047,2,0.911,0.26944537711143496
4,41414,3,0.898,0.307412561416626
5,35517,4,0.909,0.29245742774009703
6,44691,4,0.897,0.34876439929008485
7,34144,4,0.908,0.3134990746974945
8,51742,3,0.913,0.28457637882232667
9,49755,2,0.916,0.2504147205352783
10,61767,2,0.92,0.2446905598640442
11,71107,6,0.922,0.24363351035118103
12,74439,3,0.921,0.22889963793754578
13,77729,3,0.927,0.22963896572589873
14,79766,4,0.914,0.24911385905742645
15,92411,3,0.932,0.20687803077697753
16,94721,3,0.925,0.23450496816635133
17,95748,4,0.922,0.2350451854467392
18,142082,3,0.92,0.23793799126148224
19,142928,3,0.924,0.24042863631248473
20,181275,2,0.927,0.20865211027860642
21,174306,2,0.926,0.21998013746738435
22,140183,2,0.931,0.2160769454240799
23,159557,3,0.932,0.18766381764411927
24,157602,3,0.933,0.2121887195110321
25,178815,2,0.936,0.20218280804157257
26,215836,4,0.933,0.2171216028034687
27,212223,2,0.933,0.21690258795022965
28,242087,2,0.932,0.21219529348611832
29,282880,2,0.931,0.21422005188465118
30,247415,2,0.939,0.19542101788520813
31,278836,2,0.945,0.17710017949342727
32,406279,2,0.933,0.19886916330456733
33,406279,2,0.931,0.1928101452589035
34,413745,2,0.924,0.23707710337638854
35,512805,2,0.929,0.22514229094982147
36,609105,2,0.925,0.21272093135118483
37,517503,2,0.938,0.2094330797344446
38,557668,2,0.922,0.2361127084866166
39,556335,2,0.935,0.1879936249256134
40,682516,2,0.928,0.23180278889834882
41,702361,2,0.94,0.1960061269402504
42,571757,2,0.939,0.20782437467575074
43,711887,2,0.936,0.19890881812572478
44,776837,2,0.943,0.20090900494903327
45,720862,2,0.915,0.2640832169055939
46,904527,2,0.938,0.1882869492471218
47,552423,2,0.941,0.188236652135849
48,805807,2,0.932,0.22630388578772545
49,898991,2,0.934,0.2199191244840622
50,704325,2,0.93,0.22730944311618806
51,673017,2,0.937,0.21321758270263672
52,800405,3,0.939,0.20830654612183572
53,1615589,3,0.936,0.19174107491970063
54,889179,2,0.938,0.21992684262990952
55,893651,3,0.933,0.19651671731472015
56,1110111,2,0.954,0.17437079352140428
57,868410,3,0.929,0.24195957839488982
58,1053385,1,0.937,0.19653489589691162
59,869742,2,0.938,0.20058168363571166
60,1194873,2,0.945,0.19023735034465789
61,1194873,2,0.942,0.24314239721000194
62,1316783,2,0.945,0.1956925658285618
63,1155940,1,0.945,0.18112362867593765
64,1034555,2,0.933,0.2192318687438965
65,1327721,2,0.933,0.20603716874122618
66,1067306,2,0.944,0.2003649010658264
67,1206820,1,0.935,0.21019789463281632
68,1350491,2,0.935,0.21513298565149308
69,1235981,2,0.932,0.21909883005917072
70,1206820,1,0.936,0.17516837310791017
71,1456450,1,0.937,0.192281653881073
72,1734700,1,0.935,0.21245520049333572
73,1734700,1,0.93,0.21374491584300995
74,2237935,1,0.947,0.17573631763458253
75,1771270,1,0.928,0.2363521612584591
76,1590010,1,0.946,0.19199901536107064
77,1768885,1,0.925,0.24870937448740005
78,2147305,1,0.945,0.17809497445821762
79,2605225,1,0.937,0.20634029579162597
80,2766610,1,0.939,0.20044840493798255
81,3500395,1,0.94,0.1801400563418865
82,3500395,1,0.945,0.18142879590392114
83,3166495,1,0.939,0.18514683451503516
84,3866095,1,0.943,0.1806959153264761
85,2721295,1,0.942,0.20061312717199326
86,4179325,1,0.946,0.2060064575970173
87,4390795,1,0.916,0.2926508536338806
88,2101990,1,0.947,0.17951743024587632
89,2101990,1,0.943,0.17921730904281138
90,2461330,1,0.951,0.15259982001781464
91,3040885,1,0.941,0.19090324258804323
92,3483700,1,0.946,0.17005235877633096
93,4269160,1,0.946,0.1736153928041458
94,3282565,1,0.939,0.21090231606364251
95,2516185,1,0.945,0.1675772074609995
96,2516185,1,0.945,0.17409788353741168
97,2516185,1,0.95,0.1806064959168434
98,2862010,1,0.927,0.2532282930016518
99,2675185,1,0.921,0.24587191700935362
100,2675185,1,0.949,0.18486752691864966
101,2675185,1,0.942,0.2074145591557026
102,2647360,1,0.933,0.20347211188077927
103,2513800,1,0.948,0.1660990581959486
104,2700625,1,0.931,0.20099973750114442
105,2682340,1,0.938,0.19874232107400894
106,3198295,1,0.943,0.19619025456905365
107,2873140,1,0.945,0.18180419328808783
108,3508345,1,0.933,0.21628750354796647
109,3784210,1,0.94,0.17492002265155315
110,3117205,1,0.936,0.18545452754199504
111,2423170,1,0.943,0.19309354403614998
112,2211700,1,0.946,0.16144716373085977
113,2211700,1,0.932,0.1947333063185215
114,2745145,1,0.946,0.18355294352769852
115,2745145,1,0.954,0.1882279616445303
116,2745145,1,0.949,0.1869912976026535
117,2759455,1,0.938,0.2095668722987175
118,3240430,1,0.953,0.16552391582727433
119,2652130,1,0.951,0.17225432395935059
120,2667235,1,0.957,0.1502478838264942
121,2544805,1,0.945,0.18687888979911804
122,2544805,1,0.943,0.190994655251503
123,2691085,1,0.942,0.19812972408533097
124,2737990,1,0.944,0.19717569521069528
125,2691085,1,0.947,0.1997273126244545
126,3093355,1,0.939,0.19933384430408477
127,2088475,1,0.949,0.16715244510769844
128,2691085,1,0.949,0.17620176328718662
129,3522655,1,0.94,0.18472234219312667
130,3522655,1,0.945,0.18978263634443282
131,4254850,1,0.941,0.19681399276852607
132,2907325,1,0.942,0.20810329340398312
133,4198405,1,0.948,0.1693123477101326
134,3788980,1,0.948,0.19206635883450507
135,2965360,1,0.944,0.17326932016015054
136,3797725,1,0.945,0.1889435076713562
137,3617260,1,0.939,0.207934525847435
138,3679270,1,0.942,0.18434391301870345
139,4613395,1,0.939,0.20516811099648474
140,4199995,1,0.946,0.1837562038600445
141,4104595,1,0.935,0.21631396853923798
142,3234865,1,0.947,0.18683558696508407
143,3234865,1,0.946,0.1718670478463173
144,3234865,1,0.949,0.17683153367042542
145,3304825,1,0.927,0.23214568585157394
146,2607610,1,0.935,0.22398538160324097
147,2839750,1,0.945,0.16882333032786845
