Experiment 3 ,23_04_2020_07-34-05

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,4
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,42329,4,0.897,0.3323327441215515
1,47977,4,0.885,0.38525200748443605
2,39973,4,0.906,0.28557700514793394
3,39267,4,0.901,0.2974601950645447
4,51394,4,0.912,0.2698846850395203
5,34599,4,0.905,0.2774137463569641
6,50845,4,0.911,0.23625188064575195
7,52969,4,0.918,0.26285961937904356
8,38009,4,0.902,0.27134289622306823
9,38247,4,0.907,0.27217440366744994
10,56063,3,0.914,0.26188981437683106
11,45139,3,0.915,0.2608843860626221
12,62335,2,0.91,0.270254674077034
13,51091,3,0.914,0.2570712920427322
14,58739,3,0.917,0.2639464936256409
15,54673,4,0.929,0.2509689800739288
16,47149,4,0.907,0.27007861351966855
17,61827,4,0.918,0.2707640715837479
18,74990,4,0.904,0.28054240202903746
19,54541,3,0.918,0.2487702909708023
20,77855,3,0.925,0.2379587559700012
21,64551,3,0.92,0.2573661873340607
22,65109,3,0.916,0.24539369624853133
23,82545,3,0.911,0.2723104910850525
24,131321,2,0.929,0.23339709067344666
25,199659,2,0.919,0.21956254088878632
26,135623,2,0.931,0.20790178716182708
27,187835,2,0.929,0.21401655769348144
28,168212,2,0.929,0.2312692449092865
29,198837,2,0.917,0.20820717006921768
30,198837,2,0.93,0.19510653841495515
31,259837,2,0.932,0.22235154855251313
32,203949,2,0.918,0.22441594398021697
33,306855,2,0.926,0.22336779725551606
34,319395,2,0.92,0.2387952802479267
35,351054,2,0.936,0.1969476046562195
36,250193,2,0.923,0.2514101555347443
37,271976,2,0.934,0.22332378202676773
38,332367,2,0.939,0.19159233808517456
39,314694,3,0.924,0.25315905395150184
40,316169,3,0.932,0.21033994162082673
41,325894,3,0.914,0.2903521900177002
42,287445,2,0.931,0.20086527389287948
43,360930,2,0.944,0.1780519711971283
44,417000,2,0.928,0.21266813030838966
45,576713,2,0.941,0.17944237232208252
46,415409,2,0.925,0.2203523144721985
47,415807,2,0.934,0.1965695223212242
48,488505,2,0.93,0.24377234649658203
49,382149,3,0.921,0.23760288786888123
50,424204,4,0.93,0.2138387975692749
51,716029,4,0.896,0.3318434860706329
52,432883,4,0.925,0.2312176376581192
53,715847,3,0.931,0.20726734787225723
54,720395,3,0.933,0.20434099565446376
55,720395,3,0.937,0.2114780585169792
56,844035,3,0.939,0.21069679567217828
57,665295,2,0.936,0.19256675630807876
58,849159,2,0.922,0.23884101641178132
59,1001311,2,0.932,0.2164292711019516
60,733534,2,0.943,0.21638860934972762
61,1202761,2,0.918,0.27797618037462235
62,1442160,2,0.929,0.24632777899503708
63,1696867,2,0.932,0.22972810804843902
64,1132763,2,0.937,0.18570351062715054
65,1410258,2,0.947,0.19538188628852368
66,2253900,2,0.928,0.2759123148322105
67,1343763,2,0.933,0.2523933603875339
68,2163993,2,0.915,0.27908902370929717
69,1377634,2,0.921,0.2921746269464493
70,1647775,2,0.902,0.4604895751476288
71,1647775,2,0.936,0.19885915237665178
72,1759279,2,0.932,0.21941531959176064
73,895575,2,0.928,0.21455789279937745
74,843789,2,0.934,0.1904658665060997
75,819537,2,0.922,0.22424617052078247
76,820588,2,0.935,0.20763329404592515
77,805887,2,0.939,0.20477394196391105
78,829536,2,0.935,0.1910859091281891
79,1166145,2,0.935,0.19256081315875054
80,955317,2,0.936,0.19819287770986557
81,1263569,2,0.933,0.2191019329726696
82,1369000,1,0.94,0.19156433022022248
83,1847647,2,0.938,0.20924730384349824
84,1847647,2,0.944,0.18685362282395362
85,1754885,2,0.926,0.24398345798254012
86,1911190,1,0.938,0.1888084453046322
87,1866670,1,0.95,0.16613298016786576
88,1566025,2,0.926,0.22551141612231732
