Experiment 3 ,27_04_2020_00-40-10

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,10
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,100
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Nadam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.6

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,86206,5,0.93,0.26310753451287744
1,86206,5,0.921,0.28573778545856476
2,104831,5,0.902,0.42645030581951143
3,102023,4,0.931,0.25914148120582103
4,97532,4,0.933,0.2728870570063591
5,96322,4,0.929,0.27453528475761413
6,89173,4,0.94,0.22221078005433081
7,106840,4,0.935,0.23946829345822335
8,89649,4,0.921,0.2704995868951082
9,105869,3,0.925,0.268418026059866
10,99971,4,0.932,0.24885683047771454
11,84101,3,0.937,0.21083493685722351
12,99116,3,0.934,0.24830495083332063
13,95856,3,0.935,0.210037274107337
14,102999,4,0.936,0.25372962695360185
15,131071,4,0.938,0.26707868775725363
16,117859,3,0.942,0.24199701210856436
17,103163,3,0.934,0.20940311866998673
18,103163,3,0.937,0.23488864681124688
19,103163,3,0.938,0.23746796548366547
20,124509,3,0.945,0.2269611826837063
21,114539,3,0.933,0.20836948576569558
22,117765,4,0.938,0.22536091366410255
23,114239,3,0.939,0.21676880890130998
24,141751,4,0.938,0.21341296097636223
25,168713,3,0.94,0.21093799436092378
26,214914,3,0.945,0.2190993645042181
27,214089,3,0.944,0.22088861751556396
28,214089,3,0.947,0.20019315544515848
29,268803,3,0.945,0.19550364176928997
30,268803,3,0.943,0.19852681811153888
31,268803,3,0.936,0.20600276803970338
32,267931,2,0.948,0.18708098247647287
33,294978,3,0.94,0.19887233500182627
34,329573,2,0.943,0.20035122075676917
35,329573,2,0.95,0.17067891588807105
36,317694,2,0.945,0.21230582286417485
37,340941,2,0.947,0.17948801431059838
38,317694,2,0.943,0.18627447873353958
39,317694,2,0.949,0.19451161593198776
40,324255,2,0.944,0.1894372874200344
41,324255,2,0.947,0.17844116686284542
42,321710,3,0.952,0.18757470871508122
43,321710,3,0.95,0.19727622279524804
44,321710,3,0.948,0.21433413499593734
45,318555,2,0.949,0.1928732885569334
46,401455,2,0.951,0.1811522543206811
47,321710,3,0.955,0.20228606890141965
48,321710,3,0.946,0.20544367676973344
49,321710,3,0.946,0.20284032886475326
50,384110,3,0.944,0.20158413955569268
51,434775,3,0.947,0.19248554999381304
52,351380,4,0.949,0.19995847561210395
53,409975,2,0.943,0.20404360297322274
54,432015,2,0.946,0.20172415536642074
55,432015,2,0.949,0.19262107118964195
56,451055,2,0.947,0.2011443856433034
57,558571,2,0.951,0.20020140440016984
58,669055,2,0.946,0.19251371164619924
59,806991,2,0.95,0.18302526599168778
60,806991,2,0.95,0.1864104268923402
61,806991,2,0.946,0.1909700396284461
62,806991,2,0.952,0.17958948732167482
63,885954,2,0.948,0.18717199608683585
64,774024,2,0.952,0.19152217997610568
65,915204,2,0.95,0.18864116064086556
66,1033843,2,0.949,0.19469064725190402
67,1013667,2,0.95,0.19407028736919166
68,1087997,2,0.954,0.1829527392052114
69,1087997,2,0.949,0.1856619076579809
70,692994,2,0.945,0.18966617204248906
71,692994,2,0.95,0.19172914923727513
72,824715,2,0.948,0.19669637170433998
73,1026825,2,0.942,0.1972143616080284
74,709254,2,0.947,0.19676494197547437
75,768075,2,0.953,0.19082310274988412
76,964428,2,0.95,0.18519956066459417
77,968108,3,0.957,0.1803906246200204
78,868455,3,0.957,0.17272625575214626
79,808956,2,0.948,0.19496788707375526
80,808956,2,0.952,0.17723637196421624
81,928365,2,0.953,0.18190007714927198
82,928365,2,0.951,0.1890436026751995
83,928365,2,0.951,0.1943222281858325
84,941289,2,0.954,0.1821425427980721
85,941289,2,0.953,0.18886113414540887
86,1002505,1,0.946,0.18392786419391632
