Experiment 3 ,23_04_2020_04-34-04

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,10
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,33486,6,0.887,0.4566768183708191
1,33941,6,0.905,0.3207446789741516
2,35332,7,0.877,0.5244923257827758
3,38782,7,0.901,0.37682184457778933
4,42986,6,0.899,0.39535336720943454
5,41275,4,0.907,0.31985972142219543
6,42085,3,0.923,0.28285644006729127
7,52760,3,0.929,0.24544756609201432
8,52719,2,0.904,0.280716845870018
9,51370,2,0.934,0.20229512083530427
10,60514,2,0.943,0.21357750761508942
11,62095,2,0.922,0.2391427129507065
12,78825,2,0.928,0.23201615715026855
13,96333,2,0.928,0.24206752890348435
14,102729,2,0.935,0.19931193429231644
15,104777,3,0.943,0.1836846594810486
16,154267,2,0.942,0.18657219152152538
17,157410,3,0.939,0.21581255474686623
18,157410,3,0.932,0.23465708765387536
19,192208,2,0.937,0.19904024538397788
20,183735,2,0.945,0.20206293168663977
21,264633,2,0.946,0.19188510838896036
22,275938,2,0.951,0.18978331253677608
23,413815,2,0.953,0.18444375409185887
24,423915,2,0.946,0.19273674596846105
25,377635,1,0.942,0.18559532171487808
26,421485,2,0.943,0.1849751752987504
27,704282,2,0.953,0.19724707566201688
28,683341,2,0.945,0.17679089695215225
29,683341,2,0.952,0.167516027495265
30,685691,3,0.95,0.19030215884000062
31,548813,3,0.951,0.19493336705863476
32,511867,2,0.947,0.17842868149280547
33,534943,2,0.951,0.17456756307184695
34,672519,2,0.95,0.17766344895213843
35,676559,2,0.949,0.19836916207522154
36,878681,2,0.949,0.18797824363410473
37,879271,3,0.945,0.20235216093063355
38,805222,3,0.949,0.19583265215158463
39,745255,2,0.946,0.17175358870625496
40,615219,2,0.946,0.1814770892560482
41,765785,2,0.954,0.1788903269469738
42,902913,2,0.951,0.1791798300370574
43,1049213,2,0.951,0.17505363973230123
44,968320,1,0.946,0.1730105938613415
45,1207615,1,0.954,0.1690186356306076
46,1491430,1,0.952,0.16969166154414414
47,1384900,1,0.951,0.1679974389374256
48,1234735,2,0.953,0.1633372698202729
49,1199665,1,0.948,0.17563941422104837
50,1199665,1,0.947,0.1735038942992687
51,1547080,1,0.95,0.16759416590631007
52,1510510,1,0.95,0.1751427307575941
53,1905625,1,0.95,0.16657062539458276
54,2220445,1,0.949,0.16577448754757643
55,2220445,1,0.953,0.16226078601181507
56,2299067,2,0.952,0.19344937273859977
57,2220445,1,0.953,0.17452443110942842
58,2301871,2,0.952,0.18213368418812753
59,2220445,1,0.953,0.1851178091019392
60,2300740,1,0.948,0.18126355773210526
61,2475640,1,0.95,0.181926273599267
62,2475640,1,0.95,0.17790353316813706
63,2069395,1,0.953,0.1695290781930089
64,1937425,1,0.956,0.17528091464936732
