Experiment 1 ,26_04_2020_06-41-11

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,10
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,100
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.6

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,70169,6,0.93,0.2535469852685928
1,82846,6,0.933,0.25455414232611656
2,77368,4,0.925,0.31999010425806046
3,77368,4,0.929,0.3255777914226055
4,82370,4,0.925,0.3117487661242485
5,91597,4,0.934,0.2764340918511152
6,88583,4,0.925,0.2727409497499466
7,76211,3,0.941,0.23565628904104233
8,79731,3,0.928,0.2568894451856613
9,88481,4,0.935,0.2713418877804652
10,93151,3,0.931,0.2650155238509178
11,96167,3,0.932,0.23137517354637385
12,94169,3,0.93,0.29265804985910654
13,99631,3,0.933,0.2557863721549511
14,127655,3,0.945,0.20891480894386769
15,104537,2,0.94,0.22552447313070298
16,115459,2,0.94,0.2187865879535675
17,131733,2,0.941,0.2214997273683548
18,148623,2,0.946,0.19386973217129708
19,143079,2,0.944,0.20528201991319656
20,143079,2,0.949,0.19103579699993134
21,146010,2,0.934,0.2473418174982071
22,146010,2,0.942,0.2039378692507744
23,145767,2,0.925,0.2624288283362985
24,176811,2,0.946,0.19371243646740913
25,176811,2,0.944,0.19016940407454969
26,176811,2,0.938,0.19729391080141068
27,186990,2,0.952,0.18658834530413151
28,181401,2,0.943,0.20319525660574436
29,219039,2,0.944,0.1863676966279745
30,219039,2,0.942,0.1914900028705597
31,224700,2,0.953,0.18427631750702858
32,255999,2,0.947,0.1960203210413456
33,235410,2,0.945,0.1935345288515091
34,232299,3,0.944,0.21392173686623572
35,314808,2,0.948,0.19976111668348312
36,314808,2,0.949,0.19239843590557576
37,489636,2,0.944,0.20300120496749877
38,329121,2,0.96,0.1699517553001642
39,334001,3,0.95,0.17103231010958553
40,334001,3,0.934,0.24078609542548657
41,329121,2,0.955,0.18714290419220925
42,353099,3,0.942,0.1927093672901392
43,352228,3,0.949,0.18058591888844966
44,355363,4,0.943,0.23927005102485419
45,352193,3,0.946,0.19392538363486528
46,352193,3,0.95,0.2089269309081137
47,354088,4,0.947,0.2150112386085093
48,354926,5,0.931,0.274608747176826
49,354926,5,0.936,0.24946941933035852
50,354926,5,0.949,0.22060928681492806
51,365498,5,0.943,0.2459065003693104
52,362945,4,0.932,0.2727451352775097
53,283912,4,0.95,0.19510144132375717
54,282697,3,0.95,0.17839589431509376
55,341951,3,0.948,0.20864341127872468
56,419678,3,0.95,0.16979269048571585
57,419678,3,0.955,0.17981857585906982
58,419678,3,0.942,0.22431190359592437
59,452421,3,0.945,0.22834467191249133
60,452421,3,0.945,0.19490827869996427
61,390191,2,0.95,0.1805140314102173
62,390191,2,0.95,0.1753238499313593
63,390191,2,0.949,0.17106070587038993
64,499574,2,0.945,0.19955991557240485
65,556605,2,0.951,0.17590299887955188
66,505145,2,0.945,0.18499857407808304
67,489131,2,0.948,0.1860863212645054
68,500812,2,0.945,0.17016309094429016
69,659651,2,0.945,0.20277528457343577
70,468453,3,0.947,0.1939659095481038
71,663711,2,0.947,0.1888098661825061
72,663711,2,0.947,0.17475847727805377
73,513843,2,0.952,0.17083796273171903
74,674295,2,0.949,0.19883128739893435
75,674295,2,0.946,0.1902796223908663
76,852495,2,0.955,0.17374819314479828
77,899691,2,0.948,0.18423977261781693
78,869135,2,0.957,0.17503432034701108
79,903275,2,0.95,0.18941505429148675
80,871465,2,0.947,0.17061841410398484
81,868303,2,0.952,0.16418293049931526
82,966505,2,0.952,0.1784384859725833
83,1025457,2,0.948,0.1681918917708099
84,1189461,2,0.951,0.17482213086634874
85,1117474,2,0.957,0.178036318205297
86,1116135,2,0.949,0.1877848225235939
87,661652,2,0.954,0.17067741478979587
88,661652,2,0.955,0.17265902073681355
89,512970,2,0.949,0.18735151907056571
90,636045,2,0.951,0.176936271995306
91,607203,2,0.947,0.21282931113243103
92,689547,2,0.961,0.16002116185054183
93,631731,2,0.949,0.17834457483515143
94,636117,2,0.941,0.1932772813141346
95,636117,2,0.946,0.19708751726150514
96,823019,2,0.949,0.1839988160803914
97,823019,2,0.952,0.17957177241146566
98,786139,2,0.95,0.17895357157289982
99,821085,2,0.947,0.19579082008078694
100,1000467,2,0.958,0.17582666229456664
101,822030,2,0.956,0.18031666077673436
102,826929,2,0.949,0.18015366642922162
103,740155,1,0.948,0.17085649777948855
104,850479,2,0.953,0.1865744529440999
105,850479,2,0.955,0.19513919988274575
106,1095807,2,0.945,0.22394064668565988
107,850479,2,0.947,0.19620199592784046
108,1036991,2,0.953,0.1966986250244081
109,900745,1,0.947,0.17581371414661406
110,900745,1,0.948,0.1693571675121784
111,896770,1,0.948,0.170201335221529
112,959525,2,0.959,0.17988649086654188
113,959525,2,0.955,0.1734410975649953
114,959525,2,0.951,0.18538833270035684
115,959525,2,0.953,0.16719368546083568
116,952559,3,0.956,0.1757416899614036
117,952559,3,0.958,0.1782630729228258
118,952559,3,0.953,0.2161485942825675
119,866007,3,0.944,0.2122951152175665
120,866007,3,0.941,0.22980553038045765
121,865017,2,0.943,0.19097847393155098
122,982035,2,0.949,0.17741947730258106
123,982035,2,0.954,0.1841114885993302
124,986230,3,0.928,0.3052711692303419
125,914775,2,0.955,0.17738071946799755
126,914775,2,0.949,0.1653376603499055
127,914775,2,0.943,0.19319757558405398
128,914775,2,0.951,0.17476848854124546
129,872655,2,0.949,0.17746704769134522
130,1009097,2,0.952,0.16612500749528408
131,862355,2,0.946,0.18368242330104112
132,1113805,1,0.948,0.18076644971221686
133,1144810,1,0.952,0.17162356767058373
134,1210000,1,0.951,0.1762078602463007
135,1406365,1,0.951,0.16920152939856054
