Experiment 1 ,24_04_2020_04-52-18

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,10
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.2

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,45081,10,0.863,0.5418085616827011
1,45081,10,0.903,0.3714918664097786
2,34195,1,0.917,0.25608874773979184
3,35599,3,0.911,0.3162092432975769
4,35599,3,0.929,0.23877144205570222
5,35599,3,0.914,0.2807628775835037
6,35979,2,0.916,0.25683697175979614
7,36805,2,0.927,0.24589989507198334
8,36805,2,0.918,0.23920397758483886
9,36805,2,0.918,0.278680606842041
10,37955,3,0.918,0.2485037008523941
11,46248,2,0.921,0.24219940525293351
12,46717,2,0.927,0.2413446980714798
13,38423,3,0.925,0.24872746855020522
14,46717,2,0.932,0.209456223487854
15,48335,3,0.935,0.22680261439085006
16,48335,3,0.933,0.2573269367814064
17,55595,3,0.93,0.23181519222259522
18,55313,3,0.922,0.23954899096488952
19,56065,3,0.938,0.22211421591043473
20,55266,3,0.926,0.25454143357276915
21,55266,3,0.923,0.2739171370267868
22,56065,3,0.927,0.24441618806123733
23,69469,3,0.921,0.2543540461063385
24,63883,3,0.927,0.24429645919799806
25,75697,3,0.936,0.22963624900579452
26,69469,3,0.931,0.2151330633163452
27,69357,3,0.942,0.2209230473637581
28,69581,3,0.933,0.21278638249635695
29,69357,3,0.93,0.25325297498703003
30,69581,3,0.931,0.24020393645763397
31,69357,3,0.934,0.233608453810215
32,69581,3,0.936,0.2125060507953167
33,69581,3,0.941,0.23675286960601807
34,69581,3,0.928,0.23729401916265488
35,69581,3,0.942,0.21456746923923492
36,69581,3,0.933,0.23339609745144843
37,99135,3,0.946,0.20272075873613357
38,99341,3,0.933,0.2067729752063751
39,99135,3,0.935,0.21037758332490922
40,99023,3,0.935,0.2384175041615963
41,103853,3,0.937,0.24291788524389266
42,102680,3,0.93,0.23707498669624327
43,99683,3,0.937,0.23724831849336625
44,103435,3,0.939,0.23238198351860045
45,102687,3,0.942,0.24974681451916694
46,102687,3,0.938,0.2246079777479172
47,102687,3,0.947,0.22280720934271814
48,102687,3,0.943,0.20513442373275756
49,102687,3,0.924,0.2694688311815262
50,102687,3,0.939,0.23578141303360461
51,102687,3,0.928,0.2247948803603649
52,102687,3,0.938,0.2164591082185507
53,102687,3,0.935,0.2313056862950325
54,102687,3,0.93,0.20489613935351372
55,102687,3,0.926,0.24488066038489342
56,102687,3,0.928,0.2651573958992958
57,102687,3,0.931,0.24170178025960923
58,102687,3,0.925,0.2677852307856083
59,102687,3,0.94,0.23467633306980132
60,121420,2,0.935,0.22348276174068452
61,124579,3,0.942,0.19330270892381668
62,119508,3,0.942,0.22805552765727044
63,119739,3,0.944,0.2187058410346508
64,119508,3,0.941,0.21558877164125442
65,119508,3,0.932,0.23988693936169148
66,119508,3,0.938,0.1994075440764427
67,109868,3,0.939,0.2185567166507244
68,109868,3,0.928,0.26203523063659667
69,117288,3,0.938,0.2310593830347061
70,120746,4,0.932,0.27528719061613083
71,117288,3,0.937,0.20581201681494712
72,117288,3,0.946,0.19971764263510705
73,117808,3,0.928,0.2714847016185522
74,135011,3,0.94,0.24307538916915655
