Experiment 3 ,24_04_2020_06-52-18

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,10
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.2

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,21933,3,0.911,0.26397404658794404
1,21933,3,0.92,0.25562253820896147
2,21933,3,0.924,0.27117379593849184
3,21933,3,0.912,0.28642135816812514
4,21933,3,0.915,0.29307644832134244
5,21933,3,0.915,0.2939038372039795
6,21933,3,0.925,0.2721693025827408
7,19887,3,0.914,0.25690404856204985
8,25190,3,0.921,0.2541148327589035
9,24607,3,0.919,0.2981929569244385
10,22351,3,0.902,0.2888648278713226
11,22953,3,0.917,0.2677506767511368
12,23536,3,0.919,0.28267635238170624
13,22953,3,0.898,0.3131619348526001
14,24607,3,0.923,0.26616839873790743
15,25190,3,0.919,0.2728542362451553
16,23536,3,0.904,0.2988229031562805
17,25190,3,0.921,0.2653319469690323
18,24670,4,0.922,0.3014372029900551
19,24066,3,0.918,0.264787483215332
20,27348,4,0.915,0.312658279299736
21,25720,3,0.928,0.2564688845872879
22,28055,6,0.92,0.2905768531560898
23,27348,4,0.918,0.27645902848243714
24,25694,4,0.918,0.2775466459989548
25,25694,4,0.916,0.27652689576148987
26,25694,4,0.921,0.299913868188858
27,29073,4,0.904,0.30491801393032075
28,29700,4,0.925,0.25356686574220655
29,29610,4,0.921,0.27540919548273085
30,29753,4,0.915,0.29222756943106654
31,29441,4,0.914,0.3111639060974121
32,37725,4,0.9,0.33298294520378113
33,37725,4,0.926,0.26633893650770185
34,37725,4,0.924,0.2730264985561371
35,40429,4,0.934,0.26642772325873376
36,40429,4,0.912,0.31211004269123077
37,38800,4,0.922,0.2678519024848938
38,39810,4,0.924,0.22801558375358583
39,45371,4,0.93,0.251841823220253
40,47511,4,0.914,0.3103026519119739
41,48953,3,0.927,0.25191909831762316
42,46899,3,0.924,0.2717329064011574
43,48953,3,0.925,0.23733772993087768
44,49627,4,0.926,0.2653199627697468
45,51670,4,0.938,0.25232013984024526
46,48953,3,0.931,0.22934180797636508
47,48953,3,0.934,0.21965332184731962
48,48953,3,0.938,0.22842422330379486
49,48953,3,0.92,0.2990032814741135
50,51670,4,0.944,0.24836801594495772
51,48953,3,0.928,0.244190632045269
52,59963,3,0.936,0.21685186365246772
53,59963,3,0.924,0.2682543552517891
54,59963,3,0.939,0.2257733420729637
55,59963,3,0.932,0.24102479141950608
56,59963,3,0.927,0.2776404230296612
57,59963,3,0.922,0.27744101893901824
58,59793,3,0.938,0.23070064240694046
59,81088,2,0.937,0.2351524761915207
60,86592,3,0.935,0.23814450703561307
61,86592,3,0.928,0.26609032887220385
62,82015,2,0.933,0.21157468849420547
63,126638,3,0.944,0.20861831864714622
64,126638,3,0.945,0.21258287212252616
65,126638,3,0.939,0.22149245619773864
66,123077,3,0.937,0.2357530931904912
67,100090,3,0.941,0.22929016519337891
68,101195,3,0.922,0.28517453783750535
69,100090,3,0.936,0.22335937011241913
70,125403,3,0.955,0.17672735799849032
71,126733,3,0.941,0.23871846590936183
72,126733,3,0.931,0.2840076200067997
73,126733,3,0.932,0.25489662659168244
74,126733,3,0.926,0.2683473383188248
75,119118,2,0.945,0.211475055038929
76,119118,2,0.932,0.22842348355054856
77,126733,3,0.944,0.22015089394152165
78,126733,3,0.95,0.20254754728078841
79,126733,3,0.943,0.22299627894163132
80,126733,3,0.936,0.23631627506017686
81,126733,3,0.939,0.20869614066183567
82,126733,3,0.938,0.225483717918396
83,137309,3,0.937,0.22804940792918205
84,137309,3,0.94,0.21518806919455527
85,137309,3,0.94,0.22857792763412
86,137309,3,0.95,0.1936840372979641
87,141995,2,0.943,0.2168913912177086
88,141995,2,0.946,0.19555786830186844
89,141995,2,0.939,0.18739540860056877
90,141995,2,0.945,0.1956758857667446
91,141995,2,0.946,0.20719791975617408
92,141995,2,0.936,0.20648294201493264
93,141995,2,0.936,0.21228612214326859
94,187071,2,0.943,0.2110288720726967
95,182751,2,0.948,0.19808100390434266
96,187071,2,0.948,0.19203226187825204
97,191540,2,0.941,0.19859149917960167
98,191540,2,0.949,0.1884493936598301
99,192471,2,0.95,0.18393805746734143
100,191540,2,0.943,0.21278637233376502
101,212953,2,0.948,0.1872777166366577
102,213863,2,0.944,0.2065809909105301
103,219617,2,0.945,0.20901633986830712
104,219617,2,0.948,0.19997252881526947
105,219617,2,0.942,0.2024887711405754
106,219617,2,0.944,0.185152403883636
107,227289,2,0.942,0.19475034184753895
108,227289,2,0.945,0.180200730368495
109,266295,2,0.955,0.16815169361233712
110,266295,2,0.949,0.1975545285642147
111,253023,2,0.944,0.19236973676085473
112,253023,2,0.954,0.18296357356011866
113,253023,2,0.949,0.17868389965593814
114,253023,2,0.947,0.1749451691508293
115,253023,2,0.944,0.21557922431826593
116,249159,2,0.95,0.1970268305540085
117,253023,2,0.949,0.18408525668084622
118,253023,2,0.951,0.17386329904198647
119,253023,2,0.942,0.19867788546532392
120,253023,2,0.942,0.1941111087873578
121,253023,2,0.947,0.18421398767828942
122,253023,2,0.947,0.18291957753896712
123,253023,2,0.952,0.19499544006586075
124,253023,2,0.951,0.17580644493922593
125,253023,2,0.951,0.19275329016149045
126,229323,2,0.949,0.19246062959730625
127,253023,2,0.939,0.20581931601464748
128,253023,2,0.945,0.17327656888216733
129,255783,2,0.952,0.17433293786644935
130,255783,2,0.944,0.21256568478047846
131,283715,2,0.945,0.20403189976513386
132,283715,2,0.951,0.17956015011668205
133,283715,2,0.954,0.1859914546981454
134,297710,2,0.945,0.2077415500730276
135,297710,2,0.95,0.1843980426341295
