Experiment 1 ,25_04_2020_07-02-30

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,10
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,26679,6,0.891,0.3890504684448242
1,27164,5,0.907,0.27388849020004274
2,28354,6,0.914,0.29873797959089277
3,32951,7,0.9,0.3238332380633801
4,31979,5,0.92,0.28004091829061506
5,36770,5,0.916,0.2892872901558876
6,35874,4,0.929,0.2615579746365547
7,33412,5,0.926,0.2532395488619804
8,45910,4,0.908,0.3279667517542839
9,54775,5,0.92,0.2930858279466629
10,40096,4,0.915,0.2685945429801941
11,40108,5,0.923,0.30157633644342424
12,109667,4,0.935,0.2412612555027008
13,114207,4,0.93,0.2798162559866905
14,108852,4,0.932,0.2452672514617443
15,107069,3,0.925,0.24701038083434104
16,124279,4,0.935,0.23256675830483436
17,124279,4,0.943,0.23511551097035407
18,120889,4,0.944,0.204984472990036
19,147005,3,0.941,0.21099853514134884
20,148049,3,0.946,0.1823210590481758
21,189187,3,0.939,0.20622530376911163
22,212975,3,0.941,0.2211608946919441
23,173771,3,0.944,0.19099877132475376
24,217511,3,0.939,0.21696056628227234
25,287111,3,0.949,0.19348429642617704
26,287111,3,0.947,0.18811600221693517
27,283896,2,0.948,0.19022835031151772
28,284297,2,0.945,0.2035050181001425
29,284297,2,0.937,0.21315270102024078
30,284297,2,0.948,0.1785852416753769
31,293439,2,0.942,0.20600177809596062
32,337585,2,0.941,0.20784531785547733
33,339105,2,0.952,0.17252738752961158
34,358401,2,0.948,0.20705386029183864
35,358401,2,0.946,0.19011168548464774
36,358401,2,0.954,0.1796886794194579
37,414710,2,0.951,0.18082959463447332
38,405915,2,0.955,0.1682953629642725
39,394008,2,0.953,0.16898047947883607
40,258420,2,0.951,0.19532359145581724
41,267200,2,0.954,0.17472380148619412
42,308328,2,0.945,0.1872671645656228
43,336475,2,0.946,0.20471681229770183
44,395835,2,0.948,0.17820232966542243
45,461749,2,0.95,0.18664565237611533
46,384915,2,0.951,0.17721348816901444
47,384915,2,0.948,0.1868402103483677
48,383820,2,0.955,0.18453138509392739
49,383820,2,0.947,0.18543541474640368
50,383820,2,0.947,0.2084206807166338
51,484893,2,0.953,0.1919924374744296
52,552936,2,0.948,0.18171279233694076
53,502647,2,0.947,0.19784753269702196
54,409435,1,0.943,0.18062070840597153
55,532679,3,0.952,0.21798003091663123
56,648757,3,0.942,0.2439701289832592
57,648757,3,0.941,0.25491806139051915
58,648757,3,0.946,0.2529382757805288
59,487361,3,0.94,0.26186013780906797
60,652653,3,0.947,0.27603848368674516
61,470157,2,0.942,0.21297298307716847
62,470650,1,0.946,0.17646507340669632
