Experiment 3 ,24_04_2020_03-52-17

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,10
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,38170,48,0.912,0.25557488882541657
1,46915,59,0.916,0.24667911994457245
2,46915,59,0.927,0.23158033287525176
3,46915,59,0.915,0.24309636235237123
4,58840,74,0.926,0.2504169178009033
5,70765,89,0.926,0.2289087153673172
6,58840,74,0.925,0.23861129808425904
7,74740,94,0.922,0.2598447436094284
8,56455,71,0.918,0.23404226732254027
9,64405,81,0.923,0.22960532569885253
10,68380,86,0.929,0.22672510480880737
11,80305,101,0.921,0.22182985043525696
12,87460,110,0.933,0.22141712117195128
13,100180,126,0.935,0.2219386488199234
14,109720,138,0.928,0.21953867197036744
15,99385,125,0.93,0.2134463895559311
16,93820,118,0.936,0.21228036177158355
17,124825,157,0.925,0.2155684061050415
18,118465,149,0.936,0.1972783539891243
19,142315,179,0.935,0.20852883630990982
20,152650,192,0.932,0.22287280821800232
21,180475,227,0.94,0.18505074214935302
22,201145,253,0.936,0.20209701651334763
23,242485,305,0.943,0.19334299123287202
24,258385,325,0.936,0.21061888176202775
25,292570,368,0.946,0.18774154931306838
26,302905,381,0.945,0.18018022617697715
27,352195,443,0.933,0.20811571815609933
28,418180,526,0.944,0.1943960430622101
29,495295,623,0.944,0.1884471044242382
30,574000,722,0.948,0.1802297061085701
31,740950,932,0.948,0.1800531785786152
32,851455,1071,0.94,0.19110526052117346
33,988990,1244,0.95,0.17725100445747374
34,876100,1102,0.948,0.178977615326643
35,876100,1102,0.947,0.18154493448138237
36,1103470,1388,0.948,0.17207027059793473
37,1047820,1318,0.948,0.18126116043329238
38,1309375,1647,0.949,0.17106422650814057
39,1008865,1269,0.948,0.17031388682127
40,1101085,1385,0.951,0.17524020378291608
41,853045,1073,0.947,0.1750511377453804
42,853045,1073,0.946,0.18612702578306198
43,1024765,1289,0.954,0.1765431882813573
44,1034305,1301,0.951,0.16888885158300398
45,1314145,1653,0.948,0.17721294839680196
46,1314145,1653,0.951,0.1799417466968298
47,1413520,1778,0.951,0.16783821266889573
48,1414315,1779,0.945,0.18337159398198127
49,1501765,1889,0.948,0.1775487436950207
50,1250545,1573,0.951,0.17917039202153684
51,1471555,1851,0.952,0.18170826705545187
52,1471555,1851,0.952,0.16133372699469328
53,1789555,2251,0.954,0.16159841794520616
54,2041570,2568,0.952,0.17815512250363827
55,2513005,3161,0.952,0.17453636199235917
56,2332540,2934,0.956,0.17142176081985236
57,2865985,3605,0.956,0.1716019846275449
58,2788870,3508,0.955,0.175016543969512
59,3280180,4126,0.953,0.17108300761133433
60,3077455,3871,0.954,0.1691661183461547
61,3931285,4945,0.955,0.18121227921545505
62,3801700,4782,0.951,0.19685631992667912
63,4322425,5437,0.95,0.18135310734808446
64,4445650,5592,0.951,0.18570219073072075
65,4750930,5976,0.952,0.18094545479118823
66,4750930,5976,0.956,0.1586444739550352
67,2505850,3152,0.952,0.16612664395570756
68,3246790,4084,0.953,0.17446249629557134
69,2505850,3152,0.952,0.17556719782203437
70,3008290,3784,0.955,0.16408087975159288
71,3576715,4499,0.953,0.16153872101008893
72,3104485,3905,0.951,0.1640856407433748
73,3212605,4041,0.952,0.18878043884038925
74,4157860,5230,0.952,0.17869564527273177
75,2226010,2800,0.955,0.1775209236368537
76,2226010,2800,0.949,0.1709780282974243
77,2458945,3093,0.952,0.16549698850512504
78,2754685,3465,0.957,0.16415010788664222
79,3338215,4199,0.952,0.17174771234393119
80,3077455,3871,0.951,0.1754376466423273
81,3077455,3871,0.951,0.17315012208744884
82,2862010,3600,0.952,0.17552192570269107
83,2948665,3709,0.95,0.1777312206029892
84,3702325,4657,0.951,0.18206828508526088
85,3166495,3983,0.958,0.1721088171005249
86,3166495,3983,0.947,0.17806556513160468
87,3319930,4176,0.954,0.1713423926718533
88,4092670,5148,0.952,0.1740481372848153
89,4434520,5578,0.953,0.16899005543440582
90,4618165,5809,0.954,0.16826061456650496
91,4618165,5809,0.951,0.16080713111907244
92,4812145,6053,0.954,0.18422811982035636
93,4812145,6053,0.965,0.14503310606256128
94,4584775,5767,0.953,0.17354059922322632
95,5332870,6708,0.955,0.17034278452023863
96,5410780,6806,0.952,0.17692629065737128
97,4497325,5657,0.955,0.17758410340547562
98,5710495,7183,0.958,0.16869775806739926
99,5710495,7183,0.956,0.17124711683019997
100,4948090,6224,0.95,0.17492679232731462
101,4948090,6224,0.952,0.17541129490733146
102,3820780,4806,0.952,0.17795865674316882
103,3593410,4520,0.949,0.17953704345598817
104,4069615,5119,0.954,0.1834628971144557
105,5035540,6334,0.956,0.17473433507233857
106,3971035,4995,0.947,0.21417877450585365
107,3971035,4995,0.95,0.16560832575708628
108,4260415,5359,0.953,0.1761759277060628
109,3319930,4176,0.951,0.17428922800719737
110,3541735,4455,0.95,0.17502977274730802
111,4087105,5141,0.957,0.17655643748119473
112,4087105,5141,0.953,0.16704293712973595
113,3548095,4463,0.944,0.22319735607737676
114,3958315,4979,0.951,0.17047143432870507
115,5143660,6470,0.953,0.1776641546189785
116,4145935,5215,0.958,0.16770088009536266
117,5147635,6475,0.96,0.17974334552884103
118,5147635,6475,0.952,0.18003676073253155
119,4661890,5864,0.94,0.23216240668296814
120,4870180,6126,0.951,0.17473221591114999
121,5146045,6473,0.956,0.18060678385943174
122,5146045,6473,0.955,0.17450570436567067
123,5885395,7403,0.953,0.23049672543257474
124,4721515,5939,0.958,0.1575353784635663
125,4913110,6180,0.954,0.15909947592392565
126,5948200,7482,0.933,0.30742997834831476
127,4913110,6180,0.95,0.17949891310185195
128,4476655,5631,0.952,0.17897011724859477
129,5216800,6562,0.959,0.17209856746345759
130,5055415,6359,0.958,0.16924625872448087
