name,generation,avg acc,avg los,avg par
Crossover_epochs5_population10,0,0.907333333,0.298446378,30502
Crossover_epochs5_population10,1,0.909,0.288988536,35793
Crossover_epochs5_population10,2,0.910666667,0.276405514,41818
Crossover_epochs5_population10,3,0.906666667,0.292168463,44958
Crossover_epochs5_population10,4,0.911,0.281974411,42355.66667
Crossover_epochs5_population10,5,0.912666667,0.280731652,45442
Crossover_epochs5_population10,6,0.908,0.27842773,52195.66667
Crossover_epochs5_population10,7,0.916333333,0.251437623,57118.33333
Crossover_epochs5_population10,8,0.916666667,0.25689605,57418.66667
Crossover_epochs5_population10,9,0.918,0.248083567,54528.33333
Crossover_epochs5_population10,10,0.919333333,0.255256763,57335.33333
Crossover_epochs5_population10,11,0.922,0.241487885,62387
Crossover_epochs5_population10,12,0.914666667,0.260139689,64474.33333
Crossover_epochs5_population10,13,0.920333333,0.254192616,74376
Crossover_epochs5_population10,14,0.922666667,0.247046596,70951.66667
Crossover_epochs5_population10,15,0.926666667,0.229927503,92754.66667
Crossover_epochs5_population10,16,0.921,0.239958405,87572
Crossover_epochs5_population10,17,0.918,0.242997638,93742
Crossover_epochs5_population10,18,0.912,0.257711839,97798
Crossover_epochs5_population10,19,0.925333333,0.217524997,89627.66667
Crossover_epochs5_population10,20,0.924,0.227983877,81703
Crossover_epochs5_population10,21,0.924333333,0.238921761,88349.66667
Crossover_epochs5_population10,22,0.922,0.228476583,94747
Crossover_epochs5_population10,23,0.927,0.227998664,101567
Crossover_epochs5_population10,24,0.915,0.278050671,94304.66667
Crossover_epochs5_population10,25,0.925333333,0.235328073,150721
Crossover_epochs5_population10,26,0.928,0.233806224,149537
Crossover_epochs5_population10,27,0.925333333,0.223269061,188866.6667
Crossover_epochs5_population10,28,0.926333333,0.242834634,152233
Crossover_epochs5_population10,29,0.928333333,0.229846512,155299
Crossover_epochs5_population10,30,0.931666667,0.206437798,171733.6667
Crossover_epochs5_population10,31,0.926,0.222286442,165071
Crossover_epochs5_population10,32,0.929333333,0.210910663,156248
Crossover_epochs5_population10,33,0.919333333,0.272293978,174563.3333
Crossover_epochs5_population10,34,0.925,0.226350377,187008.6667
Crossover_epochs5_population10,35,0.931333333,0.216603223,205666
Crossover_epochs5_population10,36,0.927666667,0.216740612,227525.6667
Crossover_epochs5_population10,37,0.936333333,0.201445295,286628.6667
Crossover_epochs5_population10,38,0.930666667,0.216696496,277353
Crossover_epochs5_population10,39,0.935,0.209077577,345725
Crossover_epochs5_population10,40,0.937333333,0.213152066,378022.6667
Crossover_epochs5_population10,41,0.937,0.198267362,369217.3333
Crossover_epochs5_population10,42,0.936333333,0.209326159,387910
Crossover_epochs5_population10,43,0.927666667,0.227463679,463380.6667
Crossover_epochs5_population10,44,0.937,0.201235615,535986
Crossover_epochs5_population10,45,0.933333333,0.194617198,549980.6667
Crossover_epochs5_population10,46,0.934666667,0.213778042,480830.3333
Crossover_epochs5_population10,47,0.935666667,0.190797964,480700.6667
Crossover_epochs5_population10,48,0.936,0.216823145,457740.6667
Crossover_epochs5_population10,49,0.937666667,0.210366139,559866
Crossover_epochs5_population10,50,0.934666667,0.207514501,526611.3333
Crossover_epochs5_population10,51,0.938333333,0.202183026,728770.3333
Crossover_epochs5_population10,52,0.941333333,0.200065325,791658.3333
Crossover_epochs5_population10,53,0.936666667,0.199514353,671154.6667
Crossover_epochs5_population10,54,0.933,0.228672026,772370.3333
Crossover_epochs5_population10,55,0.933,0.224220585,709582.3333
Crossover_epochs5_population10,56,0.935666667,0.203840317,856253.3333
Crossover_epochs5_population10,57,0.941,0.189087891,929441
Crossover_epochs5_population10,58,0.937,0.225996837,727418.3333
Crossover_epochs5_population10,59,0.934333333,0.213650493,1113573
Crossover_epochs5_population10,60,0.943333333,0.194113668,1044329.333
Crossover_epochs5_population10,61,0.947,0.188599233,1067935.333
Crossover_epochs5_population10,62,0.933666667,0.222743617,1139522.667
