name,generation,avg acc,avg los,avg par
Crossover_mutation_0.2,0,0.894666667,0.36194806,31943
Crossover_mutation_0.2,1,0.914333333,0.287732798,31943
Crossover_mutation_0.2,2,0.923,0.252518091,32751.66667
Crossover_mutation_0.2,3,0.918333333,0.277887882,36627.66667
Crossover_mutation_0.2,4,0.919333333,0.260627245,33057
Crossover_mutation_0.2,5,0.918333333,0.2699704,33057
Crossover_mutation_0.2,6,0.923,0.258489781,33789
Crossover_mutation_0.2,7,0.921666667,0.244961875,33382.33333
Crossover_mutation_0.2,8,0.922666667,0.24146903,35150
Crossover_mutation_0.2,9,0.921333333,0.268837232,34955.66667
Crossover_mutation_0.2,10,0.909333333,0.267650174,34587
Crossover_mutation_0.2,11,0.923666667,0.238716177,37552
Crossover_mutation_0.2,12,0.925,0.249602695,39318.33333
Crossover_mutation_0.2,13,0.913666667,0.278659034,34808.33333
Crossover_mutation_0.2,14,0.928666667,0.23589178,39675.33333
Crossover_mutation_0.2,15,0.927,0.250757009,40409
Crossover_mutation_0.2,16,0.923333333,0.259011601,39857.66667
Crossover_mutation_0.2,17,0.928666667,0.240322238,42829
Crossover_mutation_0.2,18,0.924333333,0.262553724,42561.66667
Crossover_mutation_0.2,19,0.927666667,0.246621556,46743
Crossover_mutation_0.2,20,0.922666667,0.267815485,47662.66667
Crossover_mutation_0.2,21,0.924,0.274463811,47235
Crossover_mutation_0.2,22,0.923333333,0.266407732,48325.66667
Crossover_mutation_0.2,23,0.923666667,0.257026539,52397
Crossover_mutation_0.2,24,0.924,0.258274754,50144.66667
Crossover_mutation_0.2,25,0.930666667,0.246112473,56859.33333
Crossover_mutation_0.2,26,0.929666667,0.261438198,54783.33333
Crossover_mutation_0.2,27,0.924,0.257704275,53072.66667
Crossover_mutation_0.2,28,0.930666667,0.226840016,56156
Crossover_mutation_0.2,29,0.928,0.259810268,61880.33333
Crossover_mutation_0.2,30,0.929333333,0.24988157,56300.33333
Crossover_mutation_0.2,31,0.930333333,0.253938365,55969.66667
Crossover_mutation_0.2,32,0.923333333,0.252068633,63410.33333
Crossover_mutation_0.2,33,0.933,0.248041889,63410.33333
Crossover_mutation_0.2,34,0.925333333,0.259889179,63410.33333
Crossover_mutation_0.2,35,0.936666667,0.238783001,64311.66667
Crossover_mutation_0.2,36,0.925,0.266925457,69883
Crossover_mutation_0.2,37,0.935666667,0.230460813,79191.33333
Crossover_mutation_0.2,38,0.930666667,0.229304491,87993.33333
Crossover_mutation_0.2,39,0.935,0.227304113,87819
Crossover_mutation_0.2,40,0.933,0.2458982,88495
Crossover_mutation_0.2,41,0.932,0.242510595,85489
Crossover_mutation_0.2,42,0.933666667,0.240187161,91005.33333
Crossover_mutation_0.2,43,0.935,0.228478159,90691
Crossover_mutation_0.2,44,0.933333333,0.242250673,92166.33333
Crossover_mutation_0.2,45,0.934,0.252498911,85122
Crossover_mutation_0.2,46,0.937333333,0.228377031,91692.33333
Crossover_mutation_0.2,47,0.941666667,0.221169962,93082.33333
Crossover_mutation_0.2,48,0.935333333,0.233676839,93149
Crossover_mutation_0.2,49,0.927666667,0.264034729,93149
Crossover_mutation_0.2,50,0.941333333,0.232220443,98781
Crossover_mutation_0.2,51,0.934,0.221270082,97707
Crossover_mutation_0.2,52,0.939,0.216936972,101545.3333
Crossover_mutation_0.2,53,0.933666667,0.247243446,109084.3333
Crossover_mutation_0.2,54,0.937666667,0.20799212,101444.3333
Crossover_mutation_0.2,55,0.933333333,0.22889102,109284.3333
Crossover_mutation_0.2,56,0.931,0.259450101,114983
Crossover_mutation_0.2,57,0.932,0.237828954,114689.6667
Crossover_mutation_0.2,58,0.933,0.24349813,114926.3333
Crossover_mutation_0.2,59,0.940333333,0.217449945,122024.6667
Crossover_mutation_0.2,60,0.937666667,0.218905375,130103.6667
Crossover_mutation_0.2,61,0.933333333,0.238086946,131156.6667
Crossover_mutation_0.2,62,0.936333333,0.221402444,127210.6667
Crossover_mutation_0.2,63,0.942333333,0.210826365,150934
Crossover_mutation_0.2,64,0.943666667,0.208947269,151924.3333
Crossover_mutation_0.2,65,0.936,0.221361405,150857
Crossover_mutation_0.2,66,0.938666667,0.211447477,138336.6667
Crossover_mutation_0.2,67,0.94,0.215652372,152011
Crossover_mutation_0.2,68,0.933666667,0.237264253,163416.3333
Crossover_mutation_0.2,69,0.94,0.219085574,165521.3333
Crossover_mutation_0.2,70,0.946,0.211130984,175111.6667
Crossover_mutation_0.2,71,0.941333333,0.210966297,174402.3333
Crossover_mutation_0.2,72,0.94,0.225420641,174402.3333
Crossover_mutation_0.2,73,0.936,0.23730709,174575.6667
Crossover_mutation_0.2,74,0.936333333,0.240053923,181171.6667
Crossover_mutation_0.2,75,0.941333333,0.213367641,177561
Crossover_mutation_0.2,76,0.94,0.210663753,177771.6667
Crossover_mutation_0.2,77,0.943666667,0.212548003,174575.6667
Crossover_mutation_0.2,78,0.945,0.209135865,174575.6667
Crossover_mutation_0.2,79,0.944666667,0.214150894,180310
Crossover_mutation_0.2,80,0.940333333,0.218827759,187605.3333
Crossover_mutation_0.2,81,0.942,0.197230922,187605.3333
Crossover_mutation_0.2,82,0.941333333,0.207087349,194388.3333
Crossover_mutation_0.2,83,0.942333333,0.208034454,200196.3333
Crossover_mutation_0.2,84,0.943,0.202190646,200196.3333
Crossover_mutation_0.2,85,0.938,0.232231076,192034
Crossover_mutation_0.2,86,0.942,0.213284896,192034
Crossover_mutation_0.2,87,0.943,0.217857419,193596
Crossover_mutation_0.2,88,0.949,0.197066293,193596
Crossover_mutation_0.2,89,0.941666667,0.203151128,193596
Crossover_mutation_0.2,90,0.946666667,0.18657455,193596
Crossover_mutation_0.2,91,0.941333333,0.219223094,193694.6667
Crossover_mutation_0.2,92,0.944,0.203569463,196766.6667
Crossover_mutation_0.2,93,0.946,0.194132094,226252.3333
Crossover_mutation_0.2,94,0.946333333,0.2008293,241334.3333
Crossover_mutation_0.2,95,0.947333333,0.198813879,239090.3333
Crossover_mutation_0.2,96,0.949333333,0.196303733,242004.3333
Crossover_mutation_0.2,97,0.946,0.196308837,243494
Crossover_mutation_0.2,98,0.948666667,0.198489776,227478
Crossover_mutation_0.2,99,0.941666667,0.208729087,227788.3333
Crossover_mutation_0.2,100,0.945,0.19826717,227478
Crossover_mutation_0.2,101,0.94,0.207700948,234615.6667
Crossover_mutation_0.2,102,0.942333333,0.203147356,250696
Crossover_mutation_0.2,103,0.946,0.198155714,251423
Crossover_mutation_0.2,104,0.947666667,0.190852252,248637.3333
Crossover_mutation_0.2,105,0.946,0.195669392,264587.3333
Crossover_mutation_0.2,106,0.942666667,0.195983018,274716.6667
Crossover_mutation_0.2,107,0.947333333,0.190420525,267164.3333
Crossover_mutation_0.2,108,0.947,0.184551323,267164.3333
Crossover_mutation_0.2,109,0.954,0.175806376,280166.3333
Crossover_mutation_0.2,110,0.945666667,0.192194037,280166.3333
Crossover_mutation_0.2,111,0.945666667,0.193257387,275742.3333
Crossover_mutation_0.2,112,0.952,0.182994471,275742.3333
Crossover_mutation_0.2,113,0.945666667,0.185885021,275942
Crossover_mutation_0.2,114,0.946333333,0.184198183,278834.3333
Crossover_mutation_0.2,115,0.949,0.195863234,277775.6667
Crossover_mutation_0.2,116,0.945,0.197787355,275330.3333
Crossover_mutation_0.2,117,0.946666667,0.183419493,276801
Crossover_mutation_0.2,118,0.950666667,0.181299463,305549.6667
Crossover_mutation_0.2,119,0.945,0.188967401,305549.6667
Crossover_mutation_0.2,120,0.946,0.193299301,306179.6667
Crossover_mutation_0.2,121,0.948,0.185942597,307575
Crossover_mutation_0.2,122,0.947333333,0.186977763,305549.6667
