Experiment 3 ,23_03_2020_06-57-14

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.elu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,33400,42,0.889,0.3422779140472412
1,39760,50,0.897,0.3467492280006409
2,28630,36,0.896,0.3295670566558838
3,43735,55,0.899,0.2997038950920105
4,37375,47,0.895,0.3373872010707855
5,38170,48,0.903,0.31223060250282286
6,48505,61,0.899,0.32433129358291624
7,47710,60,0.893,0.32695197010040283
8,41350,52,0.894,0.3233011245727539
9,31810,40,0.899,0.3181053168773651
10,50095,63,0.896,0.32411373424530027
11,50095,63,0.901,0.31835186648368835
12,45325,57,0.906,0.31080524301528933
13,61225,77,0.898,0.3087871000766754
14,73945,93,0.897,0.31613102889060973
15,73945,93,0.888,0.3418186922073364
16,49300,62,0.903,0.3192109069824219
17,39760,50,0.901,0.32939235925674437
18,45325,57,0.891,0.3390312013626099
19,58045,73,0.889,0.345277560710907
20,45325,57,0.897,0.32673668646812437
21,45325,57,0.896,0.33207839012145995
22,56455,71,0.903,0.3168700313568115
23,67585,85,0.905,0.31995450925827024
24,47710,60,0.904,0.3182935061454773
25,80305,101,0.903,0.31699632430076596
26,75535,95,0.904,0.315290548324585
27,76330,96,0.893,0.3234243364334106
28,47710,60,0.896,0.34494510650634763
29,53275,67,0.902,0.31841417694091795
30,39760,50,0.893,0.3217025213241577
31,48505,61,0.902,0.3138709111213684
32,48505,61,0.906,0.30993344688415525
33,50890,64,0.906,0.31756313705444333
34,65200,82,0.901,0.3241739585399628
35,73945,93,0.897,0.3268410577774048
36,89845,113,0.905,0.294703693151474
37,78715,99,0.893,0.3025180869102478
38,83485,105,0.892,0.31636556673049926
39,83485,105,0.902,0.33213655233383177
40,83485,105,0.906,0.3057796754837036
41,19885,25,0.898,0.34170912837982176
42,17500,22,0.889,0.34057502150535585
43,23065,29,0.899,0.34144423151016234
44,25450,32,0.897,0.33667844414711
45,19090,24,0.891,0.34809500646591185
46,22270,28,0.894,0.34258872365951537
47,19090,24,0.898,0.33584382009506225
48,23065,29,0.9,0.3267729251384735
49,23860,30,0.887,0.35017140769958494
50,23860,30,0.894,0.33287806034088135
51,30220,38,0.897,0.344413405418396
52,35785,45,0.912,0.3152017631530762
53,36580,46,0.894,0.3292255358695984
54,36580,46,0.889,0.3268906404972076
55,12730,16,0.893,0.3523860583305359
56,15115,19,0.897,0.3524471583366394
57,15115,19,0.894,0.3560162425041199
58,17500,22,0.879,0.3585997176170349
59,18295,23,0.9,0.33123581981658934
60,16705,21,0.885,0.37567606687545774
61,11935,15,0.886,0.36415901851654053
62,13525,17,0.883,0.3635342860221863
63,14320,18,0.878,0.36685585260391235
64,12730,16,0.893,0.36367538118362425
65,12730,16,0.894,0.3625471034049988
66,10345,13,0.886,0.37038306713104246
67,10345,13,0.881,0.37059347105026247
68,11935,15,0.883,0.3701039872169495
69,9550,12,0.884,0.3550350136756897
70,12730,16,0.89,0.3622397222518921
71,12730,16,0.888,0.35541915130615237
72,10345,13,0.895,0.36569339990615846
73,11140,14,0.891,0.34734568929672244
74,11935,15,0.893,0.3695527539253235
75,15115,19,0.889,0.3586725788116455
76,11140,14,0.886,0.3578247365951538
77,11140,14,0.891,0.3912802333831787
78,13525,17,0.888,0.34691075563430784
79,14320,18,0.886,0.36081953048706056
80,18295,23,0.892,0.3499351153373718
81,15910,20,0.893,0.346945451259613
82,19090,24,0.887,0.3361621770858765
83,19885,25,0.89,0.3454065046310425
84,25450,32,0.898,0.3360112037658691
85,23860,30,0.895,0.32472608661651614
86,27040,34,0.899,0.33546464252471925
87,14320,18,0.884,0.3711194934844971
88,17500,22,0.896,0.3287304792404175
89,18295,23,0.894,0.35145911169052124
90,12730,16,0.884,0.3708147802352905
91,12730,16,0.884,0.36102828311920165
92,10345,13,0.888,0.37973211336135865
93,10345,13,0.88,0.3805271577835083
94,9550,12,0.875,0.38851686573028565
95,11140,14,0.886,0.3872710709571838
96,11935,15,0.894,0.36844070672988893
97,8755,11,0.875,0.39420030641555787
98,11140,14,0.896,0.3707960906028748
99,11140,14,0.887,0.3787872290611267
100,14320,18,0.894,0.371855206489563
101,9550,12,0.887,0.37203085708618167
102,10345,13,0.89,0.36257381200790406
103,9550,12,0.887,0.3656300621032715
104,15115,19,0.883,0.36393380546569826
105,12730,16,0.895,0.35044998812675476
106,15910,20,0.891,0.351939031124115
107,14320,18,0.892,0.35661812591552733
108,17500,22,0.895,0.354201828956604
109,13525,17,0.891,0.3605135555267334
110,13525,17,0.889,0.3571186685562134
111,12730,16,0.882,0.3800205135345459
112,6370,8,0.87,0.42330954551696776
113,6370,8,0.856,0.46211665630340576
114,7165,9,0.882,0.4004258852005005
115,7960,10,0.88,0.41957835149765016
116,7960,10,0.882,0.3952990460395813
117,8755,11,0.879,0.3971055006980896
118,8755,11,0.873,0.38957360696792603
119,10345,13,0.889,0.3592801332473755
120,12730,16,0.883,0.3606708464622498
121,11935,15,0.881,0.3729114465713501
122,9550,12,0.883,0.38612302112579344
123,10345,13,0.89,0.36409765672683714
124,11935,15,0.886,0.3598244853019714
125,14320,18,0.892,0.36525251960754396
126,11935,15,0.892,0.37285368728637697
127,14320,18,0.892,0.37113013982772824
128,12730,16,0.895,0.3553304152488708
129,14320,18,0.887,0.3656896605491638
130,13525,17,0.893,0.355111732006073
131,16705,21,0.889,0.3493575758934021
132,20680,26,0.9,0.32921376872062685
133,20680,26,0.891,0.3425697479248047
134,15910,20,0.894,0.34826025676727296
135,16705,21,0.891,0.34575227117538454
136,19090,24,0.896,0.3409906411170959
137,22270,28,0.891,0.3370196499824524
138,27835,35,0.895,0.33011071252822877
139,27835,35,0.889,0.34614891290664673
140,26245,33,0.901,0.33266825580596926
141,22270,28,0.897,0.3286477828025818
142,30220,38,0.903,0.3411690716743469
143,23860,30,0.894,0.3507101788520813
144,44530,56,0.893,0.34114264917373655
145,41350,52,0.903,0.318886360168457
146,38965,49,0.898,0.32966220569610594
147,22270,28,0.893,0.3494141869544983
148,19885,25,0.883,0.34892328119277954
149,20680,26,0.894,0.3394957799911499
150,17500,22,0.901,0.3438937811851501
151,17500,22,0.895,0.3509225883483887
152,15115,19,0.892,0.3518958005905151
153,19090,24,0.896,0.34682236528396604
154,21475,27,0.892,0.3446986165046692
155,13525,17,0.897,0.3364231972694397
156,21475,27,0.894,0.3461012401580811
157,15115,19,0.89,0.35599833440780637
158,22270,28,0.896,0.34845451259613036
159,26245,33,0.903,0.32438306736946104
160,27040,34,0.89,0.3297277555465698
161,25450,32,0.897,0.3226711039543152
162,25450,32,0.889,0.3417520432472229
163,28630,36,0.9,0.32889303922653196
164,25450,32,0.896,0.3288407869338989
165,23860,30,0.894,0.3408150429725647
166,21475,27,0.887,0.35582552909851073
167,17500,22,0.888,0.35225863218307496
168,17500,22,0.892,0.3551635456085205
169,17500,22,0.896,0.3491539039611816
170,10345,13,0.885,0.389713858127594
171,11935,15,0.885,0.3661607217788696
172,14320,18,0.888,0.3540068850517273
173,16705,21,0.886,0.3709626750946045
174,8755,11,0.883,0.3953586375713348
175,9550,12,0.89,0.3665681381225586
176,10345,13,0.883,0.3802088770866394
177,10345,13,0.882,0.367669939994812
178,8755,11,0.878,0.39774430203437805
