Experiment 3 ,21_03_2020_08-40-58

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,35785,45,0.909,0.2857385234832764
1,38965,49,0.915,0.28046449613571167
2,38965,49,0.906,0.3163884332180023
3,42940,54,0.902,0.29273562240600587
4,38965,49,0.909,0.29293093538284304
5,37375,47,0.902,0.3000617027282715
6,30220,38,0.906,0.29377268147468566
7,32605,41,0.897,0.3196816329956055
8,34990,44,0.912,0.3039096279144287
9,19885,25,0.898,0.3328700177669525
10,23860,30,0.91,0.30911042356491086
11,14320,18,0.895,0.3428644666671753
12,17500,22,0.896,0.34065177011489867
13,22270,28,0.9,0.33441378593444826
14,17500,22,0.892,0.36547503638267514
15,21475,27,0.91,0.3209715070724487
16,15115,19,0.9,0.348326105594635
17,19090,24,0.897,0.3216706976890564
18,15910,20,0.887,0.3452443490028381
19,19885,25,0.893,0.3353194327354431
20,11140,14,0.893,0.3665654625892639
21,7165,9,0.872,0.42202618646621703
22,7960,10,0.872,0.43906966781616213
23,8755,11,0.882,0.40182014036178587
24,7165,9,0.868,0.41596637392044067
25,7960,10,0.858,0.4256338319778442
26,7960,10,0.877,0.41357634258270265
27,8755,11,0.865,0.4136401925086975
28,7165,9,0.869,0.4584161820411682
29,7165,9,0.858,0.44762894773483275
30,6370,8,0.859,0.4888118629455566
31,6370,8,0.875,0.4533800058364868
32,5575,7,0.851,0.5239157218933106
33,6370,8,0.856,0.4950931644439697
34,7960,10,0.883,0.3963397831916809
35,7960,10,0.88,0.385928729057312
36,10345,13,0.887,0.38701404476165774
37,11140,14,0.886,0.3758926148414612
38,12730,16,0.886,0.35789831352233886
39,11935,15,0.897,0.3593221082687378
40,11935,15,0.882,0.37335738849639893
41,11935,15,0.891,0.3592042741775513
42,11935,15,0.886,0.36315318393707274
43,14320,18,0.892,0.3605515570640564
44,13525,17,0.892,0.36439615535736086
45,15910,20,0.899,0.34434658336639407
46,15910,20,0.895,0.33813102793693545
47,13525,17,0.895,0.3403828792572022
48,10345,13,0.879,0.3876305875778198
49,10345,13,0.873,0.3841721305847168
50,9550,12,0.885,0.3702209496498108
51,10345,13,0.886,0.3696850538253784
52,11140,14,0.897,0.35606061840057374
53,11935,15,0.885,0.3914229073524475
54,15910,20,0.89,0.3409933729171753
55,15910,20,0.889,0.355490638256073
56,3985,5,0.789,0.7458351936340332
57,3985,5,0.73,0.8211298122406006
58,3985,5,0.789,0.7306390848159791
59,3190,4,0.709,0.8846293048858642
60,2395,3,0.611,1.1450550785064697
61,2395,3,0.636,1.1507207527160646
62,1600,2,0.478,1.5823533754348755
63,1600,2,0.486,1.4999119625091553
64,1600,2,0.482,1.4813804512023925
65,1600,2,0.463,1.5403795900344848
66,1600,2,0.482,1.614383053779602
67,1600,2,0.466,1.618566801071167
68,1600,2,0.485,1.5724048862457276
69,1600,2,0.454,1.6364868230819702
