Experiment 1 ,22_03_2020_07-13-47

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,36580,46,0.911,0.30384109663963316
1,25450,32,0.892,0.32572068452835085
2,16705,21,0.896,0.34175509548187255
3,13525,17,0.885,0.3713519606590271
4,15115,19,0.906,0.3300587077140808
5,17500,22,0.893,0.33881977128982543
6,13525,17,0.896,0.3543469219207764
7,15115,19,0.89,0.3709468455314636
8,13525,17,0.892,0.35879103183746336
9,13525,17,0.889,0.34595001649856566
10,12730,16,0.886,0.3861208777427673
11,7165,9,0.875,0.41172223615646364
12,8755,11,0.886,0.3828816242218018
13,9550,12,0.876,0.40085797929763795
14,11935,15,0.889,0.37357094621658327
15,12730,16,0.899,0.3604113130569458
16,12730,16,0.899,0.3463169469833374
17,11140,14,0.877,0.38973624277114866
18,11140,14,0.891,0.3687502474784851
19,11935,15,0.892,0.3644251961708069
20,12730,16,0.893,0.361704662322998
21,17500,22,0.893,0.32893071365356447
22,18295,23,0.904,0.32640345478057864
23,21475,27,0.902,0.3286627821922302
24,24655,31,0.91,0.28841859436035155
25,30220,38,0.908,0.30994810128211975
26,30220,38,0.9,0.30812043404579165
27,37375,47,0.908,0.2974848642349243
28,31810,40,0.901,0.3002892346382141
29,31015,39,0.904,0.29316848230361936
30,27835,35,0.908,0.30965908098220823
31,31015,39,0.897,0.31353551864624024
32,38170,48,0.902,0.3028705711364746
33,37375,47,0.905,0.2863676228523254
34,33400,42,0.908,0.2927997131347656
35,37375,47,0.891,0.30984237003326415
36,37375,47,0.894,0.31844203495979306
37,30220,38,0.904,0.3008310153484344
38,27040,34,0.905,0.31068948125839235
39,34195,43,0.911,0.2968128807544708
40,34990,44,0.908,0.30900174140930176
41,35785,45,0.9,0.312803781747818
42,39760,50,0.908,0.2920867395401001
43,39760,50,0.911,0.2895706148147583
44,37375,47,0.903,0.30002011013031005
45,46915,59,0.912,0.28072060823440553
46,46915,59,0.913,0.27648971128463745
47,38170,48,0.909,0.29038230419158934
48,42940,54,0.902,0.2930019166469574
49,33400,42,0.907,0.2939888164997101
50,56455,71,0.911,0.2718137981891632
51,41350,52,0.915,0.28710852026939393
52,45325,57,0.909,0.2920357503890991
53,58045,73,0.917,0.25339370608329775
54,44530,56,0.907,0.29066303634643553
55,45325,57,0.901,0.29494939470291137
56,65995,83,0.911,0.27973792600631714
57,69970,88,0.918,0.26307919836044313
58,69970,88,0.912,0.25709422850608826
59,98590,124,0.914,0.25408393049240113
60,89050,112,0.919,0.2460774314403534
61,82690,104,0.918,0.25157665491104125
62,75535,95,0.918,0.25420091247558596
63,87460,110,0.912,0.26635587430000307
64,73945,93,0.914,0.25781583619117737
65,81100,102,0.92,0.24981659388542174
