Experiment 3 ,23_03_2020_03-57-12

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,36580,46,0.902,0.30205557751655576
1,38965,49,0.906,0.30778109121322633
2,44530,56,0.913,0.279193368434906
3,38170,48,0.899,0.32208413124084473
4,44530,56,0.908,0.30776628088951113
5,52480,66,0.914,0.28030317640304564
6,12730,16,0.881,0.37530544424057005
7,13525,17,0.888,0.35982733440399167
8,19885,25,0.9,0.3125140902996063
9,17500,22,0.901,0.34064961862564086
10,14320,18,0.892,0.35028189754486083
11,15115,19,0.897,0.34095661115646364
12,19885,25,0.898,0.3285186984539032
13,23065,29,0.906,0.3068193414211273
14,27835,35,0.903,0.30318368554115294
15,31810,40,0.912,0.302585862159729
16,40555,51,0.897,0.309928936958313
17,23065,29,0.895,0.3311382002830505
18,27040,34,0.896,0.3150978269577026
19,23860,30,0.904,0.31660697603225707
20,27040,34,0.9,0.31109755277633666
21,31015,39,0.893,0.3143716115951538
22,31015,39,0.908,0.299351273059845
23,38170,48,0.911,0.2843765196800232
24,33400,42,0.907,0.2932997748851776
25,28630,36,0.904,0.3082164614200592
26,31810,40,0.909,0.30062865233421326
27,27835,35,0.903,0.3104696819782257
28,32605,41,0.91,0.29725436902046204
29,31810,40,0.902,0.331928619146347
30,35785,45,0.905,0.29483632612228394
31,46120,58,0.918,0.2691179051399231
32,46120,58,0.909,0.28888310432434083
33,46120,58,0.904,0.28746653175354003
34,65200,82,0.914,0.24920837593078612
35,65200,82,0.917,0.2601647872924805
36,74740,94,0.906,0.281825455904007
37,81895,103,0.912,0.26123068428039553
38,89845,113,0.919,0.2534871348142624
39,100975,127,0.925,0.22824021649360657
40,128800,162,0.918,0.24157506740093232
41,134365,169,0.914,0.2642086298465729
42,131980,166,0.921,0.23619521641731261
43,131980,166,0.926,0.23655520915985107
44,134365,169,0.926,0.2369310485124588
45,72355,91,0.91,0.2701332378387451
46,58840,74,0.91,0.27548856067657473
47,61225,77,0.915,0.2562337236404419
48,62815,79,0.921,0.2516889519691467
49,76330,96,0.921,0.2686317150592804
50,89845,113,0.91,0.2749760537147522
51,93025,117,0.912,0.2620768451690674
52,94615,119,0.919,0.2549709368944168
53,74740,94,0.912,0.2577522919178009
54,71560,90,0.924,0.24090246212482452
55,96205,121,0.916,0.2574772641658783
56,90640,114,0.922,0.2506843423843384
57,83485,105,0.923,0.23219011116027832
58,80305,101,0.913,0.2752047410011291
59,83485,105,0.92,0.25555541014671324
60,82690,104,0.909,0.2631478509902954
61,103360,130,0.924,0.2412881965637207
62,120850,152,0.922,0.23252793192863463
63,42145,53,0.902,0.3008290905952454
64,42940,54,0.906,0.29399296283721926
65,46915,59,0.916,0.28517106556892396
66,48505,61,0.906,0.3166226143836975
67,34195,43,0.915,0.2793415231704712
68,50095,63,0.908,0.2877398762702942
69,55660,70,0.916,0.26952673816680905
70,63610,80,0.921,0.2564082820415497
71,63610,80,0.913,0.2752752583026886
72,63610,80,0.916,0.2561439905166626
73,58045,73,0.914,0.2659887297153473
74,75535,95,0.914,0.26183166408538816
75,30220,38,0.905,0.30269802927970885
76,31015,39,0.905,0.30802202606201173
77,31015,39,0.901,0.30579676127433775
78,33400,42,0.907,0.2916668815612793
79,42940,54,0.906,0.3021528837680817
80,42940,54,0.909,0.29404524207115174
81,38170,48,0.908,0.27932529735565187
82,35785,45,0.907,0.2924612941741943
83,38170,48,0.907,0.2890486888885498
84,45325,57,0.91,0.2914461197853088
85,39760,50,0.915,0.29050824332237246
86,50890,64,0.911,0.2838394966125488
87,47710,60,0.913,0.27487313890457155
88,42145,53,0.917,0.2713209710121155
89,32605,41,0.913,0.29067345809936523
90,34990,44,0.911,0.2833747110366821
91,37375,47,0.906,0.2924223165512085
92,41350,52,0.905,0.27842182660102843
93,50890,64,0.908,0.282897914648056
94,65995,83,0.918,0.2603748686313629
95,65995,83,0.92,0.2580295643806457
96,65995,83,0.91,0.2738165345191956
97,64405,81,0.912,0.28824869632720945
98,49300,62,0.915,0.2747484939098358
99,39760,50,0.909,0.29067070317268373
100,39760,50,0.914,0.2708009204864502
101,50890,64,0.908,0.28843069696426393
102,41350,52,0.903,0.30203444123268125
103,58045,73,0.914,0.2728140306472778
104,58045,73,0.91,0.30157526063919066
105,68380,86,0.912,0.27275745677948
106,85870,108,0.918,0.2490379602909088
107,108130,136,0.914,0.25363668918609616
108,108130,136,0.919,0.2501950082778931
109,130390,164,0.923,0.23444637060165405
110,39760,50,0.892,0.3079515433311462
111,46915,59,0.904,0.2876651041507721
112,47710,60,0.906,0.29260673117637637
113,43735,55,0.905,0.27804136848449706
114,50095,63,0.903,0.29518164134025576
115,63610,80,0.916,0.26382494807243345
116,63610,80,0.913,0.26691703367233277
117,67585,85,0.916,0.2584883091449738
118,72355,91,0.914,0.26682979488372804
119,73945,93,0.919,0.24779355370998382
120,93820,118,0.918,0.24175340938568116
121,76330,96,0.912,0.2651127257347107
122,93820,118,0.927,0.2415881175994873
123,80305,101,0.916,0.25574722909927367
124,107335,135,0.924,0.22853923535346984
125,86665,109,0.922,0.24787485671043397
126,120850,152,0.921,0.2434435818195343
127,104950,132,0.926,0.2370501788854599
128,124825,157,0.928,0.2292711992263794
129,154240,194,0.917,0.23714704346656798
130,186040,234,0.925,0.21908128249645234
131,107335,135,0.917,0.2408829164505005
132,112105,141,0.924,0.2507394890785217
133,113695,143,0.919,0.24415567755699158
134,143905,181,0.927,0.21996662878990172
135,161395,203,0.924,0.22428327798843384
136,199555,251,0.926,0.2272810957431793
137,243280,306,0.926,0.22812834632396697
138,277465,349,0.929,0.20100341022014617
139,305290,384,0.928,0.2135506385564804
140,270310,340,0.932,0.21696465063095094
141,331525,417,0.93,0.22109157860279083
142,247255,311,0.934,0.20778846406936646
143,190810,240,0.925,0.21857457149028778
144,229765,289,0.931,0.20771874237060547
145,248845,313,0.932,0.2206039686203003
146,314035,395,0.937,0.20594684994220733
147,271900,342,0.931,0.21250340938568116
148,330730,416,0.928,0.20674914813041687
149,306085,385,0.926,0.21837256240844727
150,229765,289,0.932,0.20975361895561218
151,298135,375,0.918,0.22322460812330247
152,360145,453,0.939,0.19258177518844605
153,242485,305,0.935,0.21230090022087098
154,267130,336,0.936,0.20813872265815736
155,270310,340,0.931,0.21249941158294677
156,327550,412,0.93,0.20245005798339843
157,352195,443,0.93,0.20502458310127258
158,332320,418,0.932,0.2041300458908081
159,415795,523,0.931,0.21121397519111634
160,407845,513,0.934,0.19107239496707917
161,361735,455,0.939,0.2109313941001892
162,276670,348,0.928,0.19532031679153442
163,276670,348,0.935,0.21574540793895722
164,273490,344,0.926,0.21807240343093873
165,232945,293,0.925,0.23121002650260924
166,271105,341,0.923,0.21944046878814696
167,271105,341,0.934,0.1985756559371948
168,298135,375,0.934,0.23080480366945266
169,332320,418,0.934,0.2090818065404892
170,384790,484,0.928,0.21214486575126648
171,243280,306,0.932,0.2164290713071823
172,199555,251,0.929,0.21371692001819612
173,272695,343,0.924,0.22454838013648987
174,324370,408,0.924,0.20857956111431122
175,416590,524,0.931,0.22258139419555664
176,461905,581,0.932,0.20905469131469726
177,453160,570,0.932,0.19409499740600586
178,301315,379,0.929,0.20084168684482576
