Experiment 2 ,02_04_2020_00-06-47

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.elu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,36580,46,0.899,0.33319108963012695
1,38170,48,0.908,0.31788211393356325
2,38170,48,0.911,0.305554904460907
3,44530,56,0.895,0.3235205669403076
4,51685,65,0.899,0.3339821298122406
5,59635,75,0.895,0.3230131380558014
6,59635,75,0.906,0.3138270826339722
7,34990,44,0.89,0.33130253648757935
8,28630,36,0.893,0.33341452503204344
9,41350,52,0.897,0.330592524766922
10,20680,26,0.896,0.3425617425441742
11,27835,35,0.898,0.33233180141448976
12,31015,39,0.907,0.3316088273525238
13,23065,29,0.895,0.3304878783226013
14,27040,34,0.89,0.3497397861480713
15,20680,26,0.893,0.33937456941604616
16,17500,22,0.891,0.3335243573188782
17,22270,28,0.893,0.3361562461853027
18,25450,32,0.893,0.33368543863296507
19,23065,29,0.9,0.3399623746871948
20,23065,29,0.895,0.3390563273429871
21,30220,38,0.901,0.3294079747200012
22,36580,46,0.899,0.34419348049163817
23,26245,33,0.896,0.3310990469455719
24,31810,40,0.895,0.33656045436859133
25,27040,34,0.898,0.3230792622566223
26,31810,40,0.894,0.34146030616760253
27,35785,45,0.9,0.3179845297336578
28,23860,30,0.895,0.3398926858901978
29,28630,36,0.897,0.33465770244598386
30,29425,37,0.903,0.3243330972194672
31,35785,45,0.903,0.32387859749794007
32,38170,48,0.903,0.3114557662010193
33,46915,59,0.887,0.344527352809906
34,32605,41,0.905,0.31082937240600583
35,37375,47,0.891,0.3451002790927887
36,42940,54,0.908,0.30880050086975097
37,18295,23,0.893,0.3511249098777771
38,22270,28,0.894,0.3362297224998474
39,20680,26,0.902,0.3384519925117493
40,19885,25,0.893,0.3452908396720886
41,19090,24,0.893,0.32807298851013184
42,24655,31,0.895,0.33199624824523927
43,30220,38,0.885,0.3477697308063507
44,28630,36,0.898,0.34159399938583374
45,28630,36,0.902,0.3361730265617371
46,34990,44,0.897,0.32240781450271605
47,32605,41,0.902,0.32019487690925597
48,32605,41,0.892,0.33217114305496215
49,30220,38,0.883,0.3533240954875946
50,27835,35,0.89,0.3429379096031189
51,15910,20,0.89,0.35388564443588255
52,21475,27,0.894,0.3258401198387146
53,19090,24,0.897,0.3492243657112122
54,20680,26,0.888,0.356293306350708
55,25450,32,0.906,0.3200523488521576
56,26245,33,0.897,0.3321998162269592
57,32605,41,0.903,0.31995496034622195
58,34195,43,0.894,0.3381945383548737
59,33400,42,0.9,0.3256682105064392
60,34990,44,0.897,0.3300592186450958
61,42145,53,0.893,0.33284299421310426
62,47710,60,0.904,0.31258710551261903
63,45325,57,0.901,0.31579326701164245
64,39760,50,0.894,0.3359290516376495
65,39760,50,0.908,0.3198877930641174
66,42145,53,0.892,0.326463196516037
67,50095,63,0.894,0.3347926514148712
68,50095,63,0.906,0.31295318365097047
69,59635,75,0.897,0.31114812541007997
70,68380,86,0.901,0.30948971438407896
71,54865,69,0.9,0.33451658034324644
72,60430,76,0.896,0.3158996124267578
73,73945,93,0.9,0.3272225534915924
74,68380,86,0.898,0.3130069119930267
