Experiment 3 ,30_03_2020_01-12-52

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,39760,50,0.909,0.28602313542366026
1,45325,57,0.915,0.2830735378265381
2,31015,39,0.901,0.30359930753707887
3,44530,56,0.914,0.2783836758136749
4,54070,68,0.908,0.29281336832046506
5,61225,77,0.916,0.2660269787311554
6,67585,85,0.91,0.2621251633167267
7,81100,102,0.915,0.2555643262863159
8,58840,74,0.907,0.2778729386329651
9,67585,85,0.91,0.26824895191192627
10,69970,88,0.916,0.26418063187599183
11,64405,81,0.911,0.256756046295166
12,58840,74,0.915,0.25880554151535035
13,51685,65,0.916,0.2695103509426117
14,78715,99,0.919,0.25019297885894776
15,68380,86,0.913,0.2686269677877426
16,62020,78,0.917,0.2604561495780945
17,69175,87,0.916,0.2608005118370056
18,66790,84,0.91,0.2711044909954071
19,80305,101,0.926,0.24628053426742555
20,89845,113,0.922,0.2365991382598877
21,54865,69,0.913,0.2724808175563812
22,66790,84,0.915,0.257656316280365
23,74740,94,0.915,0.26822848320007325
24,92230,116,0.913,0.25941130924224853
25,62815,79,0.911,0.27206828236579894
26,65200,82,0.919,0.25170972490310667
27,84280,106,0.915,0.25591358041763307
28,66790,84,0.915,0.25816653347015384
29,63610,80,0.918,0.2554279428720474
30,54865,69,0.916,0.27172720241546633
31,65995,83,0.917,0.2526335260868072
32,50890,64,0.907,0.2866714017391205
33,41350,52,0.9,0.3044210629463196
34,30220,38,0.904,0.2958889319896698
35,41350,52,0.912,0.2990543303489685
36,42940,54,0.903,0.30605646800994873
37,38170,48,0.909,0.3054291899204254
38,38170,48,0.889,0.30083584833145144
39,21475,27,0.914,0.3062347321510315
40,21475,27,0.898,0.3148648738861084
41,27040,34,0.892,0.3194150731563568
42,27040,34,0.903,0.3037093148231506
43,29425,37,0.909,0.30512027025222777
44,30220,38,0.905,0.3106543810367584
45,34195,43,0.904,0.29554301977157593
46,40555,51,0.909,0.28180281925201417
47,34990,44,0.906,0.30093662452697756
48,43735,55,0.905,0.3193313157558441
49,48505,61,0.902,0.2782153460979462
50,50095,63,0.914,0.2777966432571411
51,60430,76,0.912,0.2719691653251648
52,77125,97,0.914,0.26410515189170836
53,88255,111,0.919,0.26123598432540895
54,96205,121,0.913,0.25214860796928407
55,124030,156,0.923,0.22404935526847838
56,35785,45,0.91,0.2979423849582672
57,49300,62,0.903,0.2903560740947723
58,42145,53,0.912,0.282173367023468
59,46120,58,0.908,0.27890985131263735
60,41350,52,0.913,0.28965873527526853
61,42145,53,0.906,0.29419825673103334
62,41350,52,0.908,0.2928758342266083
63,41350,52,0.907,0.2924657137393951
64,41350,52,0.905,0.28900878310203554
65,55660,70,0.914,0.2891930696964264
66,66790,84,0.911,0.2634246981143951
67,67585,85,0.918,0.2614749388694763
68,85075,107,0.911,0.26908617973327636
69,72355,91,0.914,0.2759881901741028
70,62815,79,0.914,0.27854492235183714
71,45325,57,0.909,0.2725957312583923
72,81895,103,0.916,0.26267093896865845
73,80305,101,0.914,0.27212652230262757
74,89845,113,0.912,0.25939586305618284
75,111310,140,0.925,0.242565288066864
76,139930,176,0.921,0.24709916138648988
77,84280,106,0.918,0.24694508171081542
78,87460,110,0.915,0.2646227815151215
79,82690,104,0.923,0.24705014872550965
80,61225,77,0.91,0.2750263257026672
81,74740,94,0.914,0.25678822124004363
82,74740,94,0.923,0.23729286766052246
83,96205,121,0.918,0.24926333236694337
84,107335,135,0.922,0.2517372295856476
85,135955,171,0.924,0.2263524030447006
86,120850,152,0.921,0.25330473470687864
87,117670,148,0.925,0.243189626455307
88,139930,176,0.929,0.2213505309820175
89,147880,186,0.921,0.23683976101875306
90,158215,199,0.916,0.24457451438903807
91,168550,212,0.922,0.22761501824855804
92,192400,242,0.931,0.21032534766197206
93,214660,270,0.919,0.22729879450798035
94,190810,240,0.924,0.22306459665298461
95,287800,362,0.928,0.21953941977024077
96,100180,126,0.921,0.23111315667629242
97,115285,145,0.917,0.24631411218643187
98,146290,184,0.919,0.23448022294044496
99,139135,175,0.921,0.22873380661010742
100,128800,162,0.921,0.23360036993026734
101,139930,176,0.922,0.23311253213882446
102,156625,197,0.927,0.22532936763763428
103,164575,207,0.923,0.23573445880413055
104,164575,207,0.921,0.22600747561454773
105,192400,242,0.922,0.2275950175523758
106,162985,205,0.924,0.22791420292854309
107,221020,278,0.931,0.21894019722938537
108,216250,272,0.928,0.22653718400001527
109,251230,316,0.935,0.19689666950702667
110,287005,361,0.93,0.20842084670066832
111,368890,464,0.939,0.19833953535556792
112,352990,444,0.937,0.22324974632263184
113,257590,324,0.927,0.21968446063995362
114,329935,415,0.928,0.21342019712924956
115,392740,494,0.926,0.21348439300060273
116,238510,300,0.929,0.2264218957424164
117,288595,363,0.924,0.21817304134368898
118,314035,395,0.924,0.20920984613895416
119,286210,360,0.924,0.22738523662090301
120,287800,362,0.933,0.20397857558727264
121,304495,383,0.931,0.19775771570205689
122,327550,412,0.937,0.19655950427055358
123,381610,480,0.928,0.19904053461551666
124,497680,626,0.939,0.1964671661257744
125,639985,805,0.941,0.18185278737545013
126,756055,951,0.936,0.19067748308181762
127,709150,892,0.937,0.2099087112545967
128,883255,1111,0.945,0.1886235997080803
129,279055,351,0.927,0.21230826139450074
130,373660,470,0.928,0.2023242676258087
131,358555,451,0.932,0.20342511343955993
132,387970,488,0.931,0.1902777118086815
133,377635,475,0.926,0.21319609290361405
134,463495,583,0.94,0.1970555181503296
135,519145,653,0.936,0.1991028176546097
136,374455,471,0.936,0.21971588337421416
137,310855,391,0.932,0.20504654669761657
138,321985,405,0.931,0.2094223974943161
139,294160,370,0.924,0.21752362072467804
140,365710,460,0.939,0.19982978415489197
141,365710,460,0.928,0.19587479162216187
142,262360,330,0.93,0.21280632984638215
143,306085,385,0.93,0.20795558214187623
144,280645,353,0.923,0.21278125846385956
145,272695,343,0.927,0.21002703738212586
146,338680,426,0.929,0.22407640945911408
147,349810,440,0.929,0.227222314119339
148,442030,556,0.938,0.200707692027092
149,283825,357,0.934,0.19712843704223632
150,349015,439,0.923,0.21479802262783051
151,363325,457,0.932,0.20957793414592743
152,364120,458,0.925,0.22309430372714997
153,210685,265,0.93,0.21664632296562195
154,330730,416,0.939,0.20969611752033235
155,326755,411,0.93,0.211203655064106
156,355375,447,0.929,0.19989467203617095
157,403870,508,0.925,0.20584281170368193
158,396715,499,0.934,0.20439986968040466
159,416590,524,0.938,0.20648118019104003
160,484165,609,0.937,0.1969025194644928
161,586720,738,0.942,0.1813798476457596
162,586720,738,0.936,0.20137462103366852
163,760030,956,0.941,0.17317237883806227
164,760030,956,0.936,0.18776532983779906
165,920620,1158,0.943,0.18056639909744263
166,1078030,1356,0.952,0.1813325184583664
167,753670,948,0.943,0.18371136271953584
168,693250,872,0.939,0.18359228390455246
169,371275,467,0.937,0.19737493133544923
170,377635,475,0.939,0.18156991982460022
171,377635,475,0.938,0.20736647349596024
172,338680,426,0.934,0.20032863616943358
173,365710,460,0.936,0.19988837707042695
174,387175,487,0.933,0.19996546757221223
175,385585,485,0.938,0.18819442558288574
176,481780,606,0.936,0.2009782773256302
177,323575,407,0.931,0.1982545222043991
178,433285,545,0.937,0.19261767864227294
179,428515,539,0.938,0.19412057614326478
180,454750,572,0.934,0.18623559445142746
181,492115,619,0.927,0.21955077958106994
182,492115,619,0.939,0.19120875370502471
