Experiment 3 ,13_04_2020_07-04-26

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,35785,45,0.903,0.3060105333328247
1,39760,50,0.909,0.2928041033744812
2,39760,50,0.896,0.2981561608314514
3,50890,64,0.904,0.28590525102615355
4,60430,76,0.919,0.27115271735191343
5,58840,74,0.918,0.26090847182273863
6,60430,76,0.903,0.28676899600028993
7,53275,67,0.919,0.26570084977149966
8,63610,80,0.924,0.2589686149358749
9,58840,74,0.914,0.2648757047653198
10,70765,89,0.917,0.2648835709095001
11,70765,89,0.905,0.2832799208164215
12,84280,106,0.919,0.25471977758407593
13,77125,97,0.916,0.2582384946346283
14,84280,106,0.919,0.2547239291667938
15,83485,105,0.923,0.25783542680740357
16,89050,112,0.932,0.25285676717758176
17,89050,112,0.921,0.24846868133544922
18,114490,144,0.917,0.25511647236347196
19,141520,178,0.924,0.22569067740440368
20,109720,138,0.921,0.24429089951515198
21,118465,149,0.915,0.24186618757247924
22,143905,181,0.921,0.23647748589515685
23,173320,218,0.924,0.22775553524494171
24,197170,248,0.93,0.21537914609909056
25,141520,178,0.921,0.24767646145820618
26,141520,178,0.93,0.23173907911777497
27,172525,217,0.92,0.23338103187084197
28,216250,272,0.93,0.22040518641471862
29,177295,223,0.927,0.2056785401105881
30,216250,272,0.932,0.21819701600074767
31,225790,284,0.917,0.2243429594039917
32,185245,233,0.922,0.23104710614681243
33,161395,203,0.924,0.23056316351890563
34,249640,314,0.929,0.20821705150604247
35,228970,288,0.938,0.19714676427841188
36,264745,333,0.925,0.2108500160574913
37,306085,385,0.928,0.2030381157398224
38,392740,494,0.936,0.1893943584561348
39,507220,638,0.937,0.19062833738327026
40,466675,587,0.922,0.22630553728342057
41,590695,743,0.933,0.18853692483901976
42,633625,797,0.947,0.18758425211906432
43,717100,902,0.936,0.17961819785833358
44,606595,763,0.937,0.19019747471809387
45,774340,974,0.935,0.2003815244436264
46,677350,852,0.939,0.20002256333827972
47,532660,670,0.93,0.21814877724647522
48,780700,982,0.939,0.1887044229209423
49,753670,948,0.94,0.20282434821128845
50,753670,948,0.934,0.2014853383898735
51,945265,1189,0.931,0.19898063349723816
52,1194100,1502,0.946,0.1720797618627548
53,819655,1031,0.94,0.17546934273838996
54,1182970,1488,0.944,0.19853848201036453
55,1464400,1842,0.946,0.18865385431051254
56,1521640,1914,0.951,0.17129886680841447
57,1660765,2089,0.938,0.18107586568593978
58,1594780,2006,0.938,0.19455259531736374
59,1658380,2086,0.949,0.16104537561535837
60,1962070,2468,0.939,0.16837227404117583
61,1610680,2026,0.944,0.1734208197593689
62,1315735,1655,0.943,0.19574406638741493
63,1338790,1684,0.942,0.17849231332540513
64,1985920,2498,0.938,0.1953983740210533
65,2540830,3196,0.944,0.19483732229471207
66,1947760,2450,0.945,0.191063653588295
67,1775245,2233,0.951,0.17380830058455468
68,2309485,2905,0.951,0.16158785627782346
69,2883475,3627,0.946,0.1746668039560318
70,1714825,2157,0.949,0.17786068300902844
71,1830100,2302,0.939,0.19482834467291832
72,1974790,2484,0.94,0.18804341888427734
73,1918345,2413,0.941,0.17244709888100623
74,1616245,2033,0.945,0.16774658113718033
