Experiment 3 ,17_04_2020_06-46-55

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,36580,1,0.898,0.3081315779685974
1,33400,1,0.906,0.2915738415718079
2,40555,1,0.907,0.2907483518123627
3,29633,2,0.909,0.2657770230770111
4,35418,2,0.901,0.29280940556526186
5,35418,2,0.905,0.28803460240364076
6,37295,3,0.913,0.248937486410141
7,38341,4,0.902,0.2964396030902863
8,48159,3,0.927,0.2505016815662384
9,49400,4,0.922,0.22213260912895202
10,47924,3,0.924,0.23852172362804414
11,57677,3,0.916,0.24272396910190583
12,57677,3,0.91,0.288176007270813
13,51422,3,0.905,0.2790900619029999
14,58319,3,0.911,0.26013826608657836
15,47643,3,0.922,0.24774847555160523
16,47593,3,0.925,0.26724337005615234
17,47593,3,0.921,0.24048076939582824
18,48795,4,0.916,0.2702330229282379
19,47459,5,0.928,0.23533173614740371
20,47320,2,0.911,0.2741360057592392
21,51265,3,0.928,0.22471167194843292
22,51265,3,0.915,0.25636988615989686
23,52796,4,0.927,0.2553098702430725
24,55436,4,0.919,0.25143276154994965
25,55436,4,0.917,0.273086633682251
26,54980,3,0.903,0.2906471071243286
27,58319,5,0.928,0.23030535233020782
28,57863,4,0.928,0.24344664931297302
29,55736,3,0.917,0.2402653510570526
30,62684,3,0.927,0.2156263074874878
31,62684,3,0.923,0.2222415804862976
32,55142,3,0.911,0.24796029257774352
33,74402,3,0.917,0.27813890981674194
34,74402,3,0.923,0.23431277143955231
35,81098,3,0.931,0.21136050009727478
36,73920,3,0.925,0.22851852750778198
37,62747,3,0.93,0.24565268397331239
38,88997,3,0.914,0.2565111716389656
39,88922,3,0.922,0.2336676081418991
40,87312,2,0.931,0.2096654587984085
41,87312,2,0.931,0.21230010986328124
42,83279,3,0.933,0.24554066252708434
43,110655,2,0.927,0.2545226721763611
44,112481,3,0.928,0.2164986820220947
45,107957,2,0.932,0.21249934244155883
46,125609,3,0.912,0.29678037071228025
47,137789,3,0.924,0.23454905366897583
48,107295,2,0.918,0.2283354847431183
49,136311,3,0.926,0.22946989965438844
50,136501,3,0.922,0.26556423425674436
51,136501,3,0.929,0.22047899854183198
52,136501,3,0.911,0.26811036026477814
53,138108,2,0.922,0.2413162634372711
54,158004,2,0.93,0.2024788318872452
55,158833,2,0.924,0.21718220973014832
56,158833,2,0.929,0.21022486227750778
57,182819,2,0.928,0.2252419638633728
58,163498,3,0.926,0.24312483859062195
59,182819,2,0.936,0.20621510004997254
60,183983,3,0.936,0.22986618614196777
61,182132,2,0.928,0.22290240275859832
62,184727,3,0.938,0.2146136224269867
