Experiment 2 ,30_03_2020_03-12-54

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,37375,47,0.907,0.2935225086212158
1,26245,33,0.909,0.2840854332447052
2,46915,59,0.907,0.28790150690078736
3,51685,65,0.903,0.2859003510475159
4,47710,60,0.907,0.2844992425441742
5,50890,64,0.925,0.2542497525215149
6,77920,98,0.916,0.2653201358318329
7,64405,81,0.91,0.2722595672607422
8,57250,72,0.91,0.28627297830581666
9,58045,73,0.914,0.2557627897262573
10,58045,73,0.915,0.2745990469455719
11,64405,81,0.92,0.2697470624446869
12,77125,97,0.916,0.23654739928245544
13,73945,93,0.912,0.2651617512702942
14,73945,93,0.914,0.25236556816101074
15,93025,117,0.914,0.24038367426395416
16,51685,65,0.915,0.2893708612918854
17,51685,65,0.912,0.2901594755649567
18,49300,62,0.916,0.2745334053039551
19,49300,62,0.908,0.28461567997932435
20,57250,72,0.907,0.27068872475624084
21,46915,59,0.909,0.2843071563243866
22,42145,53,0.906,0.2946305878162384
23,36580,46,0.91,0.28486529779434205
24,46915,59,0.914,0.26764853310585024
25,46915,59,0.909,0.28269198060035705
26,46915,59,0.909,0.28563384675979614
27,42145,53,0.918,0.2825640387535095
28,46120,58,0.904,0.28962723112106326
29,45325,57,0.904,0.2792079703807831
30,51685,65,0.916,0.2764818246364594
31,42145,53,0.91,0.2682820336818695
32,54070,68,0.912,0.283869161605835
33,64405,81,0.916,0.26663282871246335
34,57250,72,0.915,0.2854788064956665
35,72355,91,0.913,0.2620756883621216
36,81895,103,0.909,0.25350134778022765
37,103360,130,0.926,0.24538931703567504
38,126415,159,0.913,0.24565736746788025
39,126415,159,0.919,0.23443731164932252
40,121645,153,0.92,0.24164385759830476
41,54070,68,0.92,0.2687389369010925
42,53275,67,0.913,0.26619293546676637
43,24655,31,0.899,0.3201642532348633
44,30220,38,0.894,0.32493518257141113
45,37375,47,0.909,0.3002963500022888
46,28630,36,0.897,0.3099808809757233
47,36580,46,0.915,0.27625689578056334
48,31810,40,0.908,0.2971020014286041
49,43735,55,0.92,0.27476591563224795
50,54070,68,0.91,0.2832374358177185
51,46120,58,0.911,0.2823031888008118
52,57250,72,0.909,0.2784196562767029
53,61225,77,0.912,0.2702687816619873
54,59635,75,0.911,0.25916468334198
55,64405,81,0.914,0.2698350670337677
56,81100,102,0.924,0.24468568766117096
57,65995,83,0.903,0.2860337567329407
58,91435,115,0.92,0.2560145444869995
59,104155,131,0.916,0.2602934936285019
60,106540,134,0.919,0.2391756726503372
61,106540,134,0.926,0.24229042935371398
62,106540,134,0.919,0.2573670576810837
63,120055,151,0.921,0.2321237976551056
64,122440,154,0.927,0.22619056260585785
65,105745,133,0.918,0.2366706130504608
66,94615,119,0.914,0.26216631531715395
67,89050,112,0.92,0.24569093775749207
68,97795,123,0.915,0.25101541018486023
69,118465,149,0.928,0.23073254704475402
70,124825,157,0.923,0.2624678432941437
71,141520,178,0.917,0.2397885205745697
72,162190,204,0.928,0.22379097425937652
73,132775,167,0.923,0.2318572509288788
74,116875,147,0.921,0.23966437554359435
75,78715,99,0.918,0.25931244134902953
76,81895,103,0.917,0.2481456718444824
77,91435,115,0.919,0.2516329317092896
78,85870,108,0.917,0.25635937142372134
79,85870,108,0.919,0.2459577784538269
80,88255,111,0.915,0.24983797407150268
81,102565,129,0.921,0.23697916769981384
82,85075,107,0.917,0.2457308397293091
83,97000,122,0.916,0.24962372541427613
84,120850,152,0.917,0.2525291497707367
85,120850,152,0.926,0.2549330725669861
86,120850,152,0.93,0.23468944334983827
87,77920,98,0.916,0.26307348418235776
88,84280,106,0.911,0.27011262154579163
89,90640,114,0.92,0.23268606448173523
90,90640,114,0.911,0.25122356629371645
91,116080,146,0.923,0.2381212978363037
92,109720,138,0.917,0.25468678987026216
93,108925,137,0.926,0.2492562232017517
