Experiment 1 ,02_04_2020_02-06-48

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.selu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,35785,45,0.89,0.3487393610477448
1,25450,32,0.9,0.33283247327804566
2,25450,32,0.888,0.3403179225921631
3,31015,39,0.892,0.34317587947845457
4,23860,30,0.898,0.3299613492488861
5,22270,28,0.9,0.33610765075683596
6,23860,30,0.888,0.35221674966812133
7,20680,26,0.897,0.3515295810699463
8,26245,33,0.894,0.34617812061309816
9,27835,35,0.9,0.33781040477752683
10,34195,43,0.9,0.34432406616210937
11,21475,27,0.896,0.3351386303901672
12,27835,35,0.896,0.33182898664474486
13,27835,35,0.896,0.3493814206123352
14,33400,42,0.892,0.3403442440032959
15,41350,52,0.904,0.3292308073043823
16,48505,61,0.899,0.32455518817901613
17,60430,76,0.894,0.3366316466331482
18,48505,61,0.893,0.3366474356651306
19,60430,76,0.887,0.34403935050964357
20,48505,61,0.901,0.34008415961265565
21,57250,72,0.898,0.324990448474884
22,58045,73,0.901,0.31640752744674683
23,74740,94,0.893,0.3403324193954468
24,61225,77,0.904,0.31824022817611697
25,70765,89,0.896,0.3281633908748627
26,77125,97,0.895,0.31863565135002136
27,69970,88,0.904,0.3168334898948669
28,73945,93,0.895,0.32919634294509886
29,73945,93,0.903,0.32628416872024535
30,71560,90,0.905,0.33292881393432616
31,85870,108,0.896,0.3411696858406067
32,85870,108,0.898,0.3230771462917328
33,77920,98,0.906,0.32736289405822755
34,66790,84,0.897,0.32828120040893555
35,84280,106,0.891,0.3402655608654022
36,93820,118,0.882,0.37628514766693116
37,78715,99,0.902,0.3379097933769226
38,104155,131,0.898,0.33116377592086793
39,72355,91,0.896,0.3410773983001709
40,92230,116,0.906,0.31811848187446595
41,91435,115,0.895,0.3243955421447754
42,82690,104,0.903,0.3198648753166199
43,105745,133,0.893,0.34343559336662294
44,104155,131,0.905,0.32461308073997497
45,92230,116,0.885,0.35862208366394044
46,101770,128,0.885,0.3375795919895172
47,89050,112,0.885,0.37382367372512815
48,116875,147,0.904,0.33402306175231933
49,76330,96,0.903,0.3418557667732239
50,64405,81,0.898,0.3196518075466156
51,84280,106,0.902,0.3257445011138916
52,66790,84,0.896,0.3331715006828308
53,99385,125,0.892,0.3418140046596527
54,97795,123,0.899,0.32391759657859803
55,82690,104,0.887,0.36538589477539063
56,81100,102,0.886,0.3373583614826202
57,97795,123,0.891,0.3627501015663147
58,128005,161,0.899,0.34053798842430116
59,89050,112,0.9,0.33648262071609497
60,81100,102,0.901,0.32183375644683837
61,155035,195,0.887,0.34593560218811037
62,81100,102,0.887,0.3515135746002197
63,81100,102,0.9,0.32936006116867067
64,100975,127,0.882,0.37021594429016114
65,75535,95,0.898,0.3368021264076233
66,96205,121,0.895,0.3319966540336609
67,109720,138,0.898,0.3337485952377319
68,75535,95,0.899,0.33440367603302
69,84280,106,0.9,0.3421197972297668
70,62020,78,0.886,0.3269859628677368
71,67585,85,0.901,0.3310740189552307
72,89050,112,0.902,0.31175151467323303
73,94615,119,0.896,0.3384170308113098
74,86665,109,0.889,0.33537232780456544
75,100180,126,0.906,0.3081739432811737
76,122440,154,0.897,0.339342089176178
77,97000,122,0.9,0.3219382426738739
78,77125,97,0.907,0.3014233751296997
79,120850,152,0.893,0.3417025761604309
80,88255,111,0.893,0.34228757095336915
81,162190,204,0.882,0.37626512336730955
82,95410,120,0.899,0.3517218635082245
83,90640,114,0.907,0.31724488162994385
84,111310,140,0.892,0.3360902314186096
85,90640,114,0.897,0.32900710821151735
86,185245,233,0.899,0.340203227519989
87,192400,242,0.898,0.32972351837158204
88,175705,221,0.892,0.35642798924446106
89,123235,155,0.898,0.33027916789054873
90,114490,144,0.9,0.325844087600708
91,211480,266,0.893,0.35804137992858887
92,120055,151,0.901,0.3339057731628418
93,138340,174,0.888,0.3578457760810852
94,172525,217,0.885,0.38247260904312136
95,203530,256,0.896,0.36312782049179076
96,205120,258,0.892,0.3433246641159058
97,254410,320,0.888,0.3818437490463257
