name,generation,avg acc,avg los,avg par
Lonely_GA_baseline(100%),0,0.968766667,0.103593095,36580
Lonely_GA_baseline(100%),1,0.971166667,0.096321894,42675
Lonely_GA_baseline(100%),2,0.970266667,0.098368969,40820
Lonely_GA_baseline(100%),3,0.9695,0.100216374,42145
Lonely_GA_baseline(100%),4,0.9715,0.09411236,50890
Lonely_GA_baseline(100%),5,0.972866667,0.08950824,54070
Lonely_GA_baseline(100%),6,0.9739,0.085988877,59900
Lonely_GA_baseline(100%),7,0.975,0.082583352,62550
Lonely_GA_baseline(100%),8,0.973366667,0.092166875,64670
Lonely_GA_baseline(100%),9,0.971533333,0.093019368,51155
Lonely_GA_baseline(100%),10,0.973533333,0.083542063,63345
Lonely_GA_baseline(100%),11,0.9741,0.084114548,63610
Lonely_GA_baseline(100%),12,0.970333333,0.101581265,59635
Lonely_GA_baseline(100%),13,0.9685,0.105605601,64935
Lonely_GA_baseline(100%),14,0.958533333,0.140831737,55130
Lonely_GA_baseline(100%),15,0.960733333,0.132320301,63610
Lonely_GA_baseline(100%),16,0.961166667,0.129076602,70765
Lonely_GA_baseline(100%),17,0.952733333,0.164248066,81630
Lonely_GA_baseline(100%),18,0.9516,0.164444633,81365
Lonely_GA_baseline(100%),19,0.946033333,0.186598313,60165
Lonely_GA_baseline(100%),20,0.9501,0.17544495,54335
Lonely_GA_baseline(100%),21,0.9499,0.171678524,65995
Lonely_GA_baseline(100%),22,0.952166667,0.163744205,70765
Lonely_GA_baseline(100%),23,0.9496,0.175653826,63345
Lonely_GA_baseline(100%),24,0.946166667,0.182617698,53805
Lonely_GA_baseline(100%),25,0.934866667,0.224483436,60695
Lonely_GA_baseline(100%),26,0.932466667,0.232350113,50625
Lonely_GA_baseline(100%),27,0.9333,0.233045315,47710
Lonely_GA_baseline(100%),28,0.932566667,0.236489748,40555
Lonely_GA_baseline(100%),29,0.930966667,0.241203415,48505
Lonely_GA_baseline(100%),30,0.931966667,0.228135387,58575
Lonely_GA_baseline(100%),31,0.934933333,0.218888148,58045
Lonely_GA_baseline(100%),32,0.929133333,0.238075327,48770
Lonely_GA_baseline(100%),33,0.910866667,0.301862735,49565
Lonely_GA_baseline(100%),34,0.9108,0.28828559,51950
Lonely_GA_baseline(100%),35,0.9126,0.289446813,47180
Lonely_GA_baseline(100%),36,0.8689,0.410690914,33665
Lonely_GA_baseline(100%),37,0.8777,0.401295257,34725
Lonely_GA_baseline(100%),38,0.858066667,0.402337386,38700
Lonely_GA_baseline(100%),39,0.761466667,0.613946437,41350
Lonely_GA_baseline(100%),40,0.7748,0.588673247,43470
Lonely_GA_baseline(100%),41,0.7656,0.593040479,45590
Lonely_GA_baseline(100%),42,0.7724,0.59464259,50890
Lonely_GA_baseline(100%),43,0.763033333,0.602626565,55925
Lonely_GA_baseline(100%),44,0.7683,0.591901572,65995
Lonely_GA_baseline(100%),45,0.764233333,0.6135699,66790
Lonely_GA_baseline(100%),46,0.7746,0.590973154,67055
Lonely_GA_baseline(100%),47,0.774133333,0.581827846,76065
Lonely_GA_baseline(100%),48,0.779233333,0.581238365,89580
Lonely_GA_baseline(100%),49,0.758866667,0.616803567,87990
Lonely_GA_baseline(100%),50,0.775233333,0.580012311,106540
Lonely_GA_baseline(100%),51,0.7702,0.61673471,58045
Lonely_GA_baseline(100%),52,0.7649,0.611775397,56985
Lonely_GA_baseline(100%),53,0.766066667,0.605546163,62550
Lonely_GA_baseline(100%),54,0.7734,0.598283078,60960
Lonely_GA_baseline(100%),55,0.7722,0.603609375,46385
Lonely_GA_baseline(100%),56,0.766933333,0.617569774,41350
Lonely_GA_baseline(100%),57,0.766033333,0.625880906,35785
Lonely_GA_baseline(100%),58,0.768266667,0.620631591,41615
Lonely_GA_baseline(100%),59,0.766233333,0.602658522,38965
Lonely_GA_baseline(100%),60,0.769,0.590713943,33135
Lonely_GA_baseline(100%),61,0.7671,0.597901349,37375
Lonely_GA_baseline(100%),62,0.770566667,0.60402813,39230
Lonely_GA_baseline(100%),63,0.766633333,0.597248274,45325
Lonely_GA_baseline(100%),64,0.772666667,0.614529655,47180
Lonely_GA_baseline(100%),65,0.7676,0.608853765,55395
Lonely_GA_baseline(100%),66,0.770266667,0.623426706,58840
Lonely_GA_baseline(100%),67,0.7706,0.597574197,54070
Lonely_GA_baseline(100%),68,0.770666667,0.599122778,51685
Lonely_GA_baseline(100%),69,0.764666667,0.599284359,50095
Lonely_GA_baseline(100%),70,0.778066667,0.583824812,56455
Lonely_GA_baseline(100%),71,0.7715,0.590688031,61225
,,,,
Lonely_los_exp_loss(100%),0,0.969966667,0.098128306,37905
Lonely_los_exp_loss(100%),1,0.969066667,0.104826325,41350
Lonely_los_exp_loss(100%),2,0.971733333,0.09467815,46915
Lonely_los_exp_loss(100%),3,0.973,0.089464487,55130
Lonely_los_exp_loss(100%),4,0.9735,0.085181073,57250
Lonely_los_exp_loss(100%),5,0.974366667,0.085611604,65465
Lonely_los_exp_loss(100%),6,0.9739,0.088780265,75005
Lonely_los_exp_loss(100%),7,0.976466667,0.078726685,87195
Lonely_los_exp_loss(100%),8,0.976333333,0.076664704,95940
Lonely_los_exp_loss(100%),9,0.976733333,0.075036742,106805
Lonely_los_exp_loss(100%),10,0.976333333,0.077357783,117670
Lonely_los_exp_loss(100%),11,0.976833333,0.075097107,115815
Lonely_los_exp_loss(100%),12,0.976166667,0.079391051,128270
Lonely_los_exp_loss(100%),13,0.976366667,0.078956527,132510
