name,generation,avg acc,avg los,avg par
Final_implementation(10%),0,0.93,0.251893725,70785
Final_implementation(10%),1,0.931666667,0.228609779,70160
Final_implementation(10%),2,0.923666667,0.295058319,78284.33333
Final_implementation(10%),3,0.933666667,0.246732599,75306.66667
Final_implementation(10%),4,0.931666667,0.258452007,80028.66667
Final_implementation(10%),5,0.933333333,0.242989232,83010
Final_implementation(10%),6,0.936,0.245536727,84149
Final_implementation(10%),7,0.936333333,0.244758426,84668
Final_implementation(10%),8,0.935333333,0.247403639,85501.66667
Final_implementation(10%),9,0.927666667,0.261766054,88826
Final_implementation(10%),10,0.935666667,0.243320587,101831.6667
Final_implementation(10%),11,0.93,0.253922159,115907.3333
Final_implementation(10%),12,0.936,0.254078388,114772.3333
Final_implementation(10%),13,0.938,0.234165093,109898.3333
Final_implementation(10%),14,0.937,0.230695158,122689.3333
Final_implementation(10%),15,0.937333333,0.240242485,111264.3333
Final_implementation(10%),16,0.934666667,0.224794438,128211
Final_implementation(10%),17,0.944333333,0.204804355,133074
Final_implementation(10%),18,0.933,0.235166416,134409.6667
Final_implementation(10%),19,0.943333333,0.209583511,129963.6667
Final_implementation(10%),20,0.934333333,0.233244018,134492
Final_implementation(10%),21,0.936333333,0.22401632,134307
Final_implementation(10%),22,0.937666667,0.226882778,138887.3333
Final_implementation(10%),23,0.932,0.2548583,136002
Final_implementation(10%),24,0.941,0.207394919,155109
Final_implementation(10%),25,0.943,0.19244024,177623
Final_implementation(10%),26,0.939333333,0.211171562,168140.6667
Final_implementation(10%),27,0.945,0.209302839,171533.6667
Final_implementation(10%),28,0.940333333,0.216825787,188252.6667
Final_implementation(10%),29,0.939666667,0.201281031,197908.6667
Final_implementation(10%),30,0.943333333,0.199549446,199642.6667
Final_implementation(10%),31,0.943666667,0.204411553,230168
Final_implementation(10%),32,0.945666667,0.202271068,240601
Final_implementation(10%),33,0.944333333,0.202673102,234082.6667
Final_implementation(10%),34,0.945666667,0.211817345,237383.6667
Final_implementation(10%),35,0.946333333,0.205609192,268358.3333
Final_implementation(10%),36,0.946333333,0.200354703,268358.3333
Final_implementation(10%),37,0.943,0.198093112,326585
Final_implementation(10%),38,0.950666667,0.193298972,304966
Final_implementation(10%),39,0.944,0.200169318,304173
Final_implementation(10%),40,0.943333333,0.210695145,311311.6667
Final_implementation(10%),41,0.950666667,0.186566159,351411
Final_implementation(10%),42,0.945,0.191652639,359403.6667
